Unnamed: 0,sentence,label,score
0,"Financial market conditions remained supportive of economic growth, though volatility in securities markets increased notably toward the end of the intermeeting period.",LABEL_2,0.6068891882896423
1,"Participants judged that improvements in bank funding markets warranted reducing amounts offered at TAF auctions toward zero in three steps over the next few months, while noting that they would be prepared to modify that plan if necessary to support financial stability and economic growth.",LABEL_0,0.9972845911979675
2,"Several participants noted that the optimal spread could depend, in part, on the Committee's eventual decisions about the most suitable approach to implementing U. S. monetary policy over the longer term.",LABEL_2,0.8151423931121826
3,Participants generally agreed that such steps to return the Federal Reserve's liquidity provision to a normal footing would be technical adjustments to reflect the notable diminution of the market strains that had made the creation of new liquidity facilities and expansion of existing facilities necessary and emphasized that such steps would not indicate a change in the Committee's assessment of the appropriate stance of monetary policy or the proper time to begin moving to a less accommodative policy stance.,LABEL_0,0.9990558624267578
4,Staff also briefed policymakers about tools and strategies for an eventual withdrawal of policy accommodation and summarized linkages between these tools and strategies and alternative frameworks for implementing monetary policy in the longer run.,LABEL_0,0.995326817035675
5,The tools for moving to a less accommodative policy stance encompassed (1) raising the interest rate paid on excess reserve balances (the IOER rate); (2) executing term reverse repurchase agreements with the primary dealers; (3) executing term RRPs with a broader range of counterparties; (4) using a term deposit facility (TDF) to absorb excess reserves; (5) redeeming maturing and prepaid securities held by the Federal Reserve without reinvesting the proceeds; and (6) selling securities held by the Federal Reserve before they mature.,LABEL_0,0.9981810450553894
6,Staff described several feasible strategies for using these six tools to support a gradual return toward a more normal stance of monetary policy: (1) using one or more of the tools to progressively reduce the supply of reserve balances--which rose to an exceptionally high level as a consequence of the expansion of the Federal Reserve's liquidity and lending facilities and subsequent large-scale asset purchases during the financial crisis--before raising the IOER rate and the target for the federal funds rate; (2) increasing the IOER rate in line with an increase in the federal funds rate target and concurrently using one or more tools to reduce the supply of reserve balances; and (3) raising the IOER rate and the target for the federal funds rate and using reserve draining tools only if the federal funds rate did not increase in line with the Committee's target.,LABEL_0,0.903046190738678
7,All agreed that raising the IOER rate and the target for the federal funds rate would be a key element of a move to less accommodative monetary policy.,LABEL_0,0.6935915946960449
8,"With respect to longer-run approaches to implementing monetary policy, most policymakers saw benefits in continuing to use the federal funds rate as the operating target for implementing monetary policy, so long as other money market rates remained closely linked to the federal funds rate.",LABEL_0,0.5195494294166565
9,"Many thought it would also be desirable to redeem some or all of the Treasury securities owned by the Federal Reserve as they mature, recognizing that at some point in the future the Federal Reserve would need to resume purchases of Treasury securities to offset reductions in other assets and to accommodate growth in the public's demand for U. S. currency.",LABEL_1,0.734624445438385
10,"Most judged that a future program of gradual asset sales could be helpful in shrinking the size of the Federal Reserve's balance sheet, reducing reserve balances, and shifting the composition of securities holdings back toward Treasury securities; however, many were concerned that such transactions could cause market disruptions and have adverse implications for the economic recovery, particularly if they were to begin before the recovery had become self-sustaining and before the Committee had determined that a tightening of financial conditions was appropriate and had begun to raise short-term interest rates.",LABEL_0,0.9959408044815063
11,Several thought it important to begin a program of asset sales in the near future to ensure that the Federal Reserve's balance sheet shrinks more quickly and in a more predictable manner than could be achieved solely by redeeming maturing securities and not reinvesting prepayments; they judged that a program of asset sales spread over a number of years would underscore the Committee's determination to exit from the period of exceptionally accommodative monetary policy in a manner and at a pace that would keep inflation contained without having large effects on asset prices or market interest rates.,LABEL_0,0.998803436756134
12,Staff Review of the Economic Situation The information reviewed at the January 26-27 meeting suggested that economic activity continued to strengthen in recent months.,LABEL_1,0.9332095384597778
13,"Recent data suggested that the pace of inventory liquidation diminished considerably last quarter, providing a sizable boost to economic activity.",LABEL_2,0.9575887322425842
14,"In the labor market, layoffs subsided noticeably in the final months of last year, but the unemployment rate remained elevated and hiring stayed weak.",LABEL_0,0.9918508529663086
15,"Meanwhile, increases in energy prices pushed up headline consumer price inflation even as core consumer price inflation remained subdued.",LABEL_1,0.9983730912208557
16,The unemployment rate was essentially unchanged from October through December.,LABEL_2,0.528316080570221
17,"Moreover, hiring remained weak, the total number of individuals receiving unemployment insurance--including extended and emergency benefits--continued to climb, the average length of ongoing unemployment spells rose steeply, and joblessness became increasingly concentrated among the long-term unemployed.",LABEL_0,0.9967889189720154
18,"For the fourth quarter as a whole, the solid increase in manufacturing IP reflected a recovery in motor vehicle output, rising export demand, and a slower pace of business inventory liquidation.",LABEL_2,0.9962750673294067
19,"The recovery in the housing market slowed in the second half of 2009, even though a number of factors supported housing demand.",LABEL_2,0.9972720146179199
20,"In addition, the Reuters/University of Michigan Surveys of Consumers reported that the number of respondents who expected house prices to increase continued to exceed the number who expected prices to decrease.",LABEL_1,0.5920590162277222
21,Consumer price inflation was modest in December after being boosted in the preceding two months by increases in energy prices.,LABEL_1,0.987289547920227
22,Core consumer price inflation remained subdued.,LABEL_0,0.81878662109375
23,"Price increases for non-energy services slowed early last year and remained modest throughout 2009, reflecting declining prices for housing services and perhaps the deceleration in labor costs.",LABEL_0,0.9879201054573059
24,"According to survey results, households' expectations of near-term inflation increased in January; in addition, median longer-term inflation expectations edged up, though they remained near the lower end of the narrow range that has prevailed over the past few years.",LABEL_1,0.9974803328514099
25,"The U. S. international trade deficit widened in November, as a sharp rise in nominal imports outpaced an increase in exports.",LABEL_1,0.999060869216919
26,"The rise in exports was driven primarily by a large gain in agricultural exports, which was partially offset by a decline in exports of consumer goods that followed robust growth in October.",LABEL_1,0.9466347694396973
27,"However, unemployment rates remained elevated and consumption indicators were mixed.",LABEL_0,0.8184739351272583
28,"Within emerging Asia, growth appeared to have remained robust in China and to have slowed elsewhere.",LABEL_2,0.9990319609642029
29,"In Latin America, indicators pointed to a continuation of growth in much of the region, although growth in Mexico appeared to slow significantly following the third quarter's outsized gain.",LABEL_2,0.9992372393608093
30,"Amid rising energy prices, 12-month headline inflation for December picked up in all advanced foreign economies except Japan, where deflation moderated only mildly.",LABEL_1,0.9329032301902771
31,"Headline inflation continued to rise in emerging Asia, driven by energy and food prices.",LABEL_1,0.9976271986961365
32,"In Latin America, headline inflation remained below its earlier elevated pace.",LABEL_2,0.996651828289032
33,"Staff Review of the Financial Situation The decision by the FOMC to keep the target range for the federal funds rate unchanged at the December meeting and its retention of the ""extended period"" language in the statement were widely anticipated by market participants and elicited little price response.",LABEL_0,0.7778693437576294
34,"Later in the intermeeting period, the expected path of the federal funds rate implied by federal funds and Eurodollar futures quotes shifted down slightly as investors apparently interpreted Federal Reserve communications, including the discussion of large-scale asset purchases in the FOMC minutes, as pointing to a more protracted period of accommodative monetary policy than had been anticipated.",LABEL_0,0.9988648295402527
35,"Inflation compensation based on 5-year Treasury inflation-protected securities (TIPS) increased; the increase likely reflected higher inflation risk premiums and a further improvement in TIPS market liquidity, along with some rise in inflation expectations owing, in part, to increases in oil prices.",LABEL_1,0.9990532994270325
36,"Financial market conditions remained supportive of economic growth over the intermeeting period, and short-term funding markets were generally stable.",LABEL_2,0.9743272662162781
37,"Strong demand for Treasury bills in the cash and repurchase agreement (repo) market, together with a seasonal decline in bills outstanding, put downward pressure on both bill yields and short-term repo rates.",LABEL_0,0.9992552995681763
38,"Although year-end pressures in short-term funding markets were generally modest amid ample liquidity, the repo market experienced some year-end dislocations, with a few transactions reportedly occurring at negative interest rates.",LABEL_0,0.9987253546714783
39,"After trending higher for most of the intermeeting period, broad stock price indexes subsequently reversed course amid elevated volatility, ending the period little changed on balance.",LABEL_2,0.9960960149765015
40,"In the leveraged loan market, average bid prices rose further and bid-asked spreads were little changed.",LABEL_1,0.9845741987228394
41,"Overall, net debt financing by nonfinancial businesses was near zero in the fourth quarter after declining in the third, consistent with weak demand for credit and still tight credit standards and terms at banks.",LABEL_0,0.9987343549728394
42,"Moody's index of commercial property prices showed another drop in October, bringing the index back to its 2002 level.",LABEL_0,0.9723828434944153
43,The average interest rate on 30-year conforming fixed-rate residential mortgages increased slightly over the intermeeting period but remained within the narrow range of values over recent months.,LABEL_1,0.740801990032196
44,Credit card interest rate spreads continued to increase in November.,LABEL_1,0.9989814758300781
45,"Nonetheless, standards and terms on all major loan types remained tight, and the demand for loans reportedly weakened further.",LABEL_0,0.9606389403343201
46,Foreign equity prices generally ended the intermeeting period down.,LABEL_0,0.5485109090805054
47,"The broad nominal index of the foreign exchange value of the dollar rose, reportedly reflecting a growing perception that U. S. growth prospects were better than those in Europe and Japan.",LABEL_1,0.5874893069267273
48,The upward revision was in inventory investment; the staff's projection of the increase in final demand was unchanged.,LABEL_2,0.9327709674835205
49,"The staff continued to project a moderate recovery in economic activity over the next two years, with economic growth supported by the accommodative stance of monetary policy and by a further waning of the factors that weighed on spending and production over the past two years.",LABEL_0,0.9992799758911133
50,The staff's forecasts for some slowing of core and headline inflation over the next two years were little changed.,LABEL_2,0.6098891496658325
51,"There were no significant surprises in the incoming price data, substantial slack in resource utilization was still expected to put downward pressure on costs, and longer-term inflation expectations remained relatively stable.",LABEL_0,0.6310845613479614
52,"Given staff projections for consumer energy prices, headline inflation was projected to run somewhat above core inflation in 2010 but to slow to the same subdued rate as core inflation in 2011.",LABEL_2,0.9989408850669861
53,"Participants' Views on Current Conditions and the Economic Outlook In conjunction with this FOMC meeting, all meeting participants--the five members of the Board of Governors and the presidents of the 12 Federal Reserve Banks--provided projections for economic growth, the unemployment rate, and consumer price inflation for each year from 2010 through 2012 and over a longer horizon.",LABEL_2,0.9993755221366882
54,Longer-run projections represent each participant's assessment of the rate to which each variable would be expected to converge over time under appropriate monetary policy and in the absence of further shocks.,LABEL_2,0.9991289973258972
55,"In their discussion of the economic situation and outlook, participants agreed that the incoming data and information received from business contacts, though mixed, indicated that economic growth had strengthened in the fourth quarter, that firms were reducing payrolls at a less rapid pace, and that downside risks to the outlook for economic growth had diminished a bit further.",LABEL_2,0.9948152899742126
56,"Participants saw the economic news as broadly in line with the expectations for moderate growth and subdued inflation in 2010 that they held when the Committee met in mid-December; moreover, financial conditions were much the same, on balance, as when the FOMC last met.",LABEL_2,0.9989815354347229
57,"Participants expected the economic recovery to continue, but most anticipated that the pickup in output and employment growth would be rather slow relative to past recoveries from deep recessions.",LABEL_2,0.9982905983924866
58,"A moderate pace of expansion would imply slow improvement in the labor market this year, with unemployment declining only gradually.",LABEL_2,0.9965614676475525
59,"Most participants again projected that the economy would grow somewhat more rapidly in 2011 and 2012, generating a more pronounced decline in the unemployment rate, as financial conditions and the availability of credit continue to improve.",LABEL_0,0.6225196719169617
60,"In general, participants saw the upside and downside risks to the outlook for economic growth as roughly balanced.",LABEL_2,0.9990203976631165
61,Participants agreed that underlying inflation currently was subdued and was likely to remain so for some time.,LABEL_0,0.9805060029029846
62,"Some noted the risk that, with output well below potential over the next couple of years, inflation could edge further below the rates they judged most consistent with the Federal Reserve's dual mandate for maximum employment and price stability; others, focusing on risks to inflation expectations and the challenge of removing monetary accommodation in a timely manner, saw inflation risks as tilted toward the upside, especially in the medium term.",LABEL_0,0.9878888726234436
63,"The weakness in labor markets continued to be an important concern for the FOMC; moreover, the prospects for job growth remained an important source of uncertainty in the economic outlook, particularly in the outlook for consumer spending.",LABEL_0,0.9945409297943115
64,"Indeed, many business contacts again reported that they would be cautious in hiring, saying they expected to meet any near-term increase in demand by raising existing employees' hours and boosting productivity, thus delaying the need to add employees.",LABEL_2,0.9774027466773987
65,"If businesses were able to continue generating large productivity gains, as in recent quarters, then firms would need to hire fewer workers in the near term to meet rising demands for their products.",LABEL_2,0.6550655364990234
66,"But if the unusually rapid productivity growth seen in recent quarters was not sustained, then job growth could pick up significantly as productivity returned to sustainable levels.",LABEL_2,0.9935120940208435
67,The rise in employment of temporary workers in recent months appeared to be continuing; historical experience suggested that increased use of temporary help could presage a broader increase in job growth.,LABEL_1,0.9985233545303345
68,"Participants generally saw the data and anecdotal evidence as indicating moderate growth in demands for goods and services, although with substantial variation across sectors.",LABEL_1,0.9235829710960388
69,"Even so, the data indicated solid growth in business spending on high-tech equipment in recent months.",LABEL_1,0.8113024234771729
70,"By and large, participants judged that residential investment had stabilized but did not expect housing construction to make a sizable contribution to economic growth during the next year or two.",LABEL_2,0.9990250468254089
71,"Stronger economic growth abroad was contributing to growth in U. S. exports, thus helping support the recovery in industrial production in the United States.",LABEL_2,0.9933441281318665
72,"Policymakers judged that financial conditions were, on balance, about as supportive of growth as when the Committee met in December.",LABEL_2,0.9882059097290039
73,"Though volatility in equity prices increased late in the intermeeting period, broad equity price indexes were about unchanged overall, private credit spreads narrowed somewhat, and financial markets generally continued to function significantly better than early last year.",LABEL_2,0.9983757734298706
74,"Though headline inflation had been variable, largely reflecting swings in energy prices, core measures of inflation were subdued and were expected to remain so.",LABEL_2,0.9836212396621704
75,"One participant noted that core inflation had been held down in recent quarters by unusually slow increases in the price index for shelter, and that the recent behavior of core inflation might be a misleading signal of the underlying inflation trend.",LABEL_2,0.9971086978912354
76,"Reports from business contacts suggested less price discounting, but pricing power remained limited.",LABEL_2,0.9776721000671387
77,"Wage growth continued to be restrained, and unit labor costs were still falling.",LABEL_0,0.9314360022544861
78,"Energy prices had dropped back in recent weeks, but many participants saw upward pressures on commodity prices associated with expanding global economic activity as an inflation risk.",LABEL_1,0.9978154897689819
79,"However, some noted that the high degree of slack in resource utilization posed a downside risk to inflation.",LABEL_0,0.9857717156410217
