,sentence
0," (SOMA) reported on developments in domestic and foreign financial markets, including changes in market participants' expectations for the course of U. S. monetary policy."
1,Staff Review of the Economic Situation The information reviewed for the April 26-27 FOMC meeting indicated that labor market conditions improved further in the first quarter even though growth in real gross domestic product (GDP) appeared to have slowed.
2,"Consumer price inflation continued to run below the Committee's longer-run objective of 2 percent, restrained in part by earlier decreases in energy prices and declining prices of non-energy imports."
3,"Survey-based measures of longer-run inflation expectations were little changed, on balance, in recent months, while market-based measures of inflation compensation were still low."
4,"Total nonfarm payroll employment expanded at a solid pace in March, and labor market conditions generally continued to strengthen."
5,Although the unemployment rate edged up to 5.
6,"0 percent, both the labor force participation rate and the employment-to-population ratio continued to increase."
7,"In late March and early April, the four-week moving average of initial claims for unemployment insurance benefits was essentially unchanged, on net, at a low level."
8,Labor productivity growth appeared to have remained slow over the four quarters ending in the first quarter of this year.
9,"Manufacturing output decreased, partly reflecting the effects on export demand of earlier appreciation of the foreign exchange value of the dollar."
10,"Meanwhile, mining output continued to contract as a result of further declines in drilling activity associated with low crude oil prices."
11,"Nevertheless, recent readings on key factors that influence consumer spending were consistent with a pickup in real PCE growth in the coming months."
12,Households' net worth was boosted by the rise in equity prices over the intermeeting period and by further strong increases in home values through February.
13,"The U. S. international trade deficit widened in February, as imports rose more than exports; however, preliminary data on trade in goods suggested that the deficit narrowed substantially in March, with imports falling back sharply even as exports declined."
14,"In all, the recent data indicated that net exports probably continued to be a moderate drag on real GDP growth in the first quarter."
15,"Total U. S. consumer prices, as measured by the PCE price index, increased 1 percent over the 12 months ending in February, partly restrained by declines in consumer energy prices."
16,"Core PCE price inflation, which excludes changes in food and energy prices, was 1-3/4 percent over the same 12-month period, held down in part by falling prices of non-energy imports and the pass-through of declines in energy prices to prices of other goods and services."
17,"Over the 12 months ending in March, total consumer prices as measured by the consumer price index (CPI) rose 1 percent, while core CPI inflation was 2-1/4 percent."
18,"In light of the CPI data, both total and core PCE price inflation on a 12-month basis appeared to slow a bit in March."
19,"Survey measures of longer-run inflation expectations--including those from the Michigan survey along with the Desk's Survey of Primary Dealers and Survey of Market Participants--were generally little changed, on balance, in recent months, although the reading from the Michigan survey in early April was at the low end of its historical range."
20,Recent indicators suggested that foreign real GDP growth had picked up in the first quarter after a lackluster performance last year.
21,Economic growth in Canada appeared to have rebounded from a very weak fourth quarter.
22,Recent data on industrial production and retail sales pointed to a pickup in economic growth in the euro area.
23,"In contrast, economic growth in China moderated in the first quarter, although economic indicators in March were more upbeat than in the earlier months of the year."
