Unnamed: 0,sentence,label,score
0,"first, the unexpected strength and resilience of the american economy, coupled with continued good news on the inflation front.",LABEL_2,0.9670030474662781
1,"a gratifying domestic surprise is that the economy is still exhibiting healthy broad-based growth -- indeed that growth has accelerated -- when, judging by past experience, we might have expected it to be running out of steam or exhibiting signs of strains, bottlenecks and imbalances.",LABEL_2,0.9884262681007385
2,"even more astonishing, especially to the keepers of systematic macro-economic wisdom, is the persistence of moderate inflation with such tight labor markets for such a long time.",LABEL_2,0.9714311957359314
3,"employers all complain about how hard it is to get workers, especially highly skilled workers, and wages are indeed rising, although not at a particularly rapid pace, but inflation remains moderate.",LABEL_1,0.9970049262046814
4,"employers appear to be responding to tight labor markets by using workers more effectively and cutting non-wage costs, not by raising prices in what they perceive as highly competitive markets.",LABEL_1,0.9768945574760437
5,"one example, is the series of federal reserve decisions to raise interest rates to avoid an overheated economy in 1994.",LABEL_1,0.9888362288475037
6,"four years later, with the economy still barreling ahead and inflation at bay, this set of decisions looks increasingly wise and farsighted.",LABEL_2,0.8963587880134583
7,another example is the long series of painful decisions that moved the federal budget from deficit to surplus.,LABEL_0,0.9910942316055298
8,"with hindsight, president bush and the congress, in 1990, get part of the credit -- although they certainly didn't get much at the time because recession hid their reductions in the structural deficit.",LABEL_0,0.9970713257789612
9,"some argued that the deficit reduction was too rapid, that it might further sap the momentum of a sluggishly growing economy.",LABEL_0,0.9902818202972412
10,"others argued that tax increases, especially at the high end of the income scale, would discourage growth and investment.",LABEL_1,0.9966593980789185
11,"moreover, the dreaded energy tax increase of 4.3 cents a gallon of gasoline, which many politicians feared would cause voter backlash, is now forgotten in the general plunge of gas prices at the pump.",LABEL_1,0.9899879693984985
12,"the 1993 deficit reduction package was bold, but it didn't finish the job.",LABEL_0,0.9915246367454529
13,budget restructuring in combination with the high growth economy has moved the budget into surplus several years sooner than even the optimists dared to hope.,LABEL_1,0.5286298394203186
14,the fact that seemingly intractable budget deficits have been turned to small surpluses does not mean that we can declare victory and forget about fiscal policy.,LABEL_0,0.9739466905593872
15,"if the u.s. economy is more competitive and less inflation prone than it used to be, some of the credit goes to the continued effort over a couple of decades to reduce regulatory interference with competition in airlines, railroads, trucking, telecommunications, and energy.",LABEL_2,0.4985537827014923
16,"it is not easy to sort out causes and effects of the renewed confidence and vitality of the u.s. economy, although future economic historians are sure to come up with some interesting hypotheses, but at least for now, the u.s. economy seems to be more resilient and flexible, less inflation prone and more competitive (even in the fact of the high dollar) than most of us would have predicted a few years ago.",LABEL_2,0.987565815448761
17,does that mean the federal reserve can relax because there is no longer a threat of inflation?,LABEL_2,0.9286760687828064
18,much of the good news on the inflation front has come from factors that are clearly not going to last forever and could even turn around quite rapidly.,LABEL_2,0.9902580380439758
19,the dollar will not go on rising forever; the continuous downward pressure on import prices will at some point ease or reverse.,LABEL_0,0.8655604124069214
20,the price of oil and other commodities (largely a result of the drop in asian demand) will bottom out and begin to rise.,LABEL_2,0.9982428550720215
21,"the federal reserve is paid to worry about threats of inflation that could undermine the health of the economy and make growth unsustainable, and, at the moment, absent the imminent prospect of asian spillover slowing growth to more sustainable levels, we would be worrying very hard indeed.",LABEL_1,0.9976701736450195
22,"we had a backlog of technology invented and improved in the war years that we could apply to civilian uses, pent-up demand at home and abroad, and enormous confidence in our know-how, managerial skills and production methods.",LABEL_2,0.8485879898071289
23,"only a few years later, however, we found ourselves mired in stagflation, reeling from higher energy prices and losing our self-confidence at home and abroad.",LABEL_1,0.9982473850250244
24,some of those gurus and consultants came back to tell everyone who would pay their fees or buy their books that the secrets of successful asian economies included: lifetime employment guarantees for workers; close interconnections between banks and groups of industrial companies; industrial policy in which the government picks the winners and makes sure they get financed.,LABEL_2,0.8624165058135986
25,"the gurus and consultants have a new vocabulary to describe the same phenomena: lifetime employment is called ""inflexible labor markets;"" the relations between banks and companies are called ""inefficient capital markets;"" and industrial policy is called ""crony capitalism.""",LABEL_2,0.9480287432670593
26,"it will mean efforts to improve banking supervision, accounting systems, bankruptcy laws, transparency of fiscal and monetary policy.",LABEL_0,0.871803343296051
