Unnamed: 0,sentence,label,score
0,"a model in the phillips curve tradition remains at the core of how most academic researchers and policymakers--including this one--think about fluctuations in inflation; indeed, alternative frameworks seem to lack solid economic foundations and empirical support.",LABEL_2,0.9967712163925171
1,"but the modern phillips curve differs substantially from versions in use several decades ago; policymakers and academics alike are now attuned to the importance of expectations, the possibility of structural change, and the uncertainty that surrounds our understanding of the dynamics of wage and price adjustment.",LABEL_2,0.9975096583366394
2,"moreover, the link between inflation and resource utilization often emphasized in a phillips curve framework accounts for only a modest part of inflation fluctuations.",LABEL_2,0.9987046122550964
3,"my comments today will focus on how the lessons from recent research on the phillips curve are helping me think about the influence of fluctuations in the prices of commodities, such as oil, on the outlook for inflation and the appropriate policy responses to such developments.1 policy objectives and a framework for analyzing inflation fluctuationsthe federal reserve has been charged with the pursuit of price stability and maximum employment.",LABEL_2,0.9979974627494812
4,"price stability is uniquely in the control of the central bank over long periods, and it is a prerequisite for the economy performing efficiently over time.",LABEL_2,0.5742477774620056
5,"the welfare costs of inflation result from many factors: the potential costs to households and firms that result from efforts to insure themselves against inflation or from confusion regarding real and nominal prices; distortions to the financial system related to inflation; imperfect indexation of the taxation, especially of capital income, and the related distortions to economic activity; and the costs associated with a slow adjustment of nominal prices and wages.",LABEL_2,0.9622759819030762
6,the costs of inflation imply that central banks should aim for low measured inflation.,LABEL_0,0.9924198985099792
7,"moreover, many of the costs of inflation--such as those associated with misconceptions regarding inflation, efforts to insure against inflation, and distortions to the financial system--are associated with the rate of change in the entire set of prices of goods and services facing households or firms, suggesting that measured inflation should be gauged by the rate of change in a broad set of prices.",LABEL_2,0.9969711303710938
8,"accordingly, the federal open market committee (fomc) has been emphasizing that it gauges price stability over the long-term by the behavior of the overall personal consumption expenditures price index.",LABEL_2,0.9991993308067322
9,the economic framework that helps me think about fluctuations in inflation is based on the substantial body of research on models of price dynamics that has been developed over the past five decades.,LABEL_2,0.998772919178009
10,"at its heart, the framework is based on the importance of sluggish adjustment in (some) nominal wages and prices to changing economic conditions.",LABEL_2,0.9977170825004578
11,"this sluggishness undoubtedly reflects a number of factors, which include the costs of adjusting some nominal prices and wages, imperfect information regarding shifts in economic conditions, and learning by firms and households about the structure of the economy, including the setting of monetary policy.",LABEL_2,0.9983682632446289
12,"regardless of its source, the presence of sluggish nominal adjustment brings to the fore three key elements driving wage and price dynamics: inflation expectations, supply shocks, and resource utilization.",LABEL_2,0.9983352422714233
