Unnamed: 0,sentence,label,score
0,"but perhaps the most important thing we can do--as managers of financial institutions, as regulators, and as monetary policymakers--is to develop systems for our actions and reactions that can accommodate the unexpected--that is, we can become better managers of risk.",LABEL_2,0.8411247134208679
1,"still, for most industrialized economies the macroeconomic fallout from the sharp decline in equity prices, from the spike in risk premiums and business distress, and from the revelations of corporate wrongdoing of a few years ago has been limited; in the united states, we experienced a mild recession.",LABEL_0,0.9724265933036804
2,"second, monetary policy in the united states responded very aggressively to incipient declines in activity and inflation that resulted from the emerging problems.",LABEL_0,0.9993029832839966
3,"business cycles have been damped since the early 1980s, and inflation has been low and steady in the united states and many other industrial economies for some time.",LABEL_2,0.9633845090866089
4,most economic forecasts are for moderate growth and low inflation in the united states for the foreseeable future.,LABEL_2,0.9981086254119873
5,"to be sure, we see a range of views about just how much underlying strength the economy has, about the intensity of any inflation pressures, and about the path of interest rates that will be associated with continued growth and low inflation.",LABEL_2,0.9937124252319336
6,"the fundamentals, such as growth and inflation expectations and underlying financial conditions, appear to support continued good economic outcomes.",LABEL_2,0.9988123774528503
7,"moreover, the flexibility and resilience of markets for finance and for goods and services, together with monetary policy focused on maintaining price stability and high employment, should help damp the economic fallout from unexpected developments.",LABEL_0,0.9988593459129333
8,"however, although the most likely outcome for the overall economy is good, a number of characteristics of the current situation suggest some greater-than-usual risks around that central tendency, and, in particular, raise questions about the pattern of asset price movements that might accompany even favorable overall economic performance.",LABEL_0,0.820870578289032
9,"the resulting current account deficit has risen to a record level, in excess of 6 percent of gross domestic product.",LABEL_1,0.9973787069320679
10,"the counterpart of the current account deficit is low savings generated here at home; in the past year, household saving out of current income fell to the unusually low level of about 1 percent.",LABEL_0,0.9918338060379028
11,"several factors have contributed to the willingness of households to spend most of their income, but an important one has been the rapid and continuing rise in housing prices, which has boosted household net worth.",LABEL_1,0.9986125826835632
12,"that rise in turn probably reflects several influences, one of which has been low long-term interest rates.",LABEL_0,0.9991301894187927
13,these imbalances and unusual asset price configurations have persisted for some time.,LABEL_2,0.9925581812858582
14,the current account deficit has grown steadily since the mid-1990s; household saving rates have been on a downward trajectory for even longer; the low level of long-term interest rates and the rapid pace of house price increases have been the subject of much commentary for the past few years.,LABEL_0,0.9084717631340027
15,"at some point, global investors will require higher expected rates of return as their portfolios become increasingly concentrated in dollar assets; house price increases will encounter resistance as they rise relative to income and rents; as housing prices level out, households will recognize that they must increase saving out of income to have adequate resources for retirement; and the federal reserve already has been raising short-term interest rates as demand recovers from the shocks of recent years.",LABEL_1,0.9339292049407959
16,"historic patterns of movements in interest rates, exchange rates, and house prices may not be very good guides to future relationships.",LABEL_2,0.9989981055259705
17,who would have anticipated that the dollar would strengthen in 2001 as the federal reserve eased aggressively or that long-term interest rates would fall as we gradually reduced monetary accommodation over the past year?,LABEL_0,0.9990780353546143
18,and the risk of rapid adjustments and unusual configurations of asset price movements is higher than normal.,LABEL_2,0.9360144138336182
19,"tail events, that is, asset price movements that are much more extreme than our usual experience, often appear driven by unique and idiosyncratic circumstances, so their implications are open to question and a challenge to risk managers.",LABEL_2,0.6085056066513062
20,consider the management of market liquidity risk when asset prices are moving in unusual ways.,LABEL_2,0.9969971776008606
21,"trades may be possible mostly at smaller volumes, and large trades almost surely will have greater price effects than normally observed.",LABEL_1,0.9581893682479858
22,"other firms also may be trying to liquidate the same positions, creating further demands on diminished market liquidity.",LABEL_0,0.9946632981300354
23,risk management must take into account the potential for the longer holding periods and more-severe asset price movements likely to be observed in such conditions and the possibility of concentrations of positions in some markets.,LABEL_1,0.5335997939109802
24,managers of market risk typically mark positions to market and compute the value of positions under different assumptions about future price changes.,LABEL_2,0.9990420341491699
25,"more importantly, however, the dynamics of prices during tail events for individual assets and for assets in relation to each other likely are different from those observed in normal market conditions.",LABEL_2,0.9985513687133789
26,"but when contemplating more-unusual movements of asset prices, a firm must also consider the degree of correlation between default probabilities and exposures at default as well as the possibility of multiple, correlated downgrades.",LABEL_0,0.9731248021125793
27,"that said, the current imbalances, along with the unusual asset price movements of recent years and the investor behavior and expectations they reflect, offer clues to some of the extreme but plausible events that management should be considering.",LABEL_2,0.9668282866477966
28,perhaps the most important contribution of the federal reserve arises in its conduct of monetary policy.,LABEL_2,0.7991782426834106
29,our responsibility is to work to maintain a stable price level and economic environment.,LABEL_2,0.9986351132392883
30,your problems would be compounded many times over by a surge in inflation and economic instability.,LABEL_1,0.9987393617630005
31,"in our risk-management approach to monetary policy, we attempt to reduce the odds that our nation will experience damaging macroeconomic tail events.",LABEL_0,0.9992038011550903
