Unnamed: 0,sentence,label,score
0,"in the united states, a deep and liquid financial system has promoted growth by effectively allocating capital and has increased economic resilience by increasing our ability to share and diversify risks both domestically and globally.",LABEL_0,0.9859004020690918
1,"just as a healthy financial system promotes growth, adverse financial conditions may prevent an economy from reaching its potential.",LABEL_0,0.9986788630485535
2,a weak banking system grappling with nonperforming loans and insufficient capital or firms whose creditworthiness has eroded because of high leverage or declining asset values are examples of financial conditions that could undermine growth.,LABEL_0,0.9992256164550781
3,"japan faced just this kind of challenge when the financial problems of banks and corporations contributed substantially to sub-par growth during the so-called ""lost decade.""",LABEL_0,0.9970709085464478
4,"moreover, a fairly large literature has argued that changes in financial conditions may amplify the effects of monetary policy on the economy, the so-called credit channel of monetary-policy transmission.",LABEL_0,0.9904274940490723
5,market frictions and the real effects of financial and credit conditionseconomists have not always fully appreciated the importance of a healthy financial system for economic growth or the role of financial conditions in short-term economic dynamics.,LABEL_2,0.987450897693634
6,"however, in the 1930s, declining output and falling prices (which increased real debt burdens) led to widespread financial distress among borrowers, lessening their capacity to pledge collateral or to otherwise retain significant equity interests in their proposed investments.",LABEL_0,0.9986016154289246
7,"incidentally, this information-based explanation of how the sharp deflation in prices in the 1930s may have had real effects was closely related to, and provided a formal rationale for, the idea of ""debt-deflation,"" advanced by irving fisher in the early 1930s (fisher, 1933).",LABEL_2,0.6093500256538391
8,"on the nonmonetary side, mark gertler and i showed how, in principle, the effects of a real shock (such as a shock to productivity) on financial conditions could lead to persistent fluctuations in the economy, even if the initiating shock had little or no intrinsic persistence (bernanke and gertler, 1989).",LABEL_2,0.9985241889953613
9,"in the hypothetical case that gertler and i analyzed, an increase in productivity that improves the cash flows and balance sheet positions of firms leads in turn to lower external finance premiums in subsequent periods, which extends the expansion as firms are induced to continue investing even after the initial productivity shock has dissipated.",LABEL_0,0.87203449010849
10,"for example, small firms apparently account for a significant portion of cyclical changes in employment and inventory stocks.",LABEL_2,0.9989188313484192
11,"for example, unlike the standard view based on the wealth effect, this approach would suggest that the distribution of housing wealth across the population matters because the effect on aggregate consumption of a given decline in house prices is greater, the greater the fraction of consumers who begin with relatively low home equity.",LABEL_0,0.7358735203742981
12,"in countries like the united kingdom, for example, where most mortgages have adjustable rates, changes in short-term interest rates (whether induced by monetary policy or some other factor) have an almost immediate effect on household cash flows.",LABEL_1,0.8920876979827881
13,monetary policy and the credit channelthe ideas i have been discussing today have also been useful in understanding the nature of the monetary policy transmission process.,LABEL_2,0.997920036315918
14,"some evidence suggests that the influence of monetary policy on real variables is greater than can be explained by the traditional ""cost-of-capital"" channel, which holds that monetary policy affects borrowing, investment, and spending decisions solely through its effect on the level of market interest rates.",LABEL_2,0.6034090518951416
15,this finding has led researchers to look for supplementary channels through which monetary policy may affect the economy.,LABEL_0,0.6869387626647949
