Unnamed: 0,sentence,label,score
0,"main menu toggle button sections search toggle button search search submit button submit aboutthe fed structure of the federal reserve system purposes & functions board members advisory councils federal reserve banks federal reserve act currency board meetings board votes diversity & inclusion careers do business with the board holidays observed - k.8 contact requesting information (foia) faqs economic education fed financial statements innovation news& events press releases speeches testimony calendar videos photo gallery conferences monetarypolicy federal open market committee about the fomc meeting calendars and information transcripts and other historical materials faqs monetary policy principles and practice notes policy implementation policy normalization policy tools reports monetary policy report beige book quarterly report on federal reserve balance sheet developments review of monetary policy strategy, tools, and communications overview supervision& regulation institution supervision community & regional financial institutions large financial institutions foreign banking organizations financial market utilities consumer compliance reports federal reserve supervision and regulation report reporting forms all reporting forms recent updates information collections under review financial statements applications/structure change federal financial institutions examination council (ffiec) municipal & government securities supervision & regulation letters by year by topic banking applications & legal developments application process board & reserve bank action enforcement actions & legal developments regulatory resources regulations manuals basel regulatory framework volcker rule education, training, and assistance banking & data structure beneficial ownership reports large commercial banks u.s. offices of foreign entities financial holding companies interstate branching securities underwriting & dealing subsidiaries minority depository institutions paymentsystems regulations & statutes regulation cc (availability of funds and collection of checks) regulation ii (debit card interchange fees and routing) regulation hh (financial market utilities) other regulations and statutes payment policies federal reserve's key policies for the provision of financial services overnight overdrafts payment system risk sponsorship for priority telecommunication services reserve bank payment services & data automated clearinghouse services check services currency and coin services daylight overdrafts and fees fednow service fedwire funds services fedwire securities services fiscal agency services national settlement service financial market utilities & infrastructures supervision & oversight of financial market infrastructures designated financial market utilities international standards for financial market infrastructures research, committees, and forums payment research federal reserve payments study (frps) payments system policy advisory committee forums economicresearch working papers and notes finance and economics discussion series (feds) feds notes international finance discussion papers (ifdp) meet the economists models and tools frb/us model estimated dynamic optimization (edo) model survey of consumer finances (scf) data data download program bank assets and liabilities aggregate reserves of depository institutions and the monetary base - h.3 assets and liabilities of commercial banks in the u.s. - h.8 assets and liabilities of u.s.",LABEL_2,0.9920346736907959
1,corporations dealer financing terms senior credit officer opinion survey on dealer financing terms exchange rates and international data foreign exchange rates - h.10/g.5 international summary statistics securities holdings and transactions statistics reported by banks and other financial firms in the united states structure and share data for u.s. offices of foreign banks financial accounts financial accounts of the united states - z.1 household finance consumer credit - g.19 household debt service and financial obligations ratios mortgage debt outstanding survey of consumer finances (scf) survey of household economics and decisionmaking industrial activity industrial production and capacity utilization - g.17 interest rates selected interest rates - h.15 micro data reference manual (mdrm) micro and macro data collections money stock and reserve balances factors affecting reserve balances - h.4.1 money stock measures - h.6 other yield curve models and data consumers& communities regulations community reinvestment act (cra) all regulations supervision & enforcement ca letters enforcement actions independent foreclosure review community development housing and neighborhood revitalization small business and entrepreneurship employment and workforce development community development finance rural community and economic development conferences research & analysis survey of household economics and decisionmaking research publications & data analysis community advisory council consumer resources mortgage and foreclosure resources federal reserve community development resources home news & events speeches speech pdf please enable javascript if it is disabled in your browser or access the information through the links provided below.,LABEL_2,0.9962342977523804
2,"september 05, 2017 understanding the disconnect between employment and inflation with a low neutral rate governor lael brainard at the economic club of new york new york, new york share overall, the u.s. economy remains on solid footing, against the backdrop of the first synchronized global economic growth we have seen in many years and accommodative financial conditions.",LABEL_0,0.9992774724960327
3,"the labor market continues to bring more americans off the sidelines and into productive employment, which is a very welcome development.",LABEL_1,0.5937860012054443
4,"nonetheless, there is a notable disconnect between signs that the economy is in the neighborhood of full employment and a string of lower-than-projected inflation readings, especially since inflation has come in stubbornly below target for five years.",LABEL_0,0.9983698725700378
5,"with normalization of the federal funds rate under way and the start of gradual balance sheet normalization widely anticipated, i will want to take some time to assess the path of the federal funds rate that will best support a sustainable move in inflation to our 2 percent goal.1 sustainably achieving our inflation objective is especially important, given the apparent persistently low level of the neutral rate and the resulting limited room for maneuver above the effective lower bound.",LABEL_0,0.8151999711990356
6,the latest data on orders and shipments of capital equipment suggest that solid growth will likely continue in the second half of the year.,LABEL_1,0.8579186201095581
7,"while lackluster consumer spending was one of the key reasons for the weak increase in first-quarter gross domestic product (gdp), growth in personal consumption expenditures (pce) bounced back strongly in the second quarter, and recent readings on retail sales suggest another solid increase in consumer spending this quarter.",LABEL_1,0.7888175249099731
8,these developments have put upward pressure on gasoline prices.,LABEL_1,0.998970627784729
9,"based on previous hurricane events, the increase in gasoline prices should be short lived, but this outcome is uncertain and will depend on the extent of damage to refining capacity.",LABEL_2,0.9174877405166626
