Unnamed: 0,sentence,label,score
0,"to us, it simply seems like good institutional practice to engage with a wide range of interested individuals and groups as part of a comprehensive approach to enhanced transparency and accountability.2 motivation for the review the congress charged the federal reserve with achieving a dual mandateâ€”maximum employment and price stabilityâ€”and this review will take this mandate as given.",LABEL_2,0.692619264125824
1,we will also take as given that a 2 percent rate of inflation in the price index for personal consumption expenditures is the operational goal most consistent with our price-stability mandate.,LABEL_2,0.8889365792274475
2,"that said, based on the experience of other central banks that have undertaken similar reviews, our review is more likely to produce evolution, not a revolution, in the way we conduct monetary policy.",LABEL_2,0.9950706958770752
3,"with the u.s. economy operating at or close to our maximum-employment and price-stability goals, now is an especially opportune time for this review.",LABEL_2,0.9976469278335571
4,"the unemployment rate is at a 50-year low, and inflation is running close to our 2 percent objective.",LABEL_1,0.7389193177223206
5,"perhaps most importantly, neutral interest rates appear to have fallen in the united states and abroad.3 this global decline in neutral rates is widely expected to persist for years and likely reflects several factors, including aging populations, changes in risk-taking behavior, and a slowdown in technology growth.",LABEL_0,0.9990936517715454
6,"that development, in turn, could make it more difficult during downturns for monetary policy to support household spending, business investment, and employment and keep inflation from falling too low.4 another key development in recent decades is that inflation appears less responsive to resource slack, implying a change in the dynamic relationship between inflation and employment.5 this change is, in a sense, a proverbial double-edged sword.",LABEL_0,0.9993364810943604
7,"it permits the federal reserve to support employment more aggressively during downturnsâ€”as was the case during and after the great recessionâ€”because a sustained inflation breakout is less likely when inflation is less responsive to employment conditions.6 however, that dynamic also increases the cost, in terms of economic output, of reversing unwelcome increases in longer-run inflation expectations.",LABEL_0,0.9989057183265686
8,"thus, it is all the more important that longer-run inflation expectations remain anchored at levels consistent with our 2 percent inflation objective.7 activities and timeline for the review our monetary policy review will have several components.8 the board and the reserve banks are hosting fed listens eventsâ€”such as this one in bostonâ€”in which we are hearing from, among others, business and labor leaders, community development advocates, and academics.",LABEL_2,0.9834774136543274
9,"building on the perspectives we hear and on staff analysis, the federal open market committee will perform its own assessment of how it conducts monetary policy, beginning around the middle of the year.",LABEL_2,0.9982494711875916
