Unnamed: 0,sentence,label,score
0,national house prices have increased for 13 consecutive months and are now 10 percent higher than at their trough in december 2011.1 construction activity has also picked up.,LABEL_1,0.9925295114517212
1,"in national surveys, households report that low interest rates and house prices make it a good time to buy a home; they also appear more certain that house price gains will continue.3 and real estate agents report stronger traffic of people shopping for homes.4 the open question is whether this positive trend is sustainable.",LABEL_0,0.9960347414016724
2,"in particular, i expect demand to come from a pickup in new household formation, but i also recognize that these households may be the very population that faces especially tight credit conditions.",LABEL_0,0.997393012046814
3,"housing market overview and outlook last year's house price gains were achieved in an environment largely defined by historically unusual factors: a large number of underwater homeowners, which have effectively reduced the supply of properties for sale; the fact that foreclosed properties continue to represent an outsized, although gradually decreasing, share of sales transactions; and strong demand on the part of investors.",LABEL_0,0.9858784079551697
4,"the number of single-family homes for sale has fallen to its lowest level in a decade, which has likely contributed to the recent house price gains.",LABEL_2,0.9768576622009277
5,"indeed, cities that started 2012 with an outsized share of underwater homeowners have seen some of the largest price increases.",LABEL_1,0.9751083850860596
6,"next, sales of properties from lenders' real estate owned (reo) inventories represented 14 percent of sales transactions in 2012, down from 21 percent in 2010.5 these sales have damped house prices by increasing the supply of homes for sale and, in some areas, by reducing the desirability of a neighborhood as a place to live.6 this effect may be diminishing, as the foreclosure inventory has gradually started to decline.",LABEL_0,0.9922031164169312
7,"the decline in reo sales has been partly offset by an increase in short sales, but these properties tend to transact at smaller discounts than reo properties.7 finally, investors have been attracted to the housing market because of the low prices on reo properties.",LABEL_0,0.9864938855171204
8,the properties tend to sell at lower prices because some are damaged and because lenders may be more motivated sellers than the typical homeowner.,LABEL_0,0.9780346155166626
9,"the combination of a low purchase price, a possible steady stream of rental income, and the potential for significant capital gains has attracted considerable interest from large institutional investors as well as from the mom-and-pop investors who have historically dominated this market.",LABEL_2,0.7387404441833496
10,this increase in investor demand has supported house prices so far and may continue to provide a floor for them.,LABEL_2,0.5767714977264404
11,"i think house prices will continue to rise, as the supply of existing homes on the market will remain quite tight.",LABEL_1,0.998846173286438
