Unnamed: 0,sentence,label,score
0,another important development has been the rapid growth of the hedge fund industry and its expanded role in the financial system.,LABEL_1,0.8401005268096924
1,"better liquidity, which is instrumental to faster and more accurate price discovery and therefore to more-informative prices, can also be brought about by an increased presence of new institutions in new or existing markets.",LABEL_1,0.9960212111473083
2,"for example, policymakers may be concerned about unexpected price dynamics or problems in infrastructure or operations.",LABEL_2,0.9902799129486084
3,"market participants estimate how prices and investment flows are likely to behave for new instruments, but their understanding becomes more detailed and more accurate only as behavior under a variety of economic conditions is observed, and the development of that understanding obviously takes time.",LABEL_2,0.9985864162445068
4,"under turbulent conditions, or when new information causes market participants to question their own investment strategies, their behavior may change rapidly, leading to rapid price changes that may seem outsized relative to changes in economic fundamentals.",LABEL_2,0.8807939887046814
5,"prices moved quite a bit for a short time as portfolios were rebalanced, but spillovers to other markets were limited, and market volatility subsequently eased.",LABEL_2,0.9926489591598511
6,"of course, we should not want to prevent rapid price changes or changes in investment flows, as such changes may be appropriate as new information about fundamentals emerges.",LABEL_2,0.9982423782348633
7,"for example, in light of the effects of financial consolidation on the number of firms acting as dealers in the market for dollar interest rate options, the federal reserve became concerned about possible risks to the functioning of that market.",LABEL_0,0.9498167634010315
8,"although counterparties in wholesale markets should generally be expected to demand and obtain the information they need to evaluate their risks, policymakers can no doubt help establish high standards.",LABEL_2,0.993766725063324
9,"in the event that such monitoring suggests that the operations of some institutions or markets are under significant strain and, importantly, that the resulting pressures on businesses and households could have a material adverse effect on the real economy, the central bank may want to respond by adjusting the stance of monetary policy.",LABEL_0,0.9983019828796387
