Unnamed: 0,sentence,label,score
0,"despite the fact that political and economic aspects of the structure of the european economy have inherently been closely intertwined throughout history--and saying this, one thinks of the romans and later of charlemagne--i will focus on the economic aspects of the european project, and primarily on its monetary and financial aspects.6 intra-european monetary and exchange rate problems have for centuries bedeviled european countries and intra-european trade, and led to the desire for greater exchange rate stability--perhaps through some form of treaty or agreement, or even through a monetary union.",LABEL_2,0.970000147819519
1,"of course, the desire for greater exchange rate stability is true also of almost the entire world, and is reflected in the original articles of agreement of the international monetary fund.",LABEL_1,0.5296362638473511
2,"the papal states joined later in the same year, and greece and rumania joined in 1867.7 the members agreed to fix exchange rates among them by setting the amounts of silver and gold (weights and fineness) in the national coinage, with a specified exchange rate (15.5) between silver and gold.",LABEL_2,0.8706164360046387
3,"""8 the lmu fixed exchange rates within a bimetallic international system.",LABEL_2,0.981513261795044
4,"the exchange rates established by the lmu became ineffective during and after world war i, and the union was formally ended in 1927.9 kindleberger writes consolingly that ""from 1865 to 1867, ... the latin monetary union worked reasonably well, and its success suggested the desirability of expanding it to arrive at a 'universal money'"" (p. 69).",LABEL_2,0.7927612662315369
5,"at that time, the bretton woods agreement and capital controls were still producing reasonable stability in exchange rates.",LABEL_2,0.9943380355834961
6,"however, as bretton woods began to unravel in the 1960s, exchange rates became more unstable, and appreciations and depreciations against the dollar led to sizable shifts in bilateral rates among european currencies.",LABEL_1,0.9508179426193237
7,"of particular difficulty to members of the eec, under some circumstances the exchange rate bands specified in the smithsonian agreement permitted movements of up to 9 percent between any pair of currencies.",LABEL_1,0.6107105612754822
8,"in response to these pressures, members of the eec agreed in 1972 to the so-called ""snake""--or ""the snake in the tunnel""--that attempted to limit exchange rate fluctuations of each currency relative to the dollar.10 however, this system was soon tested, notably by the oil crises of the 1970s, as both the effects of the oil price increases themselves and the policies adopted in response differed across countries.",LABEL_1,0.9864643216133118
9,"if exchange rates among members of the eec were to be stabilized in the new world of floating rates, the community had to invent a substitute.",LABEL_2,0.9745753407478333
10,"in 1978, the members of the eec created the european monetary system, which started with an exchange rate mechanism (erm i) that limited currency fluctuations relative to a basket of national currencies.11 all members except the united kingdom participated in erm i.",LABEL_2,0.9745973348617554
11,"countries in the erm also adopted policies that lowered inflation, bringing interest rates into closer alignment.",LABEL_0,0.9969580769538879
12,this led other countries in the erm to follow german monetary policy.,LABEL_0,0.9966694116592407
13,"in part as a consequence of german reunification, the pressures generated by diverging fiscal policies and tightening german monetary policy contributed to the erm crisis of 1992.",LABEL_0,0.9879704117774963
14,the erm crisis was an apt illustration of the difficulties of trying to manage exchange rates among countries operating under markedly different economic conditions.,LABEL_2,0.9929535388946533
15,"however, rather than dissuading policymakers from trying to limit exchange rate fluctuations within a system that would nonetheless preserve the possibility of some exchange rate flexibility, the experience seemed to encourage them to continue with the plan of the maastricht treaty to introduce a single currency and a common monetary policy at the beginning of 1999.",LABEL_1,0.9208724498748779
16,"the exchange rate and central banking provisions of the maastricht treaty were introduced on the schedule set out in 1991, with the ecb coming into existence in 1999.",LABEL_1,0.6575502157211304
17,members of the eu agreed to the stability and growth pact in 1996.,LABEL_1,0.5809401273727417
18,with one decision--the decision to implement qe--it became clear that the ecb has the capacity both to decide to implement monetary policy at the zero lower bound--indeed below the zero lower bound--and to succeed in implementing that policy.,LABEL_0,0.9963464140892029
19,"european monetary policy in the earlier part of the great financial crisis was innovative, particularly in the invention of full-allotment outright monetary transactions.",LABEL_0,0.9917349815368652
20,"but the fact is that, when needed, europe produced the monetary policy leadership it needed.",LABEL_0,0.950990617275238
21,"that will require a great deal of thought about how to deal with future crises that could most easily be solved by an exchange rate adjustment, and it will also require developing a better mechanism to ensure that member states run responsible financial and budgetary policies.",LABEL_0,0.8852567672729492
22,"and it means the continuation of a courageous and effective monetary policy, and courageous and effective regulation and supervision of the financial system--albeit a monetary policy that could do even better if accompanied by an expansionary fiscal policy.",LABEL_0,0.9951832294464111
23,that means that the most important challenge of the future will require an increase in productivity growth in europe--and that is a challenge that faces the entire developed world.,LABEL_2,0.8892091512680054
