Unnamed: 0,sentence,label,score
0,"main menu toggle button sections search toggle button search search submit button submit aboutthe fed structure of the federal reserve system purposes & functions board members advisory councils federal reserve banks federal reserve act currency board meetings board votes diversity & inclusion careers do business with the board holidays observed - k.8 contact requesting information (foia) faqs economic education fed financial statements innovation news& events press releases speeches testimony calendar videos photo gallery conferences monetarypolicy federal open market committee about the fomc meeting calendars and information transcripts and other historical materials faqs monetary policy principles and practice notes policy implementation policy normalization policy tools reports monetary policy report beige book quarterly report on federal reserve balance sheet developments review of monetary policy strategy, tools, and communications overview supervision& regulation institution supervision community & regional financial institutions large financial institutions foreign banking organizations financial market utilities consumer compliance reports federal reserve supervision and regulation report reporting forms all reporting forms recent updates information collections under review financial statements applications/structure change federal financial institutions examination council (ffiec) municipal & government securities supervision & regulation letters by year by topic banking applications & legal developments application process board & reserve bank action enforcement actions & legal developments regulatory resources regulations manuals basel regulatory framework volcker rule education, training, and assistance banking & data structure beneficial ownership reports large commercial banks u.s. offices of foreign entities financial holding companies interstate branching securities underwriting & dealing subsidiaries minority depository institutions paymentsystems regulations & statutes regulation cc (availability of funds and collection of checks) regulation ii (debit card interchange fees and routing) regulation hh (financial market utilities) other regulations and statutes payment policies federal reserve's key policies for the provision of financial services overnight overdrafts payment system risk sponsorship for priority telecommunication services reserve bank payment services & data automated clearinghouse services check services currency and coin services daylight overdrafts and fees fednow service fedwire funds services fedwire securities services fiscal agency services national settlement service financial market utilities & infrastructures supervision & oversight of financial market infrastructures designated financial market utilities international standards for financial market infrastructures research, committees, and forums payment research federal reserve payments study (frps) payments system policy advisory committee forums economicresearch working papers and notes finance and economics discussion series (feds) feds notes international finance discussion papers (ifdp) meet the economists models and tools frb/us model estimated dynamic optimization (edo) model survey of consumer finances (scf) data data download program bank assets and liabilities aggregate reserves of depository institutions and the monetary base - h.3 assets and liabilities of commercial banks in the u.s. - h.8 assets and liabilities of u.s.",LABEL_2,0.9920346736907959
1,corporations dealer financing terms senior credit officer opinion survey on dealer financing terms exchange rates and international data foreign exchange rates - h.10/g.5 international summary statistics securities holdings and transactions statistics reported by banks and other financial firms in the united states structure and share data for u.s. offices of foreign banks financial accounts financial accounts of the united states - z.1 household finance consumer credit - g.19 household debt service and financial obligations ratios mortgage debt outstanding survey of consumer finances (scf) survey of household economics and decisionmaking industrial activity industrial production and capacity utilization - g.17 interest rates selected interest rates - h.15 micro data reference manual (mdrm) micro and macro data collections money stock and reserve balances factors affecting reserve balances - h.4.1 money stock measures - h.6 other yield curve models and data consumers& communities regulations community reinvestment act (cra) all regulations supervision & enforcement ca letters enforcement actions independent foreclosure review community development housing and neighborhood revitalization small business and entrepreneurship employment and workforce development community development finance rural community and economic development conferences research & analysis survey of household economics and decisionmaking research publications & data analysis community advisory council consumer resources mortgage and foreclosure resources federal reserve community development resources home news & events speeches speech pdf please enable javascript if it is disabled in your browser or access the information through the links provided below.,LABEL_2,0.9962342977523804
2,"november 11, 2016 u.s. monetary policy from an international perspective vice chairman stanley fischer at the 20th annual conference of the central bank of chile, santiago, chile (via videoconference) share accessible keys for video [space bar] toggles play/pause; [right/left arrows] seeks the video forwards and back (5 sec ); [up/down arrows] increase/decrease volume; [m] toggles mute on/off; [f] toggles fullscreen on/off (except ie 11); the [tab] key may be used in combination with the [enter/return] key to navigate and activate control buttons, such as caption on/off.",LABEL_2,0.9941779375076294
3,i am grateful for the invitation to speak to you today about how u.s. monetary policy affects the global economy and how foreign economic events affect u.s. monetary policy.,LABEL_2,0.9950026869773865
4,"given the importance of the united states in international trade and in the global financial system, the monetary policy actions of the federal reserve influence the global economy through a wide range of trade and financial channels.",LABEL_0,0.9897231459617615
5,"as i will discuss, each foreign economy may be affected quite differently by u.s. monetary policy actions, and each may view spillovers from u.s. monetary policy as desirable or undesirable.",LABEL_0,0.7335543036460876
6,"even so, i am reasonably confident that the spillovers from ongoing u.s. monetary policy normalization will generally prove manageable for foreign economies.1 while most of my discussion will focus on monetary policy spillovers, i will begin by underscoring a different aspect of the interconnectedness of the u.s. economy--namely, how foreign developments have an important influence on u.s. output and inflation, and hence on the conduct of u.s. monetary policy.",LABEL_2,0.949909508228302
7,how foreign developments influence u.s. monetary policy the u.s. economy is affected significantly by foreign developments through both trade and financial channels.,LABEL_0,0.5141394734382629
8,"given that about one-eighth of the goods and services produced in the united states are exported, a sizable component of u.s. aggregate demand depends on foreign consumption and investment decisions, and hence ultimately on the economic health of foreign economies.",LABEL_2,0.9585558176040649
9,"the high degree of interconnectedness between domestic and foreign financial intermediaries--banks, the nonbank financial sector, and insurers, among others--means that developments in foreign financial markets tend to reverberate quickly back to the united states, including through changes in asset prices and risk tolerance.",LABEL_2,0.9806877970695496
