Unnamed: 0,sentence,label,score
0,"so, tonight, after a brief review of the here and now, i will focus on an issue that is likely to be of more lasting importance: the need for policies that will support and encourage participation in the labor force, promote longer-term growth in our rapidly evolving economy, and spread the benefits of prosperity as widely as possible.",LABEL_1,0.9731971025466919
1,"the state of the economy and near-term prospects beginning with the here and now, congress has charged the federal reserve with achieving maximum employment and stable prices, two objectives that together are called the dual mandate.",LABEL_0,0.5537593364715576
2,this long period of growth has pushed the unemployment rate down near historic lows (figure 1).,LABEL_0,0.9963281750679016
3,"the employment gains have been broad based across all racial and ethnic groups and all levels of educational attainment as well as among the disabled (figure 2).1 and while the unemployment rate for african americans and hispanics remains above the rates for whites and asians, the disparities have narrowed appreciably as the economic expansion has continued.",LABEL_2,0.7622339129447937
4,"nearly all job market indicators are better than a few years ago, and many are at their most favorable levels in decades.",LABEL_2,0.9959103465080261
5,"in addition, business-sector productivity growth, which had been disappointing during the expansion, moved up in the first three quarters of 2018.",LABEL_2,0.686240017414093
6,rising productivity allows wages to increase without adding to inflation pressures.,LABEL_1,0.9948060512542725
7,sustained productivity growth is a necessary ingredient for longer-run improvements in living standards.,LABEL_2,0.5821866393089294
8,the price stability side of our mandate is also in a good place.,LABEL_2,0.999067485332489
9,"after remaining below our target for several years, inflation by our preferred measure averaged roughly 2 percent last year (figure 4).",LABEL_2,0.994871199131012
10,"inflation has softened a bit since then, largely reflecting the recent drop in oil prices.",LABEL_0,0.9978461265563965
11,"futures markets and other indicators suggest that oil prices are unlikely to fall further, and if this proves correct, oil's drag on overall inflation will subside.",LABEL_2,0.8993073105812073
12,"consistent with that view, core inflation, which excludes volatile food and energy prices and often provides a better signal of where inflation is heading, is currently running just a touch below our 2 percent objective.",LABEL_0,0.9939383864402771
13,signs of upward pressure on inflation appear muted despite the strong labor market.,LABEL_1,0.9683585166931152
14,"for instance, growth has slowed in some major economies, particularly china and europe.",LABEL_0,0.9595395922660828
15,"given the positive outlook but also muted inflation pressures and the crosscurrents i just mentioned, the federal open market committee (fomc) will be patient as we determine what future adjustments to the target range for the federal funds rate may be appropriate to support our dual-mandate objectives.",LABEL_0,0.8806139826774597
16,"since 2007, however, growth has averaged just 1.6 percent.",LABEL_2,0.9991490244865417
17,"if the earlier 3 percent growth had persisted over the past 12 years, incomes today would be almost 20 percent higher than they now are.",LABEL_1,0.632888913154602
18,"from the standpoint of future americans, if the slower growth persists for a half-century, incomes will end up roughly half of what they would have been.",LABEL_2,0.994318962097168
19,"why has growth slowed, and what can we do about it?",LABEL_2,0.9398817420005798
20,"to understand the causes of the slowdown, it is useful to divide growth into two components: (1) growth in the cumulative number of hours of worked by all workers and (2) growth in the amount of output derived, on average, from each hour of work.",LABEL_2,0.9966750741004944
21,"we refer to output per hour of work as ""labor productivity.""",LABEL_2,0.9958506226539612
22,"from 1991 through 2007, when the economy expanded at a 3 percent average rate, hours worked increased about 1 percent a year and economy-wide productivity grew about 2 percent (figure 5).3 since 2007, both of these growth factors have slowed by about half, with hours worked annually increasing only 0.5 percent from 2008 to 2018 and productivity rising just 1 percent on average.4 growth in hours worked has slowed, in part, because of slower u.s. population growth.",LABEL_2,0.9625151753425598
23,"demographic factors are generally slow moving and predictable, and there is no surprise in the fact that slower population growth and the retirement of the baby boomers are now contributing to slower growth in the total amount of work performed in the economy.",LABEL_0,0.997773289680481
24,"there is another factor contributing to the slower growth in hours, however, and this factor is more surprising and more troubling.",LABEL_2,0.8125432133674622
25,"the fraction of this age group who are neither in school nor in the labor force has held fairly constant at around 11 percent, and measures of school enrollment are up.5 higher educational attainment is much more important in today's job market than in the past, and investing in education today has long-term benefits for both the student and for society.6 statistics confirm that higher educational attainment is associated with higher labor force participation, lower unemployment, and higher wages.",LABEL_1,0.6229120492935181
26,"this pattern is consistent with the idea that a modern economy demands ever-higher skills, and that workers without those skills are being left behind (figure 9).",LABEL_1,0.9753263592720032
27,"i strongly believe policies that bring prime-age workers into productive employment, particularly those who may have been left behind because of low skills or educational attainment, could bring great benefits both to those workers and to our economy.",LABEL_0,0.9120451807975769
28,"the second factor accounting for the slowdown in gdp growth is the slower pace of labor productivity growth, or output per hour worked.",LABEL_0,0.7984078526496887
29,"when measured annually, labor productivity growth is volatile, but focusing on five-year averages, we can see that from 1975 through 2007, productivity growth averaged about 2 percent while fluctuating between about 1 and 4 percent (figure 10).",LABEL_2,0.9990864992141724
30,"since then, growth seems to have settled at the low end of that historical range.",LABEL_2,0.9983311295509338
31,"unlike the situation with labor force participation, the slowdown in productivity growth is also evident in most advanced economies, and the u.s. experience is roughly comparable to that of other countries.",LABEL_2,0.9957025051116943
32,there is an ongoing debate over the causes and implications of this global slowdown in productivity growth.,LABEL_0,0.9799292087554932
33,"some argue that the rapid growth seen over much of the 20th century was historically anomalous, and that we are destined to return to the slower growth of centuries past.",LABEL_2,0.9988323450088501
34,others are more optimistic that strong growth can return.,LABEL_2,0.9651838541030884
35,standard reasoning holds that capital-per-worker drives productivity.,LABEL_2,0.9237813949584961
36,"while we have had slower capital accumulation of late, we have also had slower growth in labor supply--hours worked.",LABEL_2,0.7677194476127625
