Unnamed: 0,sentence,label,score
0,"today, i want to discuss regulatory policies in the context of the growth and inevitable collapse of asset bubbles, with a focus on the role of credit.regulatory policies, when well crafted, can lean against credit excesses that result in asset bubbles.",LABEL_0,0.4171414375305176
1,"in so doing, they can lean against vulnerabilities in the financial system that encourage the growth of excess credit.",LABEL_0,0.5657591223716736
2,"and, to approximate current economic conditions, we'll assume an environment of interest rates that have been low, and continue to be low, for a long time.",LABEL_0,0.9980913996696472
3,"if many investors employ this strategy and they borrow to invest in the same asset, the price of that asset, and perhaps the prices of closely related assets as well, will increase noticeably faster than the historical trend.",LABEL_1,0.9963468313217163
4,"at the same time, increased demand for credit to finance these asset purchases could lead lenders to increase their reliance on less expensive, unstable short-term funding, such as uninsured deposits, commercial paper, or repo transactions, in order to fund the loans.",LABEL_0,0.9896072149276733
5,"besides meeting customers' growing demands for credit, financial intermediaries may themselves decide to ""reach for yield"" and take on additional risk in a low interest-rate environment.",LABEL_0,0.9990450739860535
6,"banks suffering compressed net interest margins because of low long-term interest rates, money market funds facing an earnings squeeze, insurance companies that had promised minimum rates of return on their products, and others may all begin to take on higher interest rate risk, market risk, liquidity risk, or credit risk in search of higher returns.",LABEL_1,0.9957190752029419
7,"if these conditions seem likely to continue, an initial rise in the asset's price leads to expectations of further increases, which adds to investor demand, spurring further borrowing and credit growth and increased household and financial sector leverage, which, in turn, could drive asset prices still higher.",LABEL_1,0.9991053938865662
8,"rising asset prices, in turn, would increase the value of borrowers' collateral, allowing still further borrowing.",LABEL_1,0.9987566471099854
9,"for loans collateralized by an asset whose price is rising, lenders believe they can rely for repayment more on the appreciation of the asset and collateral and less on the borrower's repayment ability.",LABEL_1,0.8818582892417908
10,"to compete for loans to buy or to hold the appreciating asset, or financial assets related to it, financial institutions could also decrease the margins and haircuts that usually protect them from asset price declines.",LABEL_0,0.9974534511566162
11,"financial institution decisions to relax underwriting and impose less-stringent margins and haircuts will further increase the pool of potential borrowers and their borrowing capacity, further increasing credit growth and supporting still higher asset prices, but, at the same time, will also increase lenders' credit risks and exposure--as secured creditors--to a decline in the asset's price.",LABEL_0,0.8821242451667786
12,"ultimately, the asset becomes severely overvalued, with its price untethered from economic fundamentals.",LABEL_2,0.5909398794174194
13,"and, as we experienced in the financial crisis, when a bubble involving a widely-held asset bursts, the consequent plunge in asset prices can seriously impair the balance sheets of households and firms.",LABEL_0,0.9981150031089783
14,"indeed, a dramatic decline in the price of a significant asset can reduce household wealth, spending, and aggregate demand.",LABEL_0,0.9977788329124451
15,"when such effects on wealth, credit availability, and aggregate demand are large enough, the real economy can suffer a significant recession.",LABEL_0,0.9988605380058289
16,"and, of course, lower employment and incomes further depress asset prices and borrowers' ability to repay loans, with further adverse effects on financial institutions and their ability to extend credit.",LABEL_0,0.99918532371521
17,"such a loss of confidence, in turn, makes it impossible for affected institutions to roll over existing debts or extend new credit, and may force deleveraging that requires selling illiquid assets quickly and cheaply in asset fire sales, resulting in further declines in asset prices.",LABEL_0,0.9983881711959839
18,"home prices rose dramatically for a decade, and then plunged more than 30 percent, throwing the financial system into chaos, severely contracting credit, and triggering the most severe recession in modern memory.",LABEL_0,0.9991036653518677
19,"and asset bubbles are characterized by many investors chasing the same asset, and so there is generally wide-spread participation in the growth and nurturing of the bubble.",LABEL_2,0.9737176299095154
20,but it is my view that asset bubbles are a feature of our financial landscape; that what happened before could happen again; and that the growth and after-effects of asset bubbles reflect particular financial institution decisions and particular regulatory policy choices or lapses.,LABEL_2,0.9679968953132629
21,"responding to asset price bubbles the good news is that i believe that regulatory policy, when part of a system of effective prudential supervision, has the potential to address asset price bubbles and their consequences.",LABEL_1,0.585683286190033
22,"in addition, such policies can build resilience in the financial system, enhancing its ability to absorb and shrug off unexpected losses from any source, including sharp asset price declines.",LABEL_0,0.9977011680603027
23,"of course, monetary policy also has the power to lean against the growth of asset bubbles.",LABEL_0,0.9943137168884277
24,"while there could be situations in which monetary policy might be needed to try to limit the growth of a bubble, in my opinion such use would represent a failure of regulatory policy, which represents a more tailored response than the flattening out of aggregate demand that would likely result from contractionary monetary policy.",LABEL_0,0.9969240427017212
25,"without plumbing the depths of each type of tool, i'll say a few words about each as it relates to the curbing of excess credit growth that fuels asset bubbles and to mitigating the effects of a bubble's collapse.",LABEL_2,0.5968093872070312
26,"thus, higher capital requirements, to some degree, also lean against excessive credit growth that can fuel asset bubbles.",LABEL_1,0.9965488910675049
27,"in that sense, minimum liquidity requirements also lean against building vulnerabilities that could accompany the growth of an asset bubble.",LABEL_2,0.5161388516426086
28,"haircuts tend to be cyclical: falling in good times, which adds to the growth of credit, and rising in busts, which contracts credit.",LABEL_2,0.7873027920722961
29,"it could also make it more expensive to fund the purchase of the securities, and so could limit the amount of borrowing that could be supported by an asset of given value; this, in turn, might limit credit-fueled increases in the asset's price.",LABEL_0,0.9774888753890991
30,"in other words, by requiring increased margin, the growth of credit can be slowed and resiliency can be strengthened.",LABEL_1,0.9853830933570862
31,this would lean against the growth of bubbles even if regulators had not yet discerned the particular type of asset bubble growing.,LABEL_2,0.9749332666397095
32,tighter minimum down payment requirements in good times would likely reduce defaults and build lender resilience to later losses due to asset price declines.,LABEL_0,0.9990555047988892
33,"at the same time, by actively leaning progressively harder against property-related credit expansion, they may restrain excessive credit growth and property price appreciation, and reduce the chances--and magnitude--of a sharp price bust.",LABEL_0,0.9977059364318848
34,"in hong kong, for example, tighter down payment rules reduce household leverage and the sensitivity of defaults to changes in property prices, and have been shown to slow property appreciation.",LABEL_0,0.9975969791412354
35,"regulatory policies that aim to increase the resilience of regulated institutions, and lean against asset bubbles by restraining the growth of lending by such institutions, can be circumvented when financial activities migrate into less regulated parts of the financial system, parts likely farther from the protections of deposit insurance and the lender of last resort.",LABEL_0,0.9816193580627441
36,and such a fragmented structure itself demands unusual and extensive degrees of coordination and cooperation among financial regulators so as to maximize the potential for comprehensive and harmonized regulation.,LABEL_2,0.7874733805656433
37,"in reality, it is hard to know in real time when asset prices have deviated sharply from fundamentals.",LABEL_2,0.9511429071426392
38,asset price increases often initially reflect improving fundamentals and may only subtly and gradually change into reflections of speculative excess.,LABEL_2,0.8454725742340088
39,"prior to the peak of housing prices, interest rates were low, making mortgage payments affordable; real incomes were rising; population was growing; and household formation was high--all ""fundamental"" determinants of the demand for housing and house prices.",LABEL_1,0.5172216296195984
40,"at some point, however, house prices were driven less by these fundamentals and more by speculation and weak underwriting.",LABEL_0,0.9979559183120728
41,"ultimately, this drove house prices to unsustainably high levels.",LABEL_1,0.9987937808036804
42,"these reforms will build resilience to whatever shocks may come, and will reduce the potential for asset bubbles and excessive credit growth, leverage, maturity transformation, reliance on unstable short-term wholesale funding, and, thus, the potential for future financial crises.",LABEL_0,0.993756890296936
43,"only when such tools--be they capital-focused, liquidity-focused, margin--and haircut-focused, or underwriting-focused--are fully embedded into a comprehensive system of prudential regulation will they reach their potential in mitigating the growth of asset bubbles and providing resiliency against the awful consequences attendant to their destruction.",LABEL_0,0.9967723488807678
