Unnamed: 0,sentence,label,score
0,i would like to talk today about how one might explicitly incorporate financial stability considerations into a monetary policy framework.1 doing so involves tackling two questions--one that is relatively easy and one that is much harder.,LABEL_2,0.9790083169937134
1,"the easier question is, should financial stability concerns, in principle, influence monetary policy decisions?",LABEL_2,0.6138120293617249
2,"to be specific, are there cases in which one might tolerate a larger forecast shortfall of the path of the unemployment rate from its full-employment level than one would otherwise, because of a concern that a more accommodative policy might entail a heightened risk of some sort of adverse financial market outcome?",LABEL_0,0.9975962042808533
3,"what sorts of data should one look to, and what sorts of empirical methods should one use, to calibrate by how much the stance of monetary policy should be altered relative to the case in which financial stability considerations are completely set aside?",LABEL_2,0.9972485303878784
4,"while i hope to convince you that this path is worth exploring, i cannot say that i know yet exactly where it will lead--and, in particular, whether it will ultimately deliver monetary policy prescriptions that differ in a quantitatively meaningful way from those offered by our current models.",LABEL_2,0.9887309670448303
5,"i am going to try to make the case that, all else being equal, monetary policy should be less accommodative--by which i mean that it should be willing to tolerate a larger forecast shortfall of the path of the unemployment rate from its full-employment level--when estimates of risk premiums in the bond market are abnormally low.",LABEL_0,0.9992418885231018
6,do financial stability considerations belong in a monetary policy framework?,LABEL_2,0.9258816838264465
7,"however, let me start with the conceptual question of whether financial stability considerations belong at all in a monetary policy framework.",LABEL_2,0.9453667998313904
8,"first, suppose that the federal reserve focuses only on its traditional dual mandate of maximum employment and price stability.",LABEL_0,0.9797983169555664
9,"to keep things simple, suppose further that these two goals are not in conflict with one another--say, because aggregate demand is weak, depressing both employment and inflation--so that we can boil things down to one objective: keeping unemployment close to target.",LABEL_0,0.9134792685508728
10,"a little bit of algebra shows that this objective function can in turn be decomposed into two pieces: (1) an ""expected shortfall"" term, given by the squared deviation of expected unemployment from the target level of u*; and (2) a ""risk"" term, given by the variance of realized unemployment, u.5 second, the argument assumes that there is some variable summarizing financial market vulnerability--i will be abstract for the moment and just call it fmv--which is influenced by monetary policy.",LABEL_2,0.8010229468345642
11,"that is, easier monetary policy leads to increased vulnerability as measured by fmv.",LABEL_0,0.9880736470222473
12,"moreover, when fmv is elevated, there is a greater probability of an adverse event--some kind of financial market shock--that, if it were to occur, would push up the unemployment rate, all else being equal.6 the third and final assumption is that the risks associated with an elevated value of fmv cannot be fully offset at zero cost with other nonmonetary tools, such as financial regulation.",LABEL_1,0.5112281441688538
13,"these imperfections could stem from regulatory arbitrage; political-economy constraints; or the fact that too much regulation can also impede economic growth, just like overly restrictive monetary policy.7 thus one way to think of my construct of fmv is that it is a stand-in for the level of financial vulnerabilities that remain after regulation has done the best that it can do, given the existing real-world limitations.",LABEL_0,0.9932662844657898
14,"in this setting, even with inflation concerns entirely set aside, monetary policy faces a tradeoff.",LABEL_0,0.9731822609901428
15,consider a situation in which unemployment is above target.,LABEL_2,0.5549732446670532
