Unnamed: 0,sentence,label,score
0,"in my remarks today, i will discuss the rationale for the decision by the federal open market committee (fomc) in november to initiate a new program of asset purchases, and i will address some frequently asked questions (faqs) regarding the program's economic and financial effects both here and abroad.1 the purpose of the new asset purchase program, like all of the monetary policy actions taken by the fomc since the onset of the global financial crisis, is to fulfill our congressionally mandated objectives of promoting maximum employment and price stability.",LABEL_0,0.9987249970436096
1,"as shown in figure 1, the unemployment rate rose from around 5 percent in the spring of 2008 to about 10 percent by the autumn of 2009 and has stayed well above 9 percent since then.",LABEL_1,0.9948660135269165
2,"most observers, including myself, judge this level of unemployment to be much higher than levels consistent with full employment and stable inflation.",LABEL_0,0.6867806911468506
3,"for example, in a recent survey of professional forecasters conducted by the federal reserve bank of philadelphia, the median estimate of the current level of structural unemployment--often referred to as the non-accelerating inflation rate of unemployment (nairu)--stood at about 5-3/4 percent, implying that the unemployment gap is nearly 4 percentage points.",LABEL_0,0.8071627020835876
4,"for example, roughly 4 percentage points of today's unemployment rate reflects individuals who have been unemployed for half a year or more.",LABEL_0,0.997347891330719
5,"those who experience an extended period of unemployment face a risk of losing their ability to participate successfully in the workforce, lending additional urgency to the task of reviving the demand for labor.",LABEL_0,0.9957882761955261
6,such low rates of resource utilization are typically accompanied by falling inflation.,LABEL_0,0.9956933259963989
7,"and, indeed, as shown in figure 2, measures of inflation for personal consumption expenditures (pce) have declined significantly since 2008.",LABEL_0,0.9974947571754456
8,"for the total pce inflation rate, the underlying trend is obscured to some extent by large swings in energy prices.",LABEL_2,0.9979252219200134
9,"however, the downward trend is clearly evident from the evolution of core pce inflation, which excludes the volatile prices of food and energy.",LABEL_0,0.6722111701965332
10,"the 12-month change in core pce prices dropped from about 2-1/2 percent in mid-2008 to around 1â€‘1/2 percent in 2009 and declined further to less than 1 percent by late 2010.2 as inflation has trended downward, measures of underlying inflation have fallen somewhat below the levels of about 2 percent or a bit less that most committee participants judge to be consistent, over the longer run, with the fomc's dual mandate.",LABEL_0,0.9853612780570984
11,"in particular, a modest positive rate of inflation over time allows for a slightly higher average level of nominal interest rates, thereby creating more scope for the fomc to respond to adverse shocks.",LABEL_1,0.9902298450469971
12,"a modest positive inflation rate also reduces the risk that such shocks could result in deflation, which can be associated with poor macroeconomic performance.",LABEL_0,0.9969556331634521
13,"of course, if incoming information last autumn had been pointing to greater momentum in the prospects for economic growth or to a rapid escalation in inflation, then the case for further monetary policy easing might have seemed less pressing.",LABEL_1,0.9964639544487
14,"as shown in the november sep, most committee participants anticipated that the economy would recover only gradually and projected that the unemployment rate would still be at around 8 percent at the end of 2012--an outlook that is shared by most outside forecasters.",LABEL_2,0.9926601648330688
15,"similarly, committee participants generally expected inflation to rise very gradually toward levels consistent with the federal reserve's mandate.",LABEL_1,0.9979320168495178
16,"moreover, continuing downside risks to the outlook for economic activity and inflation strengthened the case for providing additional monetary policy accommodation, thereby reducing the risk of another downturn in economic activity or a further decline in inflation.",LABEL_0,0.9993276596069336
17,"the design of the asset purchase program in weighing its policy options last autumn, the committee gave careful consideration to the question of whether further purchases of longer-term treasury securities were likely to be effective in fostering economic recovery and bringing inflation back up to levels judged to be consistent with the dual mandate.3 in my judgment, both theoretical analysis and empirical evidence suggested that such purchases could provide effective stimulus by keeping longer-term interest rates lower than they would otherwise be.",LABEL_0,0.9986194372177124
18,"the underlying theory, in which asset prices are directly linked to the outstanding quantity of assets, dates back to the early 1950s.4 for example, in preferred-habitat models, short- and long-term assets are imperfect substitutes in investors' portfolios, and the effect of arbitrageurs is limited by their risk aversion or by market frictions such as capital constraints.",LABEL_2,0.9974095821380615
19,"consequently, the term structure of interest rates can be influenced by exogenous shocks in supply and demand at specific maturities.",LABEL_2,0.9945660829544067
20,purchases of longer-term securities by the central bank can be viewed as a shift in supply that tends to push up the prices and drive down the yields on those securities.,LABEL_1,0.9371199011802673
21,"in the context of such an analytical framework, the effect of an asset purchase program also depends on investors' perceptions of the future path of short-term interest rates as well as their perceptions of the timing and pace of the central bank's eventual unwinding of its asset purchases.",LABEL_0,0.9953446388244629
22,"recent empirical work provides a rough gauge of the quantitative effects of longer-term securities purchases.5 for example, event studies have investigated the short-term response of asset prices to announcements by the federal reserve and the bank of england regarding their respective asset purchase programs.",LABEL_0,0.9619117975234985
23,"as is evident from the table, these announcements were generally associated with a substantial decline in the 10-year treasury yield and the yield on 10-year treasury inflation-protected securities (tips) as well as in rates on agency mbs and corporate debt.",LABEL_0,0.9981757998466492
24,"turning now to the macroeconomic effects of the federal reserve's securities purchases, there are several distinct channels through which these purchases tend to influence aggregate demand, including a reduced cost of credit to consumers and businesses, a rise in asset prices that boosts household wealth and spending, and a moderate change in the foreign exchange value of the dollar that provides support to net exports.",LABEL_1,0.990971565246582
25,"that path of longer-term treasury yields leads to a significant pickup in real gross domestic product (gdp) growth relative to baseline and generates an increase in nonfarm payroll employment that amounts to roughly 700,000 jobs.10 it should also be noted that this exercise is performed as a deterministic simulation and hence does not capture the potential benefits of the asset purchase program in mitigating downside risks to economic activity and inflation.",LABEL_2,0.5678742527961731
26,"those simulation results indicate that by 2012, the full program of securities purchases will have raised private payroll employment by about 3 million jobs.",LABEL_0,0.9096996188163757
27,"moreover, the simulations suggest that inflation is currently a percentage point higher than would have been the case if the fomc had never initiated a securities purchases, implying that, in the absence of such purchases, the economy would now be close to deflation.11 addressing some faqs about the asset purchase program has the program been effective in promoting the economic recovery?",LABEL_1,0.6665834784507751
28,"importantly, as expectations of the program gradually became embedded in asset prices during late summer and early autumn, the 10-year tips yield dropped nearly 1/2 percentage point over the period between the august and november fomc meetings; moreover, equity prices rose and corporate bond spreads narrowed.",LABEL_0,0.9931567907333374
29,"over that period, of course, asset prices were also responding to economic news and some favorable corporate earnings reports, but the overall pattern of the financial market data bolstered my confidence in the effectiveness of the federal reserve's securities purchases in providing additional monetary policy accommodation.",LABEL_0,0.999058723449707
30,"i believe that this increase in treasury yields likely reflects a number of significant factors, including incoming information suggesting a somewhat stronger economic outlook and the fiscal package that was announced by president obama in early december and approved by the congress about two weeks later; that package will not only support economic growth next year but will also increase the amount of federal debt issuance.",LABEL_1,0.9959151744842529
