,sentence
0,"until the great financial crisis, both the practice and the theory of modern central banking revolved around the inflationary tendencies inherent in the conflict between the short- and long-run effects of monetary expansion and in the temptations of monetary financing of government spending.3 taking into account the fact that many leading central banks have recently had to deal with below-target inflation, one would have to amend the previous sentence to say that the practice and the theory of modern central banking revolve around the benefits of keeping monetary policy independent of short-term political considerations--with respect to both the stabilization of the price level and the temptations of monetary financing of the budget."
1,the mandate given to central banks in legislation passed in the 1930s and 1940s typically included both monetary stability and the promotion of full employment and maximum output--and frequently other goals as well.
2,"as the inflationary forces that eventually led to the collapse of the bretton woods system gathered strength in the 1960s and 1970s, the focus of monetary policy shifted to the maintenance of the domestic value of the currency."
3,"in the decades that followed, central banks began to place greater emphasis on the stabilization of inflation, and that trend has continued to date.4 although this shift in emphasis originated in the advanced economies, emerging market and developing economies eventually followed suit, with many of them bringing down high rates of inflation and formally adopting an inflation targeting policy framework."
4,"even in countries without formal inflation targeting frameworks, stabilization of inflation remains an important objective, sometimes alongside other important objectives such as stabilization of the external value of the currency, stabilization of the macroeconomy, financial stability, and the development of the monetary and financial systems."
5,"the u.s. economy and monetary policy in the united states, the federal reserve has, since 1977, been operating under a dual mandate to pursue maximum sustainable employment and price stability.5 our main challenge, since the global financial crisis, has been to make rapid (or at least as rapid as possible) progress toward achieving these objectives."
6,"while it has taken a long time, and extraordinary monetary policy actions, the u.s. economy is now close to full employment, with core inflation, at 1.2 percent, below our 2 percent inflation target, but, in the view of the federal open market committee (fomc), likely to reach 2 percent within about two years."
7,let me provide an update on recent progress toward the attainment of these goals and its effects on the current stance of the federal reserve's monetary policy.
8,"u.s. economic activity and inflation the u.s. economy slowed sharply in the first quarter of this year, with the most recent estimate being that real gdp declined 0.2 percent at an annual rate."
9,"confirming that view, the latest monthly data on real consumption provide welcome evidence that consumer demand is rebounding, and that economic activity likely expanded at an annual rate of about 2.5 percent in the second quarter."
10,"these gains are lower than those seen late last year but are still substantial, and they are above the rate needed to maintain the rate of unemployment at a constant rate of labor force participation."
11,the unemployment rate has moved lower this year and registered 5.5 percent in may.
12,both long-term unemployment and involuntary part-time employment declined as well.
13,there are grounds for optimism that economic growth will be sufficient to promote further gains in labor market conditions.
14,consumer spending should be helped by the earlier declines in oil prices because the boost to household incomes from the drop in oil prices is substantial.
