,sentence
0,"in a democratic society like our own, the ultimate purpose of the central bank is to promote the public good by pursuing a course of monetary policy that fosters economic prosperity and social welfare."
1,"according to this legislation, the federal reserve's mandate is ""to promote effectively the goals of maximum employment, stable prices, and moderate long-term interest rates."""
2,"because long-term interest rates can remain low only in a stable macroeconomic environment, these goals are often referred to as the dual mandate; that is, the federal reserve seeks to promote the two coequal objectives of maximum employment and price stability."
3,"now with respect to the first objective, the rationale for maximizing employment is fairly obvious."
4,"the alternative situation--high unemployment--is associated with human misery, including lower living standards and increases in poverty as well as social pathologies such as loss of self-esteem, a higher incidence of divorce, increased rates of violent crime, and even suicide."
5,"furthermore, when unemployment is high, the economy has idle workers along with a reduced level of production and household income."
6,"and when factories are idle, firms generally choose not to invest in additional plant and equipment, which in turn has adverse consequences for subsequent labor productivity and economic growth."
7,"all these symptoms of high unemployment were observed during the economic devastation of the great depression during the 1930s, which is now just a fading memory."
8,"with respect to the second objective--that of price stability--there is now a broad consensus among policymakers, academic economists, and the general public in support of the principle that maintaining a low and stable inflation rate provides lasting benefits to the economy."
9,"in particular, low and predictable inflation promotes social welfare by simplifying the savings and retirement planning of individual households and by facilitating firms' production and investment decisions."
10,"furthermore, an environment of overall price stability contributes to economic efficiency by reducing the variability of relative prices and by minimizing the distortions that arise because the tax system is not completely indexed to inflation."
11,price stability also has important benefits in terms of equity.
12,"for example, an elevated inflation rate typically increases poverty because the poorest members of society do not have access to the sorts of financial instruments that would help protect them against inflation."
13,"by the way, these are not just theoretical arguments: the experience of the united states in the 1970s, and that of many other economies across a wide range of times and circumstances, demonstrates that high and unstable inflation generally detracts from the standard of living, hinders the process of capital formation and economic growth, and in some countries has even led to political and social instability."
14,such episodes also show that a full recovery from the adverse effects of severe inflation can take many years.
15,"of course, the federal reserve doesn't take a literal approach to the goal of maximum employment."
16,"furthermore, every modern economy has a certain level of ""frictional"" unemployment, which reflects the transitory periods over which individuals remain voluntarily unemployed while searching for a new job."
17,"partly for these reasons, federal reserve officials and other policymakers often refer to this aspect of the dual mandate as the goal of maximum sustainable employment, and they place particular emphasis on the word sustainable."
