,sentence
0,moderate growth continued at a slightly above-trend pace.
1,the unemployment rate was running at 50-year lows.
2,pce (personal consumption expenditures) inflation was running just below our 2 percent target.
3,"labor force participation among people in their prime working years had been trending down since the turn of the millennium, and productivity gains during the expansion were disappointing."
4,"as the expansion continued its long run, however, productivity started to pick up, the labor market strengthened, and the benefits of growth began to be more widely shared."
5,"consumption held up well through august after the expiration of expanded unemployment insurance benefits, indicating that savings from transfer payments continue to support economic activity."
6,"a recent fed survey showed that households in july had surprisingly upbeat views of their current financial well-being, with 77 percent of adults either ""doing okay"" or ""living comfortably,"" an improvement even over the reading immediately preceding the pandemic.1 still, since it appears that many will undergo extended periods of unemployment, there is likely to be a need for further support."
7,"second, aid to firmsâ€”in particular, the paycheck protection programâ€”and the general boost to aggregate demand have so far partly forestalled an expected wave of bankruptcies and lessened permanent layoffs."
8,"taken together, fiscal and monetary policy actions have so far supported a strong but incomplete recovery in demand and haveâ€”for nowâ€”substantially muted the normal recessionary dynamics that occur in a downturn."
9,"in a typical recession, there is a downward spiral in which layoffs lead to still lower demand, and subsequent additional layoffs."
10,"while the combined effects of fiscal and monetary policy have aided the solid recovery of the labor market so far, there is still a long way to go."
11,"after rising to 14.7 percent in april, the unemployment rate is back to 7.9 percent, clearly a significant and rapid rebound."
12,"in august, employment of those in the bottom quartile of the wage distribution was still 21 percent below its february level, while it was only 4 percent lower for other workers.2 combined with the disproportionate effects of covid on communities of color, and the overwhelming burden of childcare during quarantine and distance learning, which has fallen mostly on women, the pandemic is further widening divides in wealth and economic mobility."
13,the median participant saw unemployment declining to 4 percent and inflation reaching 2 percent by the end of 2023.
14,"the pace of economic improvement has moderated since the outsize gains of may and june, as is evident in employment, income, and spending data."
15,"one such risk is that covid-19 cases might again rise to levels that more significantly limit economic activity, not to mention the tragic effects on lives and well-being."
16,"over time, household insolvencies and business bankruptcies would rise, harming the productive capacity of the economy, and holding back wage growth."
17,the recovery will be stronger and move faster if monetary policy and fiscal policy continue to work side by side to provide support to the economy until it is clearly out of the woods.
18,"given this audience, i would be remiss were i not to mention our review of our monetary policy strategy, tools, and communications, which concluded recently with our adoption of a flexible average inflation-targeting regime."
19,"today i will just note that the underlying structure of the economy changes over time, and that the fomc's framework for conducting monetary policy must keep pace."
20,"there has been a decline in estimates of the potential or longer-run growth rate of the economy and in the general level of interest rates, presenting challenges for the ability of monetary policy to respond to a downturn."
21,"on a more positive note, we have seen that the economy can sustain historically high levels of employment, bringing significant societal benefits and without causing a troubling rise in inflation."
22,the new consensus statement acknowledges these developments and makes appropriate changes in our monetary policy framework to position the fomc to best achieve its statutory goals.
23,"the new guidance says that, with inflation running persistently below our longer-run 2 percent goal, the committee will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent."
24,"the committee also left the target range for the federal funds rate unchanged at 0 to 1/4 percent, and it expects it will be appropriate to maintain this target range until labor market conditions have reached levels that are consistent with the committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time."
