,sentence
0,"a strong banking industry is necessary for households and businesses to engage in the spending, saving, and investment that constitute economic activity, and one of the purposes of financial regulation is to ensure that banks continue to be able to serve this purpose."
1,"i mention this because it is also true that the change in population over time has a bearing on the economic health of communities and regions, and is part of the story for economic growth in the western united states."
2,"while we don't have state or regional numbers for this year, from 2015 through 2017, gdp, after adjusting for inflation, grew two to nearly three times as fast in the west as in the rest of the united states."
3,"this picture of the west leading the nation in economic growth is also reflected in population, a key factor in that growth."
4,"from 2010 to 2017, the population of the west increased 7.4 percent, compared to 5.3 percent for the nation.7 one might guess that this strong growth is primarily in cities, and in fact reflects the drain of population from smaller towns that is reported to be happening all over the united states."
5,"in the cities of the west, those communities of 50,000 or more, the population grew 7.8 percent from 2010 to 2017, eclipsed by the 10 percent growth in southern cities but well above the 2 percent to 3 percent increase in the cities of the northeast and midwest.8 at the same time, the west led the other regions of the united states in growth for towns and cities from 10,000 to 50,000 in size, and likewise for towns between 5,000 and 10,000."
6,"in fact, the average western small town grew 7.8 percent in those seven years, which is roughly the same healthy pace of growth registered in western towns and cities from the smallest to the largest."
7,"another lesson is that population growth and the attendant economic growth in the west is not zero sum, and that small towns can still grow healthily while the metropolises of the west continue to attract people, partly from outside the region."
8,"in any community, access to credit is essential for economic growth."
9,"in any community, but especially in rural communities, small businesses are key drivers of growth."
10,but let me remind you of the very encouraging data i cited on the growth of small towns in the west.
11,it is my hope that the opportunity for the future that this population growth suggests will support the local banks that communities need to thrive.
