,sentence
0,"by any measure, the cumulative decline in economic activity was large."
1,"nationally, employment decreased by nearly 9 million, while the unemployment rate climbed from roughly 5 percent to 10 percent."
2,"this recession was the most severe economic downturn since the great depression, when the unemployment rate is estimated to have soared to above 20 percent and real gdp is measured to have plummeted by more than 25 percent."
3,"for comparison, the only other time since then when the national unemployment rate rose above 10 percent was the ""double-dip"" recession of the early 1980s."
4,national house prices have fallen 33 percent in nominal terms since their peak in 2006.
5,"in contrast, home prices dipped only 2 percent in the early 1990s downturn, and they did not decline at all in the early 1980s recession."
6,"the unemployment rate, which was about the same as the national average prior to the recession, rose to a peak of nearly 13 percent."
7,"moreover, the number of jobs in los angeles fell by a cumulative 9 percent, nearly half again as much as the decrease in national employment."
8,"however, the increase in the unemployment rate was even larger during the recent recession than in the 1990s episode."
9,"in fact, los angeles's peak unemployment rate in 2010 was the highest ever recorded in this city in the almost four decades during which local-area statistics have been published."
10,"home prices have fallen nearly 40 percent from their peak, while the issuance of building permits for the construction of new homes dropped nearly 90 percent."
11,"moreover, as of march of this year, employment at the national level had risen by only 3-1/2 million jobs, less than half of the number of jobs lost during the recession, and the unemployment rate was still significantly elevated at 8.2 percent."
12,"even though general economic activity and labor market conditions have improved modestly in the past two and a half years or so, house prices have continued to trend down, albeit at a slower pace than in 2007 and 2008."
13,"and single-family housing starts have shown no noticeable increase since their low point in the middle of 2009, although multifamily construction has been rising with the expanding demand for rental apartments."
14,"the unemployment rate in the los angeles area has been declining, but, still at almost 12 percent, it remains well above the national average."
15,"house prices in the los angeles area have continued to decline, and single-family construction has been flat, although multifamily construction has picked up."
16,"in the past six months, the national unemployment rate has come down about 3/4 percentage point and employment has increased by about 1 million."
17,"in los angeles, employment expanded by 1 percent over the six months ending in february (the latest available data), and the local-area unemployment rate also declined about 3/4 percentage point."
18,economic studies have found that the aftermath of a financial crisis is usually associated with substantial declines in output and employment and that it takes much longer to return to pre-crisis levels of economic activity.1 recent research by staff at the federal reserve has shown that the current recovery from the financial crisis has been even slower than would have been expected.2 this unusually weak recovery can be at least partly explained by the large drop in house prices and severe slump in housing activity that played such a major role in the recent recession.
19,the drop in national house prices erased $7 trillion in household wealth.
20,"with more than one out of every five mortgages nationwide estimated to be underwater in 2011, the resulting restraint on consumer spending and its effect on slower economic growth is appreciable."
21,"alternatively understood, this research finding suggests that monetary policy alone may be insufficient to promote a more robust and sustainable improvement in household net worth."
22,"the collapse of house prices coincided with a sharp increase in mortgage defaults and foreclosures, leaving financial institutions with large holdings of residential real estate, or reo."
23,"as these properties were put up for sale on the market, they contributed to the already-bloated supply of vacant homes available for sale and put further downward pressure on house prices."
24,monetary policy and other federal reserve actions how should the federal reserve respond to a recession with these contours?
25,the fed's accommodative monetary policy response has been intended to ease the effects of the recession and support a recovery in the context of its dual mandate to foster maximum employment and stable prices.
26,the fed then substantially expanded its holdings of longer-term securities and more recently moved to lengthen the average maturity of its holdings to put downward pressure on longer-term interest rates.
27,"these actions were intended to help bring down both short-term and longer-term interest rates, thereby reducing borrowing costs for households and firms."
28,"reductions in interest rates usually expand credit and encourage firms to invest and households to borrow for durable goods purchases, thereby stimulating aggregate demand."
29,"a more accommodative stance of monetary policy also boosts the economy by raising the prices of equities and other assets, and therefore supporting household spending through the wealth effect that i mentioned earlier."
30,"in addition, a more accommodative stance of monetary policy can also help by contributing to a somewhat lower foreign exchange value of the dollar, thus promoting the competitiveness of our goods and services in overseas markets."
31,the federal reserve's policy actions have indeed contributed to lower interest rates.
32,"moreover, interest rates on consumer auto loans have decreased."
33,"moreover, foreign trade has been an important factor contributing to demand for u.s. products."
34,"in addition, households' concerns about their future prospects for employment and income have likely deterred many potential homebuyers from committing to mortgage payments that might be difficult to make if they lose their jobs."
35,"in los angeles, there is huge demand for information on foreclosure recovery from organizations that serve families going through the process of losing their homes."
36,"in light of the economic hardships that have been endured in los angeles and nationwide, the federal reserve remains fully committed to doing everything it can to promote maximum employment in the context of price stability."
