,sentence
0,the crisis also prompted increased attention to the relationship between monetary policy and financial stability.
1,"while few today would take the pre-crisis view common among central bankers that financial stability should not be an explicit concern of monetary policy, there is considerable disagreement over--among other things--the weight that financial stability concerns should carry compared with traditional monetary policy goals of price stability and maximum employment."
2,"i also want to suggest that the cumulative effect over the past few decades of changes in financial technology, financial regulation, monetary policy itself, and perhaps the real economy have significantly altered the ways in which monetary instruments transmit through to the real economy."
3,these changes may argue for refinement of monetary policy tools.
4,"they may also indicate the need for regulatory measures that are neither time varying nor limited to prudentially regulated firms, so as to provide a more stable financial foundation within which monetary policy will operate."
5,"the role of monetary policy in restoring financial stability the federal reserve, as we have been reminded by many accounts on the occasion of its centennial, was created largely in response to what we would now call financial stability concerns, as specifically revealed by the panic of 1907."
6,"when confronted with an even deeper financial panic a hundred years later, the federal reserve deployed its full range of policy tools--monetary policy, lender of last resort, and supervision--in an effort to stabilize the u.s. financial system."
7,large-scale asset purchases provided additional monetary accommodation by putting downward pressure on longer-term interest rates through a portfolio-balance channel.
8,the committee's forward guidance is also intended to put downward pressure on longer-term interest rates by influencing market expectations about the future path of short-term rates.
9,"initially, the committee relied on date-based descriptions of the likely path of interest rate policy."
10,"at that time, the committee indicated that no increase in the federal funds rate target should be anticipated so long as unemployment remained above 6-1/2 percent and inflation was projected to be no more than 2-1/2 percent one-to-two years ahead."
11,"in particular, research largely supports the conclusion that changes in guidance influenced interest rate expectations, that asset purchases pushed down longer-term interest rates and boosted asset prices, and that these improvements in financial conditions contributed to the economic recovery in recent years.2 the unemployment rate has fallen from 10 percent at its 2009 peak to 6.6 percent today, although debate continues over whether significantly lower labor force participation rates and other labor market indicators should be read to indicate somewhat less progress than the unemployment rate alone would suggest."
12,"but, while the recovery has been frustratingly slow and remains incomplete, there has been real progress, despite the fact that in the past couple of years a restrictive fiscal policy has been working at cross-purposes to monetary policy, and that balance sheet repair and financial strains in europe have made it more difficult for the economy to muster much self-sustaining momentum."
13,monetary policy and risks to financial stability i hardly need remind this audience that the monetary policy pursued by the federal reserve in the past five years has occasioned considerable debate and controversy.
14,"one oft-stated worry is that when it is time to normalize policy, we will be unable to withdraw reserves as quickly as needed to prevent an unwanted rise in inflation."
15,"under the operating procedures used prior to the crisis, the presence of large quantities of excess reserves could well have impeded the fomc's ability to raise short-term interest rates."
16,"we will continue to develop and, as appropriate, test these tools to allow normalization of the balance sheet without unwanted inflationary consequences."
