Unnamed: 0,sentence,label,score
0,the past decade has been extraordinary for the american economy and monetary policy.,LABEL_2,0.5266765356063843
1,"the synergies of key technologies markedly elevated prospective rates of return on high-tech investments, led to a surge in business capital spending, and significantly increased the underlying growth rate of productivity.",LABEL_1,0.7700234651565552
2,"the capitalization of those higher expected returns boosted equity prices, contributing to a substantial pickup in household spending on new homes, durable goods, and other types of consumption generally, beyond even that implied by the enhanced rise in real incomes.",LABEL_1,0.9817188382148743
3,"when i last reported to you in july, economic growth was just exhibiting initial signs of slowing from what had been an exceptionally rapid and unsustainable rate of increase that began a year earlier.",LABEL_2,0.7606460452079773
4,the surge in spending had lifted the growth of the stocks of many types of consumer durable goods and business capital equipment to rates that could not be continued.,LABEL_1,0.8237940669059753
5,"and even though demand for a number of high-tech products was doubling or tripling annually, in many cases new supply was coming on even faster.",LABEL_1,0.9843976497650146
6,"clearly, some slowing in the pace of spending was necessary and expected if the economy was to progress along a balanced and sustainable growth path.",LABEL_0,0.7489205002784729
7,"because the extent of the slowdown was not anticipated by businesses, it induced some backup in inventories, despite the more advanced just-in-time technologies that have in recent years enabled firms to adjust production levels more rapidly to changes in demand.",LABEL_2,0.9945253133773804
8,"accordingly, the slowdown in the economy that began in the middle of 2000 intensified, perhaps even to the point of growth stalling out around the turn of the year.",LABEL_0,0.9639953970909119
9,"as the economy slowed, equity prices fell, especially in the high-tech sector, where previous high valuations and optimistic forecasts were being reevaluated, resulting in significant losses for some investors.",LABEL_0,0.9678332209587097
10,"against this background, the federal open market committee (fomc) undertook a series of aggressive monetary policy steps.",LABEL_0,0.998340368270874
11,"at its december meeting, the fomc shifted its announced assessment of the balance of risks to express concern about economic weakness, which encouraged declines in market interest rates.",LABEL_0,0.9993318319320679
12,"an essential precondition for this type of response was that underlying cost and price pressures remained subdued, so that our front-loaded actions were unlikely to jeopardize the stable, low inflation environment necessary to foster investment and advances in productivity.",LABEL_2,0.867810070514679
13,crucial to the assessment of the outlook and the understanding of recent policy actions is the role of technological change and productivity in shaping near-term cyclical forces as well as long-term sustainable growth.,LABEL_2,0.9986043572425842
14,the prospects for sustaining strong advances in productivity in the years ahead remain favorable.,LABEL_2,0.9960510730743408
15,"as one would expect, productivity growth has slowed along with the economy.",LABEL_0,0.9948734641075134
16,"but what is notable is that, during the second half of 2000, output per hour advanced at a pace sufficiently impressive to provide strong support for the view that the rate of growth of structural productivity remains well above its pace of a decade ago.",LABEL_2,0.9646778702735901
17,"corporate managers more generally, rightly or wrongly, appear to remain remarkably sanguine about the potential for innovations to continue to enhance productivity and profits.",LABEL_2,0.9987526535987854
18,"such expectations, should they persist, bode well for continued strength in capital accumulation and sustained elevated growth of structural productivity over the longer term.",LABEL_2,0.9678192734718323
19,the same forces that have been boosting growth in structural productivity seem also to have accelerated the process of cyclical adjustment.,LABEL_2,0.9979681968688965
20,"in addition, the foreshortening of lead times on delivery of capital equipment, a result of information and other newer technologies, has engendered a more rapid adjustment of capital goods production to shifts in demand that result from changes in firms' expectations of sales and profitability.",LABEL_2,0.9758296012878418
21,"it is not that underlying demand for internet, networking, and communications services has become less keen.",LABEL_2,0.9788227081298828
22,"instead, as i noted earlier, some suppliers seem to have reacted late to accelerating demand, have overcompensated in response, and then have been forced to retrench--a not-unusual occurrence in business decisionmaking.",LABEL_0,0.45485785603523254
23,"although consumer confidence has fallen, at least for now it remains at a level that in the past was consistent with economic growth.",LABEL_2,0.9979717135429382
24,"and as i pointed out earlier, expected earnings growth over the longer-run continues to be elevated.",LABEL_1,0.9964898824691772
25,"if the forces contributing to long-term productivity growth remain intact, the degree of retrenchment will presumably be limited.",LABEL_2,0.9958858489990234
26,"prospects for high productivity growth should, with time, bolster both consumption and investment demand.",LABEL_2,0.9506502747535706
27,"also, foreign economies appear to be slowing, which could damp demands for exports; and, although some sectors of the financial markets have improved in recent weeks, continued lender nervousness still is in evidence in other sectors.",LABEL_0,0.9954733848571777
28,"as i pointed out earlier, demand has been depressed by the rise in energy prices as well as by the needed slowing in the pace of accumulation of business capital and consumer durable assets.",LABEL_1,0.6424589157104492
