Unnamed: 0,sentence,label,score
0,we in the federal reserve system acted vigorously to adjust monetary policy in an endeavor both to limit the extent of the downturn and to hasten its completion.,LABEL_0,0.9992369413375854
1,"despite the disruptions engendered by the terrorist attacks of september 11, the typical dynamics of the business cycle have re-emerged and are prompting a firming in economic activity.",LABEL_2,0.9411816000938416
2,"the demand for capital goods had dropped sharply, and inventories were uncomfortably high in many industries.",LABEL_1,0.9753619432449341
3,"indeed, immediately prior to september 11, some sectors exhibited tentative signs of stabilization, contributing to a hope that the worst of the previous cumulative weakness in world economic activity was nearing an end.",LABEL_2,0.9871267080307007
4,adding to the intense forces weighing on asset prices and economic activity before september 11 were new sources of uncertainty that began to press down on global demand for goods and services.,LABEL_0,0.9990256428718567
5,"indeed, for a period of weeks, u.s. economic activity did drop dramatically in response to that shock.",LABEL_0,0.9974462985992432
6,"in the weeks following the attacks, along with the drops in activity and confidence, equity prices fell markedly, and lenders became more cautious, boosting risk premiums, especially on credits already considered to be weak.",LABEL_0,0.9664864540100098
7,"in response, the federal reserve reduced short-term interest rates considerably further.",LABEL_0,0.9966422319412231
8,"the monetary stimulus that we provided was visible not only in interest rates but also in a rapid growth of liquidity over the final months of the year, as gauged by the broad monetary aggregates.",LABEL_1,0.9904319047927856
9,the improved sentiment seemed to buffer the decline in economic activity.,LABEL_2,0.9939073324203491
10,any slowing in the rate of inventory liquidation will induce a rise in industrial production if demand for those products is stable or is falling only moderately.,LABEL_2,0.9980146288871765
11,but that impetus to the growth of activity will be short-lived unless sustained increases in final demand kick in before the positive effects of the swing from inventory liquidation dissipate.,LABEL_2,0.9264829754829407
12,"we have seen encouraging signs in recent days that underlying trends in final demand are strengthening, although the dimensions of the pickup remain uncertain.",LABEL_2,0.9467016458511353
13,most recoveries in the post-world war ii period received a boost from a rebound in demand for consumer durables and housing from recession-depressed levels in addition to an abatement of inventory liquidation.,LABEL_2,0.9810612797737122
14,"in recent months, low mortgage interest rates and favorable weather have provided considerable support to homebuilding.",LABEL_0,0.9966477751731873
15,"the substantial declines in the prices of natural gas, fuel oil, and gasoline have clearly provided some support to real disposable income and spending.",LABEL_0,0.9011915326118469
16,"to have a more persistent effect on the ongoing growth of total personal consumption expenditures, energy prices would need to decline further.",LABEL_1,0.8063115477561951
17,"futures prices do not suggest that such an outcome is in the offing, though the forecast record of these markets is less than impressive.",LABEL_2,0.9979111552238464
18,"although the macroeconomic effects of debt burdens may be limited, we have already seen significant spending restraint among the top fifth of income earners, presumably owing to the drop in equity prices.",LABEL_0,0.9983233213424683
