Unnamed: 0,sentence,label,score
0,"the possible consequences of such concentration of risk were vividly illustrated by the events of the 1980s, when oil prices fell and the subsequent economic distress led to numerous mortgage defaults in texas and surrounding states.",LABEL_0,0.9989693760871887
1,asset-backed securities and the secondary markets in which they trade generally provide both households and businesses with excellent access to credit at an appropriate risk-adjusted interest rate.,LABEL_0,0.9765764474868774
2,this development has facilitated the substantial growth of nonmortgage consumer credit.,LABEL_1,0.9546055793762207
3,the unease relates mainly to the scale and growth of the mortgage-related asset portfolios held on their balance sheets.,LABEL_1,0.9885954260826111
4,"that growth has been facilitated, as least in part, by a perceived special advantage of these institutions that keeps normal market restraints from being fully effective.",LABEL_2,0.5369091033935547
5,"because fannie and freddie can borrow at a subsidized rate, they have been able to pay higher prices to originators for their mortgages than can potential competitors and to gradually but inexorably take over the market for conforming mortgages.2 this process has provided fannie and freddie with a powerful vehicle and incentive for achieving extremely rapid growth of their balance sheets.",LABEL_1,0.9811052680015564
6,"* * * the federal reserve is concerned about the growth and the scale of the gses' mortgage portfolios, which concentrate interest rate and prepayment risks at these two institutions.",LABEL_1,0.927852213382721
7,"instead, they have chosen heightened leverage, which raises interest rate risk but enables them to multiply the profitability of subsidized debt in direct proportion to their degree of leverage.",LABEL_1,0.9539896845817566
8,"interest rate risk associated with fixed-rate mortgages, unless supported by substantial capital, however, can be of even greater concern than the credit risk.",LABEL_1,0.8526052832603455
9,"interest rate volatility combined with the ability of homeowners to prepay their mortgages without penalty means that the cash flows associated with the holding of mortgage debt directly or through mortgage-backed securities are highly uncertain, even if the probability of default is low.",LABEL_0,0.9849646091461182
10,"in general, interest rate risk is readily handled by adjusting maturities of assets and liabilities.",LABEL_2,0.9985603094100952
11,"our financial system would be more robust if we relied on a market-based system that spreads interest rate risks, rather than on the current system, which concentrates such risk with the gses.",LABEL_0,0.9892997145652771
12,"traditionally, questions of capital adequacy for financial institutions have been evaluated with regard to credit and interest rate risks.",LABEL_2,0.9961798787117004
13,the difficulties of creating transparent accounting standards to reflect the gains and losses associated with hedging mortgage-prepayment risk highlight that the business of taking on interest rate and prepayment risk is far from simple and is difficult to communicate to outside investors.,LABEL_2,0.6187838315963745
14,"in this case, fannie mae and freddie mac must manage the interest rate, prepayment, and credit risks associated with the mortgages they purchase.",LABEL_2,0.9273476004600525
15,"if a bank chooses not to sell the mortgage that it originates, it must fund that mortgage and manage the associated credit and interest rate risks itself.",LABEL_0,0.9763104319572449
