Unnamed: 0,sentence,label,score
0,"not only has economic activity quickened, but the expansion has become more broad-based and has produced notable gains in employment.",LABEL_1,0.9949406385421753
1,the evident strengthening in demand that underlies this improved performance doubtless has been a factor contributing to the rise in inflation this year.,LABEL_1,0.999110996723175
2,but inflation also seems to have been boosted by transitory factors such as the surge in energy prices.,LABEL_1,0.9976892471313477
3,"those higher prices, by eroding households' disposable income, have accounted for at least some of the observed softness in consumer spending of late, a softness which should prove short-lived.",LABEL_1,0.7092826962471008
4,"when i testified before this committee in february, many of the signs of the step-up in economic activity were already evident.",LABEL_1,0.9972658753395081
5,"businesses' ability to boost output without adding appreciably to their workforces likely resulted from a backlog of unexploited capabilities for enhancing productivity with minimal capital investment, which was an apparent outgrowth of the capital goods boom of the 1990s.",LABEL_2,0.9980154633522034
6,"their hesitancy to assume risks and expand employment was accentuated and extended by the corporate accounting and governance scandals that surfaced in the aftermath of the decline in stock prices and also, of course, by the environment of heightened geopolitical tensions.",LABEL_0,0.9988299012184143
7,"moreover, the proportion of temporary hires relative to total employment continues to rise, underscoring that business caution remains a feature of the economic landscape.",LABEL_1,0.5708394050598145
8,"most notably, gains in private nonfarm payroll employment have averaged about 200,000 per month over the past six months, up sharply from the pace of roughly 60,000 per month registered over the fourth quarter of 2003.",LABEL_1,0.9653236865997314
9,"expanding employment should provide a lift to personal disposable income, adding to the support stemming from cuts in personal income taxes over the past year.",LABEL_0,0.9987767338752747
10,"in addition, the low interest rates of recent years have allowed many households to lower the burdens of their financial obligations.",LABEL_0,0.9991145730018616
11,"despite the softness of recent retail sales, the combination of higher current and anticipated future income, strengthened balance sheets, and still-low interest rates bodes well for consumer spending.",LABEL_1,0.706723153591156
12,consumer prices excluding food and energy--so-called core prices--have been rising more rapidly this year than in 2003.,LABEL_1,0.9988006949424744
13,"for example, the twelve-month change in the core personal consumption expenditures price index stood at 0.8 percent in december of last year and climbed to 1.6 percent by may of this year.",LABEL_2,0.9949488043785095
14,"core inflation, of course, has been elevated by the indirect effects of higher energy prices on business costs and by increases in non-oil import prices that reflect past dollar depreciation and the surge in global prices for primary commodities.",LABEL_1,0.9989913702011108
15,"but the acceleration of core prices has been augmented by a marked rise in profit margins, even excluding domestic energy corporations.",LABEL_1,0.9990811347961426
