,sentence
0,"over the first part of the year, we experienced further gains in output and employment, subdued prices, and moderate long-term interest rates."
1,"with labor markets very tight and domestic final demand retaining considerable momentum, the risks of a pickup in inflation remain significant."
2,"moreover, the economic and financial troubles in asian economies are now demonstrably restraining demands for u.s. goods and services--and those troubles could intensify and spread further."
3,"however, should pressures on labor resources begin to show through more impressively in cost increases, policy action may need to counter any associated tendency for prices to accelerate before it undermines this extraordinary expansion."
4,"recent developments when i appeared before your committee in february, i noted that a key question for monetary policy was whether the consequences of the turmoil in asia would be sufficient to check inflationary tendencies that might otherwise result from the strength of domestic spending and tightening labor markets."
5,"although some signs pointed to stepped-up increases in productivity, the speed at which the demand for goods and services had been growing clearly exceeded the rate of expansion of the economy's long-run potential to produce."
6,"however, it appeared likely that the difficulties being encountered by asian economies, by cutting into u.s. exports, would be a potentially important factor slowing the growth of aggregate demand in the united states."
7,"the growth of real gdp not only failed to slow, it climbed further, to about a 5-1/2 percent annual rate in the first quarter, according to the current national income accounts."
8,"domestic private demand for goods and services--including personal consumption expenditures, business investment, and residential expenditures--was exceptionally strong."
9,"evidently, optimism about jobs, incomes, and profits, high and rising wealth-to-income ratios, low financing costs, and falling prices for high-tech goods fed the appetites of households and businesses for consumer durables and capital equipment."
10,"in addition, inventory investment contributed significantly to growth in the first quarter; indeed, the growth of stocks of materials and goods outpaced that of overall output by a wide margin during the first quarter, adding 1 percentage points to the annualized growth rate of gdp."
11,"although accumulation of some products likely was unintended, surveys indicate that much of the stockbuilding probably reflected firms' confidence in the prospects for continued growth."
12,"as evidence piled up that the economy continued to run hot during the winter, the federal reserve's concerns about inflationary pressures mounted."
13,"domestic demand clearly had more underlying momentum than we had anticipated, supported in part by financial conditions that were quite accommodative."
14,"credit remained extremely easy for most borrowers to obtain; intermediate- and long-term interest rates were at relatively low levels; equity prices soared higher, despite some disappointing earnings reports; and growth in the monetary aggregates was rapid."
15,"indeed, the crises in asia, by lowering longer-term u.s. interest rates--through stronger preferences for dollar investments and expectations of slower growth ahead--and by reducing commodity prices, probably added to the positive forces boosting domestic spending in the first half, especially in the interest-sensitive housing sector."
16,"the robust expansion of demand tightened labor markets further, giving additional impetus to the upward trend in labor costs."
17,"inflation was low--though, given the lags with which monetary policy affects the economy and prices, we had to be mainly concerned not with conditions at the moment but with those likely to prevail many months ahead."
18,"in these circumstances, the federal open market committee elected in march to move to a state of heightened alert against inflation, but left the stance of policy unchanged."
19,"although national income and product data for the second quarter have not yet been published, growth of u.s. output appears to have slowed sharply."
20,"and underlying trends in domestic final demand have remained strong, imparting impetus to the continuing economic expansion."
21,"and growth of industrial output was dropping off from its brisk pace of 1997, importantly reflecting the deceleration in world demand for manufactured goods that resulted from the asian economic difficulties."
22,"the civilian unemployment rate dropped to a bit below 4-1/2 percent in the second quarter, its lowest level in three decades."
23,"but, at least through the first quarter, the effects of a rising wage bill on production costs were moderated by strong gains in productivity."
24,"indeed, inflation stayed remarkably damped during the first quarter."
25,"the consumer price index as well as broader measures of prices indicate that inflation moved down further, even as the economy strengthened."
26,"although declining oil prices contributed to this development, pricing leverage in the goods-producing sector more generally was held in check by reduced demand from asia that, among other things, has led to a softening of commodity prices, a strong dollar that has contributed to bargain prices on many imports, and rising industrial capacity."
27,"service price inflation, less influenced by international events, has remained steady at about a 3 percent rate since before the beginning of the crisis."
28,some elements in the goods price mix clearly were transitory.
29,"indeed, the more recent price data suggest that overall consumer price inflation moved up in the second quarter."
30,"in any event, it would be a mistake for monetary policy makers to focus on any single index in gauging inflation pressures in the economy."
31,"although much public attention is directed to the cpi, the federal reserve monitors a wide variety of aggregate price measures."
