,sentence
0,"economic forecasts were lowered sharply, and analysts feared that even these downward-revised projections might be undone by a significant retrenchment in aggregate demand."
1,"although economic growth was relatively well maintained over the past year, several forces have continued to weigh on the economy: the lengthy adjustment of capital spending, the fallout from the revelations of corporate malfeasance, the further decline in equity values, and heightened geopolitical risks."
2,"faced with falling equity prices, uncertainty about future employment prospects, and the emergence of the terrorist threat, consumer spending has slowed over the course of the past year but has not slumped as some had earlier feared it might."
3,tax cuts and extended unemployment insurance provided a timely boost to disposable income.
4,these incentives were an enormous success in supporting--indeed increasing--the demand for new cars and trucks.
5,"however, it will bear watching to see whether this most recent softening is a payback for borrowed earlier strength in sales or whether it represents some weakening in the underlying pace of demand."
6,"stimulated by mortgage interest rates that are at lows not seen in decades, home sales and housing starts have remained strong."
7,"moreover, the underlying demand for new housing units has received support from an expanding population, in part resulting from high levels of immigration."
8,"besides sustaining the demand for new construction, mortgage markets have also been a powerful stabilizing force over the past two years of economic distress by facilitating the extraction of some of the equity that homeowners had built up over the years."
9,"that said, it is important to recognize that the extraction of equity from homes has been a significant support to consumption during a period when other asset prices were declining sharply."
10,"were it not for this phenomenon, economic activity would have been notably weaker in the wake of the decline in the value of household financial assets."
11,executives consistently report that in today’s intensely competitive global marketplace it is no longer feasible to raise prices in order to improve profitability.
12,"there are many alternatives for most products, and with technology driving down the cost of acquiring information, buyers today can (and do) easily shift to the low-price seller."
13,"moreover, for equipment with active secondary markets, such as computers and networking gear, productivity may also have been boosted by a reallocation to firms that could use the equipment more efficiently."
14,"unlike cutting fat, which permanently elevates the levels of productivity, these gains in output per hour are often temporary, as more demanding workloads eventually begin to tax workers and impede efficiency."
15,"but the impressive performance of productivity also appears to support the view that the step-up in the pace of structural productivity growth that occurred in the latter part of the 1990s has not, as yet, faltered."
16,"indeed, the high growth of productivity during the past year merely extends recent experience."
17,"although we cannot know with certainty until the books are closed, the growth of productivity since 1995 appears to be among the largest in decades."
18,"arguably, the pickup in productivity growth since 1995 reflects largely the ongoing incorporation of innovations in computing and communications technologies into the capital stock and business practices."
19,"indeed, the transition to the higher permanent level of productivity associated with these innovations is likely not yet completed."
20,"however, history does raise some warning flags concerning the length of time that productivity growth remains elevated."
21,gains in productivity remained quite rapid for years after the innovations that followed the surge in inventions a century ago.
22,"but in other episodes, the period of elevated growth of productivity was shorter."
23,"hence, policymakers have no substitute for continued close surveillance of the evolution of productivity during this current period of significant innovation."
