Unnamed: 0,sentence,label,score
0,"The information reviewed at this meeting suggested that underlying growth in aggregate demand remained solid, even though the expansion of real GDP was estimated to have slowed in the fourth quarter.",LABEL_1,0.6698859333992004
1,"Headline consumer inflation had been held down by falling consumer energy prices; more recently, however, crude oil prices climbed back up to high levels.",LABEL_2,0.9808831810951233
2,"Meanwhile, core inflation had moved up a bit from low levels seen last summer.",LABEL_1,0.9978299736976624
3,"Labor demand expanded further in the fourth quarter, as private nonfarm payrolls showed large gains in November followed by more-modest gains in December.",LABEL_1,0.9758711457252502
4,"The average increase over those two months represented sturdy job gains, even after accounting for the likely catch-up in employment following Hurricanes Katrina and Rita.",LABEL_1,0.9868510365486145
5,"Several sectors, including manufacturing and several service groups, added vigorously to payrolls in December, but the total for the month was held down by employment declines in a number of sectors, such as retail trade and construction, where seasonal adjustment can be difficult this time of year.",LABEL_1,0.9689382314682007
6,The unemployment rate edged down to 4.,LABEL_0,0.8739877939224243
7,"Real personal consumption expenditures appeared to have increased only modestly in the fourth quarter, as spending on motor vehicles was restrained following a surge in the summer in response to manufacturers' price incentives.",LABEL_1,0.5201125144958496
8,"Outside of motor vehicles, consumption was brisk, supported by job growth, increases in personal income, and the decline in energy prices.",LABEL_2,0.9876919388771057
9,Consumption was also likely supported by further gains in home values and equity prices that raised the ratio of household wealth to disposable income relative to that seen earlier in 2005.,LABEL_1,0.9963982105255127
10,"Underlying fundamentals continued to support gains in capital spending as business sector output expanded, firms remained flush with funds, and relative price declines pushed down the user cost of capital equipment.",LABEL_1,0.9945205450057983
11,"The restrained growth in inventories in recent months suggested that firms outside the motor vehicle sector were intentionally keeping stockbuilding low; however, it could also have reflected an unanticipated increase in sales or supply interruptions following the hurricanes last fall.",LABEL_1,0.5775748491287231
12,"That said, the level of stocks appeared reasonably well aligned with demand in most industries.",LABEL_2,0.5587692856788635
13,"After increasing further in October, the U. S. international trade deficit narrowed somewhat in November.",LABEL_2,0.9993614554405212
14,The reduction in the deficit reflected a modest increase in exports and a similar-sized decrease in imports that owed importantly to a decline in imports of oil.,LABEL_1,0.9683323502540588
15,The firm pace of third-quarter GDP growth in foreign economies generally appeared to continue in the fourth quarter.,LABEL_1,0.6708903908729553
16,Core consumer price inflation remained moderate over the second half of last year.,LABEL_1,0.6912522912025452
17,"Core prices had posted a string of very low increases last summer, held down in part by falling motor vehicle prices.",LABEL_2,0.3589954674243927
18,"In recent months, increases in core prices had rebounded.",LABEL_0,0.6593907475471497
19,The overall consumer price index edged down further in December in response to substantial declines in its volatile energy price components.,LABEL_2,0.5808108448982239
20,"However, survey data pointed to large increases in gasoline prices in January, which were due to the backup in crude oil prices.",LABEL_0,0.9553382396697998
21,"Preliminary survey measures of near-term inflation expectations for January had nonetheless ticked down, continuing the reversal of a sharp increase after the hurricanes last fall, and longer-term inflation expectations had moved lower as well.",LABEL_1,0.999356210231781
22,"Input prices increased somewhat less in December, as upward pressure from previous energy price increases receded somewhat.",LABEL_0,0.9964963793754578
23,"Indeed, the increase in core intermediate producer prices over the year was estimated to be considerably lower than over the previous year.",LABEL_2,0.5134721398353577
24,"In its accompanying statement, the Committee indicated that, despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appeared solid.",LABEL_2,0.9735638499259949
25,"Core inflation had stayed relatively low in recent months, and longer-term inflation expectations had remained contained.",LABEL_1,0.999068558216095
26,"Nevertheless, the Committee noted that possible increases in resource utilization as well as elevated energy prices had the potential to add to inflationary pressures.",LABEL_1,0.603203296661377
27,"In these circumstances, the Committee believed that some further measured policy firming was likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance.",LABEL_1,0.999593198299408
28,Investors had largely anticipated the Committee's interest rate decision at the December meeting and a change in the portions of the statement characterizing policy as accommodative.,LABEL_1,0.9995100498199463
29,"With mixed readings on economic activity and inflation over the intermeeting period, the market's expectations for the path of monetary policy and yields on Treasury coupon securities ended the period little changed, on balance.",LABEL_0,0.6271619200706482
30,"Major stock price indexes rose modestly, and the trade-weighted foreign exchange value of the dollar depreciated slightly over the period.",LABEL_2,0.9998125433921814
