,sentence
0,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us: maximum employment and price stability."
1,"Today, the FOMC kept interest rates near zero and, in light of the progress the economy has made toward our goals, decided to begin reducing the pace of asset purchases."
2,"With these actions, monetary policy will continue to provide strong support to the economic recovery."
3,I will say more about our monetary policy decisions after reviewing recent economic developments.
4,"Economic activity expanded at a 6.5 percent pace in the first half of the year, reflecting progress on vaccinations, the reopening of the economy, and strong policy support."
5,"In the third quarter, real GDP growth slowed notably from this rapid pace."
6,"Nonetheless, aggregate demand has been very strong this year, buoyed by fiscal and monetary policy support and the healthy financial positions of households and businesses."
7,"With COVID case counts receding further and progress on vaccinations, economic growth should pick up this quarter, resulting in strong growth for the year as a whole."
8,"Conditions in the labor market have continued to improve, and demand for workers remains very strong."
9,"As with overall economic activity, the pace of improvement slowed with the rise in COVID cases."
10,The unemployment rate was 4.8 percent in September.
11,"This figure understates the shortfall in employment, particularly as participation in the labor market remains subdued."
12,These impediments to labor supply should diminish with further progress on containing the virus—supporting gains in employment and economic activity.
13,The supply and demand imbalances related to the pandemic and the reopening of the economy have contributed to sizable price increases in some sectors.
14,"In particular, bottlenecks and supply chain disruptions are limiting how quickly production can respond to the rebound in demand in the near term."
15,"As a result, overall inflation is running well above our 2 percent longer-run goal."
16,"Nonetheless, it remains the case that the drivers of higher inflation have been predominantly November 3, 2021 connected to the dislocations caused by the pandemic—specifically, the effects on supply and Chair Powell’s Press Conference FINAL demand from the shutdown, the uneven reopening, and the ongoing effects of the virus itself."
17,"We understand the difficulties that high inflation poses for individuals and families, particularly those with limited means to absorb higher prices for essentials such as food and transportation."
18,"Like most forecasters, we continue to believe that our dynamic economy will adjust to the supply and demand imbalances and that, as it does, inflation will decline to levels much closer to our 2 percent longer-run goal."
19,"Of course, it is very difficult to predict the persistence of supply constraints or their effects on inflation."
20,We are committed to our longer-run goal of 2 percent inflation and to having longer-term inflation expectations well anchored at this goal.
21,"If we were to see signs that the path of inflation, or [of] longer-term inflation expectations, was moving materially and persistently beyond levels consistent with our goal, we would use our tools to preserve price stability."
22,"The Fed’s policy actions have been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system."
23,"Last December, the Committee stated its intention to continue asset purchases at a pace of at least $120 billion per month until substantial further progress has been made toward our November 3, 2021 maximum-employment and price-stability goals."
24,Our decision today to begin tapering our asset purchases does not imply any direct signal regarding our interest rate policy.
25,We at the Fed will do everything we can to complete the recovery in employment and achieve our price-stability goal.
26,We don’t think it’s time yet to raise interest rates.
27,"There is still ground to cover to reach maximum employment, both in terms of employment and in terms of participation."
28,"Getting to your question, our baseline expectation is that supply bottlenecks and shortages will persist well into next year, and elevated inflation as well, and that, as the pandemic subsides, supply chain bottlenecks will abate—and job growth will move back up."
29,"And as that happens, inflation will decline from today’s elevated levels."
30,"But, certainly, we should see inflation moving down by the second or third quarter."
31,"So if you look at the progress that we’ve made over the course of the last year, if that pace were to continue, then the answer would be: “Yes, I do think that that is possible.” Of course, we measure maximum employment based on a wide range of figures, but it’s certainly within the realm of possibility."
32,"And, in particular, I would point to the employment compensation index reading that we got last Friday."
33,"Now, in real terms, they’ve been—they had been running a little bit below inflation, so real wages were not really increasing."
34,"You know, the concern is a somewhat unusual case where, if wages were to be rising persistently and materially above inflation and productivity gains, that could put upward pressure on, or downward pressure on margins and cause companies to—or employers, really—to raise prices as a result, and you can see yourself, find yourself in what we used to call a wage–price spiral."
35,Productivity has been very high.
36,"The inflation that November 3, 2021 we’re seeing is really not due to a tight labor market."
37,"It’s due to bottlenecks, and it’s due to Chair Powell’s Press Conference FINAL shortages, and it’s due to very strong demand meeting those."
38,"But, you know, in this situation, we do have a provision in our Statement on Longer-Run Goals, as you know, that says when those two things are in tension, what we do is, we take into account the employment shortfalls and inflation deviations and the potentially different time horizons over which employment and inflation are projected to return to levels judged consistent with the mandate."
