Unnamed: 0,sentence,label,score
0,"At the Federal Reserve, we are strongly committed to achieving the monetary policy goals that Congress has given us—maximum employment and price stability.",LABEL_1,0.9797128438949585
1,Today my colleagues on the FOMC and I reaffirmed our strong forward guidance for interest rates and also provided additional guidance for our asset purchases.,LABEL_0,0.5553607940673828
2,"Together, these measures will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete.",LABEL_0,0.9990346431732178
3,Economic activity has continued to recover from its depressed second-quarter level.,LABEL_1,0.7964548468589783
4,"The overall rebound in household spending owes in part to federal stimulus payments and expanded unemployment benefits, which provided essential support to many families and individuals.",LABEL_0,0.9984316229820251
5,"The housing sector has fully recovered from the downturn, supported in part by low mortgage interest rates.",LABEL_0,0.9992295503616333
6,"The recovery has progressed more quickly than generally expected, and forecasts from FOMC participants for economic growth this year have been revised up since our September Summary of Economic Projections.",LABEL_1,0.9985226988792419
7,"Even so, overall economic activity remains well below its level before the pandemic, and the path ahead remains highly uncertain.",LABEL_0,0.9991476535797119
8,"As with overall economic activity, the pace of improvement in the labor market has moderated.",LABEL_2,0.9910495281219482
9,"Job growth slowed to 245,000 in November, and while the unemployment rate has continued to decline, it remains elevated at 6.7 percent.",LABEL_0,0.38701099157333374
10,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 5 percent at the end of next year and moves below 4 percent by 2023.",LABEL_0,0.9951978325843811
11,The pandemic has also left a significant imprint on inflation.,LABEL_1,0.896306037902832
12,"Following large declines in the spring, consumer prices picked up over the summer but have leveled out more recently.",LABEL_1,0.9973500967025757
13,"For those sectors that have been most adversely affected by the pandemic, prices remain particularly soft.",LABEL_2,0.9988338351249695
14,"Overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective.",LABEL_2,0.5135034918785095
15,The median inflation projection from FOMC participants rises from 1.2 percent this year to 1.8 percent next year and reaches 2 percent in 2023.,LABEL_0,0.9939893484115601
16,"While a little more than half of participants now judge risks to be broadly balanced for economic activity, a similar number continue to see risks weighted to the downside for inflation.",LABEL_1,0.9937371015548706
17,"The Fed’s response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the American people, along with our responsibilities to promote the stability of the financial system.",LABEL_0,0.9988821148872375
18,"As noted in our Statement on Longer-Run Goals and Monetary Policy Strategy, we view maximum employment as a broad-based and inclusive goal.",LABEL_1,0.5631232261657715
19,Our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent.,LABEL_2,0.8691788911819458
20,"As we reiterated in today’s statement, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and December 16, 2020 longer-term inflation expectations remain well anchored at 2 percent.",LABEL_1,0.9933270215988159
21,We expect to maintain an Chair Powell’s Press Conference FINAL accommodative stance of monetary policy until these employment and inflation outcomes are achieved.,LABEL_0,0.9989774227142334
22,"With regard to interest rates, we continue to expect it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the Committee’s assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.",LABEL_0,0.9958145022392273
23,"In addition, as we noted in today’s policy statement, we will continue to increase our holdings of Treasury securities by at least $80 billion per month and of agency mortgage-backed securities by at least $40 billion per month until substantial further progress has been made toward our maximum-employment and price-stability goals.",LABEL_2,0.7780529260635376
24,"Combined with our forward guidance for the federal funds rate, our enhanced balance sheet guidance will ensure that the stance of monetary policy remains highly accommodative as the recovery progresses.",LABEL_0,0.9824625253677368
25,Our guidance is outcome based and is tied to progress toward reaching our employment and inflation goals.,LABEL_0,0.9975152015686035
26,"Overall, our interest rate and balance sheet tools are providing powerful support to the economy and will continue to do so.",LABEL_2,0.9994779229164124
27,"It will take a while to get back to the levels of economic activity and employment that prevailed at the beginning of this year, and it may take continued support from both monetary and fiscal policy to achieve that.",LABEL_2,0.9924401044845581
28,"And, really, the overarching message, Rich, is that our guidance for both interest rates and asset purchases will keep monetary policy accommodative until our maximum-employment and price-stability goals are achieved, and that’s, that’s a powerful message.",LABEL_0,0.9939498901367188
29,It means we’ll be looking for employment to be substantially closer to assessments of its maximum level and inflation to be substantially closer to our 2 percent longer-run goal before we start making adjustments to our purchases.,LABEL_0,0.9970152378082275
30,"And, you know, so I guess since September we’ve now adopted a flexible average inflation-targeting framework.",LABEL_2,0.9081147313117981
31,"But with the December 16, 2020 expiration of unemployment benefits—some of the unemployment benefits, the expiration of Chair Powell’s Press Conference FINAL eviction moratoriums with the virus spreading the way it is, there’s a need for households and businesses to have, have fiscal support.",LABEL_2,0.9992338418960571
32,"We have, and others too, have consistently expected there to be more economic—that, that cases would hold—growth in cases would hold back the economy more than it actually has.",LABEL_0,0.7935101389884949
33,"You know, so we monitor basically just about every asset price in the economy, and housing prices are something that we’ve been monitoring.",LABEL_0,0.9869927167892456
34,You see very high demand.,LABEL_2,0.9998321533203125
35,"Now, I would say, from a financial stability standpoint, housing prices are not—are not of a level of concern right now.",LABEL_1,0.5507358908653259
36,That’s just reflective of a lot of demand.,LABEL_2,0.9993149042129517
37,"There’s also a sense that this—some of this may be pent-up demand from when the economy was closed, which would imply that demand—once that demand is met, that the real level of demand will be more manageable.",LABEL_1,0.6875628232955933
38,"But, no, housing prices themselves are not—are not a financial stability concern at the moment.",LABEL_1,0.9881068468093872
39,"So I would—I would say, though, that in the near term, the help that people need isn’t just from low interest rates that stimulates demand over time and works with long and variable lags.",LABEL_2,0.9924880266189575
40,"In terms of the, you know, inflation, a couple things—your second question.",LABEL_0,0.9910354614257812
41,"You know, we’re—I think you have to be honest with yourself about, about inflation these days.",LABEL_2,0.9996260404586792
42,"There are—there are significant disinflationary pressures around the world, and there have been for a while, and they persist today.",LABEL_1,0.7442230582237244
43,"It’s, is not going to be easy to have inflation move up.",LABEL_0,0.9982472658157349
44,It took a long time to get inflation back to 2 percent in the last crisis.,LABEL_1,0.9439645409584045
45,"And, you know, we’re, we’re honest with ourselves and with you in the SEP that even with the very high level of accommodation that we’re providing both through low rates and very high levels of asset purchases, it will take some time, because that’s what we believe the underlying inflation dynamics are in our economy.",LABEL_2,0.9750568270683289
46,And that’s sort of why we’re—one reason why we’re concerned about inflation is that we see that.,LABEL_0,0.8477606177330017
47,"And, and that’s why we have adopted the flexible average inflation-targeting framework.",LABEL_1,0.9993957281112671
48,"And, you know, we’ve been having very long expansions since—in, in the last several decades because inflation has not—really, the old model was, inflation would come along and the Fed would tighten, and we’d have a recession.",LABEL_0,0.8047361373901367
49,"Now inflation has been low, and we haven’t had that dynamic.",LABEL_2,0.986599326133728
50,And we’re not going to preemptively raise rates until we see inflation actually reaching 2 percent and being on track to exceed 2 percent.,LABEL_0,0.502657949924469
51,"If you look at what—at inflation compensation and at the survey measures of, of when the Fed will lift off, everything has moved.",LABEL_1,0.8879619240760803
52,You asked about monetary policy.,LABEL_2,0.9996302127838135
53,So you asked about monetary policy.,LABEL_2,0.9998437166213989
54,"Monetary policy, maximum employment, stable prices—it’s less obvious to me.",LABEL_2,0.9998399019241333
55,"And so far, since the pandemic began, employment has December 16, 2020 dropped by 1.3 million in—of state and local government.",LABEL_2,0.9892038702964783
56,"The parts that are not performing well are not struggling from high December 16, 2020 interest rates.",LABEL_0,0.9857072234153748
57,"But also, I would remind—I would also note, though, monetary policy works with “long and variable lags,” is the famous statement.",LABEL_1,0.8034377098083496
58,"So we think that the big effects from monetary policy are, you know, months and months into the future.",LABEL_2,0.9996896982192993
59,"Again, what we’ve—what we’ve done is, we’ve laid out a path whereby we’re going to keep monetary policy highly accommodative for a long time, really until—really until we reach very close to our goals, which is not, you know, not really the way it’s been done in the past.",LABEL_2,0.999710738658905
60,We think it’s suffering from the pandemic and people wanting to not engage in certain kinds of economic activity.,LABEL_0,0.9908090829849243
61,"So that, that has all the markings of a transient increase in the price level.",LABEL_0,0.811363160610199
62,"But what inflation is, is a process whereby they go up year upon year upon year upon year.",LABEL_1,0.9989965558052063
63,"And if—given the inflation dynamics that we’ve had over the last several decades, just a single, single sort of price-level increase has not resulted in ongoing price-level increases.",LABEL_1,0.9577969908714294
64,"One, when unemployment went down and resources got tight, prices started going up.",LABEL_2,0.9980317950248718
65,"So if prices went up 6 percent this year, they’d go up 6 percent next year, because people would internalize.",LABEL_1,0.9993428587913513
