,sentence
0,Today I would like to spend a few minutes discussing the issue of transparency and responsibility in monetary policy.
1,But we must be mindful that this new openness can have an impact on how effectively central banks pursue their primary mission -- making the best possible monetary policy.
2,The idea is that providing more information about the Committee's views of the economic outlook may allow financial market prices to reflect more accurately the likely future stance of monetary policy.
3,"It now announces monetary policy changes immediately after meetings, provides press releases or conferences at pre-announced times following monetary policy meetings, and has shortened considerably the lag time in releasing its meeting minutes."
4,The press conference announcing its quarterly inflation report is also now televised.
5,"The Bank now announces policy changes immediately after meetings, publishes minutes of the meetings, and produces two formal reports each year on monetary policy, which it explains to the Diet."
6,"The ECB also publishes a Monthly Bulletin, which provides an assessment of monetary, financial, and economic developments, and explains monetary policy decisions of the Bank."
7,The first is that openness may improve the effectiveness of monetary policy.
8,"The Federal Reserve controls a very short-term interest rate -- the federal funds rate -- but it is the longer-term interest rates at which businesses and households borrow to finance spending on capital goods, homes, and durable goods which matter most for the economy."
9,Both of these changes ought to bring the rates that matter most for the macroeconomy into closer alignment with the intentions of monetary policymakers.
10,"Openness on the part of the central bank does not guarantee that markets will accurately forecast interest rates, however."
11,"During this period of tightening five-year Treasury yields soared to nearly 8 percent, a rate never fully justified by the extent of firming in short-term rates, suggesting that greater openness by policymakers does not preclude the natural uncertainty involved in interest rate forecasting."
12,"The regime targeting money growth was, in a sense, a transparent one -- the targets were contained in the biannual Humphrey Hawkins report and widely known, and money numbers were published weekly."
13,"As the monetary aggregates became less reliable and consequently receded in importance, maintaining openness called for increased communication about the rationales for discretionary interest rate policy."
14,"While a tighter link between monetary policy and long-term interest rates may lessen the need for the central bank to move its policy instrument as much or as quickly, it should be clear that markets are not a substitute for monetary policy action."
15,"It is appropriate that in a democracy voters' representatives should decide the central bank's ultimate goals, as they have in the U.S., for example, by providing the Federal Reserve with a mandate to pursue stable prices, maximum employment, and moderate long-term interest rates."
16,The main reason that central banks need to be free of political pressure in using their instruments is that effective monetary policy requires a distant time horizon.
17,"Because changes in monetary policy generally affect output well before inflation, policymakers with nearer time horizons could be tempted to favor output in excess of capacity, at the expense of higher inflation in the future, and the well-known and inevitable disruptions that accompany it."
18,"For example, Federal Reserve governors' terms are long and staggered, the Federal Reserve's budgets are not subject to the congressional appropriations process, and it has no obligation to purchase or support the prices of Treasury debt."
19,"For example, while the minutes of FOMC meetings generally refer to views of ""members of the Committee,"" the Chairman represents the Committee in testimony and answers questions about the semi-annual Monetary Policy Report to Congress under the Humphrey-Hawkins law."
20,"To the degree that policy decisions benefit from the give and take of opinions and evidence at meetings, something less than full openness to public scrutiny is required to assure the quality of monetary policymaking."
21,"Price Stability, Inflation Targeting, and Credibility While central banks' mandated goals often include many things, price stability has emerged as the preeminent one, either formally -- as in inflation targeting countries or the Maastrict Treaty establishing the European Central Bank -- or informally, through a greater understanding of how economies work."
22,"That is, policies that foster low inflation are more likely to deliver high employment and maximum sustainable output growth as a by-product, while policies which aim directly to keep employment and output high are more likely to result in poor inflation performance."
23,"To paraphrase Chairman Greenspan, the economy works best when inflation is so low that businesses and households do not have to take it into account when making everyday decisions."
24,"In the short run, however, difficult choices may be required about the timing and magnitude of policy actions consistent with achieving price stability."
