,sentence
0,"Main Menu Toggle Button Sections Search Toggle Button Search Search Submit Button Submit Aboutthe Fed Structure of the Federal Reserve System The Fed Explained Board Members Advisory Councils Federal Reserve Banks Federal Reserve Act Currency Board Meetings Board Votes Diversity & Inclusion Careers Do Business with the Board Holidays Observed - K.8 Ethics & Values Contact Requesting Information (FOIA) FAQs Economic Education Fed Financial Statements Innovation News & Events Press Releases Speeches Testimony Calendar Videos Photo Gallery Conferences MonetaryPolicy Federal Open Market Committee About the FOMC Meeting calendars and information Transcripts and other historical materials FAQs Monetary Policy Principles and Practice Notes Policy Implementation Policy Normalization Policy Tools Reports Monetary Policy Report Beige Book Federal Reserve Balance Sheet Developments Review of Monetary Policy Strategy, Tools, and Communications Overview Supervision& Regulation Institution Supervision Community & Regional Financial Institutions Large Financial Institutions Foreign Banking Organizations Financial Market Utilities Consumer Compliance Reports Federal Reserve Supervision and Regulation Report Reporting Forms All Reporting Forms Recent Updates Information collections under review Financial Statements Applications/structure change Federal Financial Institutions Examination Council (FFIEC) Municipal & Government Securities Supervision & Regulation Letters By Year By Topic Banking Applications & Legal Developments Application Process Board & Reserve Bank Action Enforcement Actions & Legal Developments Regulatory Resources Regulations Manuals Basel Regulatory Framework Volcker Rule Education, Training, and Assistance Banking & Data Structure Beneficial Ownership reports Large Commercial Banks U.S. Offices of Foreign Entities Financial Holding Companies Interstate Branching Securities Underwriting & Dealing Subsidiaries Minority Depository Institutions FinancialStability Financial Stability Assessments About Financial Stability Types of Financial System Vulnerabilities & Risks Monitoring Risk Across the Financial System Proactive Monitoring of Markets & Institutions Financial Stability & Stress Testing Financial Stability Coordination & Actions Responding to Financial System Emergencies Cooperation on Financial Stability Reports Financial Stability Report PaymentSystems Regulations & Statutes Regulation CC (Availability of Funds and Collection of Checks) Regulation II (Debit Card Interchange Fees and Routing) Regulation HH (Financial Market Utilities) Other Regulations and Statutes Payment Policies Federal Reserve's Key Policies for the Provision of Financial Services Overnight Overdrafts Payment System Risk Sponsorship for Priority Telecommunication Services Reserve Bank Payment Services & Data Automated Clearinghouse Services Check Services Currency and Coin Services Daylight Overdrafts and Fees FedNowâ„ Service Fedwire Funds Services Fedwire Securities Services Fiscal Agency Services National Settlement Service Financial Market Utilities & Infrastructures Supervision & Oversight of Financial Market Infrastructures Designated Financial Market Utilities International Standards for Financial Market Infrastructures Research, Committees, and Forums Payment Research Federal Reserve Payments Study (FRPS) Payments System Policy Advisory Committee Forums EconomicResearch Meet the Economists Working Papers and Notes Finance and Economics Discussion Series (FEDS) FEDS Notes International Finance Discussion Papers (IFDP) Data, Models and Tools Economic Research Data FRB/US Model Estimated Dynamic Optimization (EDO) Model Survey of Consumer Finances (SCF) Data Data Download Program Bank Assets and Liabilities Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Assets and Liabilities of Commercial Banks in the U.S. - H.8 Assets and Liabilities of U.S."
1,Corporations Dealer Financing Terms Senior Credit Officer Opinion Survey on Dealer Financing Terms Exchange Rates and International Data Foreign Exchange Rates - H.10/G.5 International Summary Statistics Securities Holdings and Transactions Statistics Reported by Banks and Other Financial Firms in the United States Structure and Share Data for U.S. Offices of Foreign Banks Financial Accounts Financial Accounts of the United States - Z.1 Household Finance Consumer Credit - G.19 Household Debt Service and Financial Obligations Ratios Mortgage Debt Outstanding Survey of Consumer Finances (SCF) Survey of Household Economics and Decisionmaking Industrial Activity Industrial Production and Capacity Utilization - G.17 Interest Rates Selected Interest Rates - H.15 Micro Data Reference Manual (MDRM) Micro and Macro Data Collections Money Stock and Reserve Balances Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Other Yield Curve Models and Data Consumers& Communities Regulations Community Reinvestment Act (CRA) All Regulations SupervisionÂ & Enforcement CA Letters Enforcement Actions Independent Foreclosure Review Community Development Housing and Neighborhood Revitalization Small Business and Entrepreneurship Employment and Workforce Development Community Development Finance Rural Community and Economic Development Conferences ResearchÂ & Analysis Survey of Household Economics and Decisionmaking Research Publications & Data Analysis Community Advisory Council Consumer Resources Mortgage and Foreclosure Resources Federal Reserve Community Development Resources Home News & Events Speeches Speech PDF Please enable JavaScript if it is disabled in your browser or access the information through the links provided below.
2,"February 24, 2021 How Should We Think about Full Employment in the Federal Reserve's Dual Mandate?"
3,"So the one message I hope you remember from today is that economics provides powerful tools to enable you to analyze and affect the issues that matter most to you.1 With jobs down by 10 million relative to pre-pandemic levels, one issue that matters fundamentally to all of us is achieving full employment."
4,So today I want to talk about both the Federal Reserve's responsibilities with regard to full employment and different approaches to assessing where we are relative to that goal.
5,The belief that the federal government has a responsibility for full employment has its roots in the Great Depression.
6,"It was given statutory expression at the end of the Second World War when policymakers and legislators feared that the millions of American soldiers returning to the labor market would face Depression-era conditions.2 In the Employment Act of 1946, the Congress directed the federal government as a whole to pursue ""conditions under which there will be afforded useful employment for those able, willing, and seeking work, and to promote maximum employment, production, and purchasing power."
7,"""3 The postwar policy discussion raised important issues surrounding the definition and measurement of full employment."
8,"In 1950, the Review of Economics and Statistics published a symposium titled ""How Much Unemployment?"""
9,which debated the accuracy of the Census Bureau's value for unemployment.4 Dr. Palmer was a critical contributor to the symposium.
10,"Palmer was a professor at Wharton, a fellow of the American Statistical Association, a worldwide expert on manpower and labor mobility, and a consultant with the Office of Statistical Standards.5 She argued that ""a single figure of unemployment, regardless of how it is defined or derived, is inadequate as a basis for selection among [policy] programs."
11,"""6 With concerns about employment again on the rise, in 1976, Senator Hubert Humphrey joined with Congressman Augustus Hawkins to sponsor legislation promoting full employment.7 An amendment to the Federal Reserve Act in 1977 specifically assigned monetary policy responsibility for promoting ""the goals of maximum employment, stable prices, and moderate long-term interest rates,"" commonly referred to as the dual mandate.8 This amendment was followed by the Humphrey-Hawkins Full Employment and Balanced Growth Act, passed in 1978, requiring that the Federal Reserve regularly report to the Congress on how monetary policy was supporting the goals of the act.9 Congressman Hawkins was a prominent advocate of full employment, emphasizing its importance not only for providing a job to every American seeking work, but also for reducing poverty, inequality, discrimination, and crime and improving the quality of life of all people.10 A congressman from southern California, Hawkins was one of the founders of the Congressional Black Caucus and played a major role in the drafting of the Civil Rights Act of 1964."
12,"He was also influenced by the work of economists such as Robert Browne and Bernard Anderson, which highlighted the persistent disparity between Black and white employment and the connection between elevated Black unemployment and economic challenges facing Black communities.11 Hawkins emphasized that ""without genuine full employment it would be impossible to eliminate racial discrimination in the provision of job opportunities."
13,"""12 The Humphrey-Hawkins Act noted that ""increasing job opportunities and full employment would greatly contribute to the elimination of discrimination based upon sex, age, race, color, religion, national origin, handicap, or other improper factors."
14,"""13 The centrality of achieving full employment for all Americans is as pressing today as it was in 1930, 1946, and 1977."
15,"And the statutory dual mandate assigned to monetary policy has ensured an unwavering, strong focus on maximum employment as well as price stability at the Federal Reserve in research and measurement no less than policymaking."
16,"The Federal Reserve recently concluded a review of our monetary policy framework, which included extensive outreach to a broad range of people over the course of 2019."
17,"At a time when the national headline unemployment rate was at a multidecade low, community and labor representatives and educators noted ""it's always a recession"" in their communities.14 They challenged whether the overall economy could be characterized as at ""full employment"" while unemployment remained in the double digits in their communities."
18,"Reflecting this input, and in light of persistently below-target inflation, low equilibrium interest rates, and low sensitivity of inflation to resource utilization, we made several important changes to the monetary policy framework."
19,"Two changes have particular relevance for the employment leg of the dual mandate.15 The new framework calls for monetary policy to seek to eliminate shortfalls of employment from its maximum level, in contrast to the previous approach that called for policy to minimize deviations when employment is too high as well as too low."
20,The new framework also defines the maximum level of employment as a broad-based and inclusive goal assessed through a wide range of indicators.
21,So how should we assess this broad-based and inclusive concept of maximum employment?
22,"When discussing aggregate indicators about the labor market, people tend to focus on the headline U-3 measure of the unemployment rate.16 Although the unemployment rate is a very informative aggregate indicator, it provides only one narrow measure of where the labor market is relative to maximum employment."
23,"Recalling Gladys Palmer's dictum, I would not recommend relying on any single indicator, but rather consulting a variety of indicators that together provide a holistic picture of where we are relative to full employment."
24,So let us start by seeing what insights we gain by disaggregating the unemployment data into different groups of workers.
25,The unemployment rate has improved very rapidly from its peak of 14.8 percent last April to 6.3 percent today.
