,sentence
0,"Main Menu Toggle Button Sections Search Toggle Button Search Search Submit Button Submit Aboutthe Fed Structure of the Federal Reserve System The Fed Explained Board Members Advisory Councils Federal Reserve Banks Federal Reserve Act Currency Board Meetings Board Votes Diversity & Inclusion Careers Do Business with the Board Holidays Observed - K.8 Ethics & Values Contact Requesting Information (FOIA) FAQs Economic Education Fed Financial Statements Innovation News & Events Press Releases Speeches Testimony Calendar Videos Photo Gallery Conferences MonetaryPolicy Federal Open Market Committee About the FOMC Meeting calendars and information Transcripts and other historical materials FAQs Monetary Policy Principles and Practice Notes Policy Implementation Policy Normalization Policy Tools Reports Monetary Policy Report Beige Book Federal Reserve Balance Sheet Developments Review of Monetary Policy Strategy, Tools, and Communications Overview Supervision& Regulation Institution Supervision Community & Regional Financial Institutions Large Financial Institutions Foreign Banking Organizations Financial Market Utilities Consumer Compliance Reports Federal Reserve Supervision and Regulation Report Reporting Forms All Reporting Forms Recent Updates Information collections under review Financial Statements Applications/structure change Federal Financial Institutions Examination Council (FFIEC) Municipal & Government Securities Supervision & Regulation Letters By Year By Topic Banking Applications & Legal Developments Application Process Board & Reserve Bank Action Enforcement Actions & Legal Developments Regulatory Resources Regulations Manuals Basel Regulatory Framework Volcker Rule Education, Training, and Assistance Banking & Data Structure Beneficial Ownership reports Large Commercial Banks U.S. Offices of Foreign Entities Financial Holding Companies Interstate Branching Securities Underwriting & Dealing Subsidiaries Minority Depository Institutions FinancialStability Financial Stability Assessments About Financial Stability Types of Financial System Vulnerabilities & Risks Monitoring Risk Across the Financial System Proactive Monitoring of Markets & Institutions Financial Stability & Stress Testing Financial Stability Coordination & Actions Responding to Financial System Emergencies Cooperation on Financial Stability Reports Financial Stability Report PaymentSystems Regulations & Statutes Regulation CC (Availability of Funds and Collection of Checks) Regulation II (Debit Card Interchange Fees and Routing) Regulation HH (Financial Market Utilities) Other Regulations and Statutes Payment Policies Federal Reserve's Key Policies for the Provision of Financial Services Overnight Overdrafts Payment System Risk Sponsorship for Priority Telecommunication Services Reserve Bank Payment Services & Data Automated Clearinghouse Services Check Services Currency and Coin Services Daylight Overdrafts and Fees FedNowâ„ Service Fedwire Funds Services Fedwire Securities Services Fiscal Agency Services National Settlement Service Financial Market Utilities & Infrastructures Supervision & Oversight of Financial Market Infrastructures Designated Financial Market Utilities International Standards for Financial Market Infrastructures Research, Committees, and Forums Payment Research Federal Reserve Payments Study (FRPS) Payments System Policy Advisory Committee Forums EconomicResearch Meet the Economists Working Papers and Notes Finance and Economics Discussion Series (FEDS) FEDS Notes International Finance Discussion Papers (IFDP) Data, Models and Tools Economic Research Data FRB/US Model Estimated Dynamic Optimization (EDO) Model Survey of Consumer Finances (SCF) Data Data Download Program Bank Assets and Liabilities Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Assets and Liabilities of Commercial Banks in the U.S. - H.8 Assets and Liabilities of U.S."
1,Corporations Dealer Financing Terms Senior Credit Officer Opinion Survey on Dealer Financing Terms Exchange Rates and International Data Foreign Exchange Rates - H.10/G.5 International Summary Statistics Securities Holdings and Transactions Statistics Reported by Banks and Other Financial Firms in the United States Structure and Share Data for U.S. Offices of Foreign Banks Financial Accounts Financial Accounts of the United States - Z.1 Household Finance Consumer Credit - G.19 Household Debt Service and Financial Obligations Ratios Mortgage Debt Outstanding Survey of Consumer Finances (SCF) Survey of Household Economics and Decisionmaking Industrial Activity Industrial Production and Capacity Utilization - G.17 Interest Rates Selected Interest Rates - H.15 Micro Data Reference Manual (MDRM) Micro and Macro Data Collections Money Stock and Reserve Balances Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Other Yield Curve Models and Data Consumers& Communities Regulations Community Reinvestment Act (CRA) All Regulations SupervisionÂ & Enforcement CA Letters Enforcement Actions Independent Foreclosure Review Community Development Housing and Neighborhood Revitalization Small Business and Entrepreneurship Employment and Workforce Development Community Development Finance Rural Community and Economic Development Conferences ResearchÂ & Analysis Survey of Household Economics and Decisionmaking Research Publications & Data Analysis Community Advisory Council Consumer Resources Mortgage and Foreclosure Resources Federal Reserve Community Development Resources Home News & Events Speeches Speech PDF Please enable JavaScript if it is disabled in your browser or access the information through the links provided below.
2,"The change in the SEP median suggests an improvement in the projected level of gross domestic product of 6 percent at the end of 2021 and 2022, a decline in the unemployment rate of 2 percentage points at the end of 2021 and 1-1/2 percentage points at the end of 2022, and an upward revision to the headline inflation rate of 0.8 percentage point at the end of 2021 that narrows to a 0.3 percentage point upward revision at the end of 2022.2 The expected improvements in the outlook reflect progress on controlling the virus, nearly $3 trillion in additional fiscal support, and forceful and timely support from monetary policy."
3,"Although the outlook has brightened considerably, the fog of uncertainty associated with the virus has yet to lift completely, and current employment and inflation outcomes remain far from our goals."
4,The emphasis on outcomes rather than the outlook corresponds to the shift in our monetary policy approach that suggests policy should be patient rather than preemptive at this stage in the recovery.
5,"Although the unemployment rate has moved down 1/2 a percentage point since December, the K-shaped labor market recovery remains uneven across racial groups, industries, and wage levels.4 The employment-to-population (EPOP) ratio for Black prime-age workers is 7.2 percentage points lower than for white workers, while the EPOP ratio is 6.2 percentage points lower for Hispanic workers than for white workersâ€”an increase in each gap of about 3 percentage points from pre-crisis lows in October 2019."
6,"Workers in the lowest-wage quartile continued to face staggering levels of unemployment of around 22 percent in February, reflecting the disproportionate concentration of lower-wage jobs in services sectors still sidelined by social distancing.5 The leisure and hospitality sector is still down almost 3.5 million jobs, or roughly 20 percent of its pre-COVID level."
7,"Overall, with 9.5 million fewer jobs than pre-COVID levels, we are far from our broad-based and inclusive maximum-employment goal."
8,Inflation similarly remains far from the goal of 2 percent inflation on average over time.
9,Both headline and core PCE inflation were below 2 percent on a 12-month basis throughout 2020 and came in at 1.5 percent in January.
10,"Finally, while vaccinations are continuing at an accelerating pace, over two-thirds of the adult population have yet to receive their first dose, and there are risks from more contagious strains of the virus, social-distancing fatigue, and vaccine hesitancy.6 Outlook As the economy reopens, the potential release of pent-up demand could drive stronger growth in 2021 than we have seen in decades."
11,"With PCE accounting for roughly 70 percent of the economy, this uncertainty about consumption spending contributes to uncertainty about activity, employment, and inflation."
12,"On the other side, there is potential for some leakage abroad if, as anticipated, foreign demand growth in some regions is weaker than in the United States."
13,"As port congestion and supply chain bottlenecks ease, international spillovers could lead to some slippage between the increase in domestic demand and resource utilization, which has implications for employment and inflation."
14,"In the labor market, as vaccinations continue and social distancing eases, businesses in hard-hit services sectors will increase hiring, accelerating the pace at which workers find employment."
15,"The strong and timely support from fiscal as well as monetary policy likely reduced the extent of scarring during the pandemic, which should aid the pace of hiring at in-person services establishments once the virus is well controlled."
16,"Although core and headline PCE inflation came in at 1.5 percent on a 12-month basis in January, the well-anticipated base effects from price declines in March and April of last year will cause inflation to move above 2 percent in April and May."
17,"It also seems likely that a surge of demand may be met by some transitory supply bottlenecks amid a rapid reopening of the economy, leading PCE inflation to rise somewhat above 2 percent on a transitory basis by the end of 2021."
18,Entrenched inflation dynamics are likely to take over following the transitory pressures associated with reopening.
19,"Underlying trend inflation has been running persistently below 2 percent for many years.9 In addition, research suggests that although increasing labor market tightness may show through to wage inflation, the pass-through to price inflation has become highly attenuated.10 These results suggest that businesses tend to respond to increased labor costs by reducing margins rather than increasing prices later in the cycle."
20,"Thus, as resource utilization continues to tighten over coming years, recent decades provide little evidence to suggest there will be a material nonlinear effect on price inflation."
21,Policy The FOMC has communicated its reaction function under the new framework and provided powerful forward guidance that is conditioned on employment and inflation outcomes.
22,This approach implies resolute patience while the gap closes between current conditions and the maximum-employment and average inflation outcomes in the guidance.
23,"By focusing on eliminating shortfalls from maximum employment rather than deviations in either direction and on the achievement of inflation that averages 2 percent over time, monetary policy can take a patient approach rather than a preemptive approach."
24,"The preemptive approach that calls for a reduction of accommodation when the unemployment rate nears estimates of its neutral rate in anticipation of high inflation risks an unwarranted loss of opportunity for many of the most economically vulnerable Americans and entrenching inflation persistently below its 2 percent target.11 Instead, the current approach calls for patience, enabling the labor market to continue to improve and inflation expectations to become re-anchored at 2 percent."
25,"In the January 2021 surveys, the median respondent expected the unemployment rate to be a bit below 4 percent at the time of liftoff, as compared with 5.3 percent in the March 2015 surveys."
