,sentence
0,"Output growth was solid, and unemployment was at a 50-year low."
1,"In late 2019, market participants were telling us that the most salient risks to the U.S. economy were from trade frictions, the challenges facing monetary policy given the proximity of interest rates to their effective lower bound, and market liquidity.1 Then the COVID event unfolded."
2,"This was a trigger for what became a rapid change in market sentiment, as investors began to prepare for what was beginning to seem might be a significant slowdown in economic activity."
3,"As other European governments began to adopt travel bans, lockdowns, and school closures, there was a surging demand for safe assets."
4,"With fears of a widespread economic slowdown proliferating in late February and early March, Treasury prices rose and yields fell sharply, as usually happens when the economic outlook worsens."
5,"And as often happens when a shock leads to a surging demand for safe assets, some risky assets became very difficult to sell."
6,"These actions can lead to sharp declines in asset prices and impair the ability of businesses to fund their operations, leading to strains across the financial system and declines in employment and spending."
7,"And, the structure of the Treasury market has evolved substantially in recent years, with the growth of high-speed and algorithmic trading, and a growing share of liquidity provided by new entrants alongside established broker-dealers."
8,"During this dash for cash, Treasury prices fell and yields increased, a surprising development since Treasury prices usually rise when investors try to shed risk in the face of bad news or financial stress, reflecting their status as the ultimate safe asset."
9,"First, in March, many businessesâ€”unable to satisfy their large cash demand through CP or corporate bond issuance, for the reasons I described earlierâ€”drew down on their existing credit lines with banks in order to raise cash."
10,"The inflow of deposits resulted from increased demand for safe haven assets, reflecting confidence in U.S. banks."
11,"Effectively, the ability of creditworthy households, businesses, and state and local governments to borrow, even at elevated interest rates, was threatened."
12,"Fundamentally, each measure was designed to address an aspect of the pressures created by the large demand for cash in the real economy and the temporarily limited willingness of financial firms to provide it."
13,"Our liquidity facilities relieved pressure on markets created by mass liquidations of assets driven by the demand for cash, as did our direct purchases of Treasuries."
14,Our credit facilities satisfied the cash demand of borrowers more directly.
15,"In addition, we have to ask: What can be done to improve Treasury market functioning over the longer term so that this market can withstand a large shock to demand or supply?"
16,The COVID event precipitated the most abrupt decline in U.S. and global economic activity in recorded history.
