,sentence
0,"My plan is to start with my outlook for the U.S. economy in 2022, and then describe what I consider the appropriate path of monetary policy to keep the economy on a healthy and sustainable course.1 But, before I get into that discussion, let me comment on what I think is on everyone's minds today, Russia's attack on Ukraine."
1,"Turning to my outlook for the economy, my greatest concern is continued elevated inflation."
2,"Inflation is too high, and I think concerted action is needed to rein it in."
3,"The Federal Open Market Committee (FOMC) has multiple tools to tighten monetary policy, and I will go into some detail about how I believe the Fed should approach increasing the target range for the federal funds rate and reducing the size of the balance sheet."
4,But let me start with the outlook for economic activity.
5,"I expect the economy to continue expanding at a healthy rate this year, slower than in 2021 but still at a solid pace that will keep employment growing strongly."
6,"While there are some signs that the effects of the Omicron variant have dampened economic growth in the last month or two, it does not appear to have affected hiring, given the healthy jobs report for January."
7,The combination of strong consumer demand and supply constraints has produced very high inflation.
8,"The consumer price index (CPI) was up 7.5 percent for the 12 months through January, the highest yearly rate in 40 years."
9,"With appropriate monetary policy, and the expected easing in supply constraints, I am hopeful inflation will move down over the course of this year, even with the recent geopolitical developments."
10,"Nevertheless, the path of inflation is the biggest risk to my outlook."
11,"As we move through this year, I can't emphasize enough how much this outlook, and the appropriate stance of monetary policy, will be influenced by the data that we see about the performance of the economy."
12,"With that in hand, I will evaluate the outlook with respect to the Fed's dual mandate in determining the appropriate setting for monetary policy."
13,The Labor Market Let's start with where the economy stands with respect to maximum employment.
14,I now believe we have achieved the FOMC's objective of maximum employment.
15,"These revisions helped explain why we saw such large and steady declines over the year in the unemployment rate, which fell from 6.4 percent in January 2021 to 4 percent in January 2022, which happens to be the median of FOMC participants' December estimates of the longer-run unemployment rate."
16,"Accounting for retirees leaving the workforce, I estimate that employment is close to the levels of February 2020, right before the pandemic shock hit the economy and when the target range for the federal funds rate was much higher than the current target range."
17,"The January job numbers were just one monthly report, but one reason I have the confidence to declare that maximum employment has been reached is the message January sent about the durability of the continuing recovery."
