,sentence
0,"As central bankers, we don't think of inflation or unemployment as blue or red."
1,"Ninety years ago, the first woman Cabinet Secretary, Frances Perkins, convinced a skeptical Franklin Roosevelt that unemployment insurance wasn't a handout but a smart investment."
2,"Not only would it be an effective self-financed approach to help families smooth through periods when work was hard to find through no fault of their own, but it also would support the health of the broader economy when demand weakened."
3,"The second example is of Augustus Hawkins, a Black Congressman who in the 1970s was a key architect of the statute enshrining the words ""full employment"" in the Federal Reserve's mandate along with price stability."
4,"He knew that only with maximum employment would there be true opportunity for workers of all races, ethnicities, and genders."
5,"Every day, I am mindful that the opportunities and prosperity of working people all across the country rest in part on our commitment to the prosaic words ""maximum employment and price stability,"" which, like policy work itself, belie the enormity of their effect."
6,Maximum employment and stable low inflation benefit all Americans but are particularly important for those earning less.
7,"Price stability is of greatest importance for lower-income families because they spend more than three-quarters of their paychecks on essentials like groceries, gas or bus fare, and rentâ€”more than double the 31 percent spent by higher-income households."
8,High inflation is our most pressing challenge.
9,That is why we are taking strong actions that will bring inflation back down.
