,sentence
0,"This is my first speech as a Fed Governor, and I am delighted to deliver it here, joining friends and colleagues from across my career, from academia to policymaking.1 I would like to start with a discussion of the U.S. economy, including the implications of international developments, and then talk about my approach as a policymaker and how I view the current stance of monetary policy."
1,"Employment rebounded much more swiftly post-pandemic than it did during previous recoveries and has continued to grow at a rapid pace of about 440,000 jobs a month so far this year."
2,"The unemployment rate, at 3.7 percent, remains very low."
3,"Other indicators also point to labor market strength: Despite a large drop in the number of job openings in August, which may suggest that labor demand is moderating, there is still an unusually high 1.7 job openings per unemployed job seeker."
4,"Inflation On the price stability side of the Fed's mandate, inflation remains stubbornly and unacceptably high, and data over the past few months show that inflationary pressures remain broad based."
5,"My focus, therefore, is on bringing inflation back down to our 2 percent target."
6,I am heartened to see measures of medium- to long-term inflation expectations falling in the surveys from the New York Fed and the University of Michigan.
7,"Although those declines may partly reflect falling gasoline prices, they provide some evidence that inflation expectations are well anchored."
8,"The data on actual inflation, however, have showed a slower decline than I had anticipated, and I am seeking to better understand the reasons."
9,I am focused on the lag between signs of easing price pressures and actual inflation coming down from its very high levels.
10,Much of the surge in inflation over the past year was rooted in the incomplete recovery of aggregate supply from pandemic-related shutdowns.
11,"This year, Russia's invasion of Ukraine sparked a surge in energy prices and affected global food markets both directly, by reducing shipments of commodities such as grain, and indirectly, by, for example, curtailing fertilizer production."
12,"Supply bottlenecks appear to be easing, and global oil and commodity prices have declined."
13,"This largely reflects worsening global growth prospects, notably in Europe, which is suffering from the reduced flow of Russian natural gas, and in China, with its zero-COVID policy and property-sector difficulties."
14,"U.S. gasoline prices have fallen more than $1 per gallon since June, reflecting the fall in oil prices and refinery margins and helping to slow the monthly increases in headline consumer prices."
15,"However, core pricesâ€”those excluding food and energyâ€”have continued to rise rapidly."
16,"In particular, inflation in core goods prices has been surprisingly strong, in part because the elevated demand for goods we saw during the height of the pandemic has taken longer to abate than previously anticipated."
17,"Still, there are reasons to expect core goods inflation to slow in coming months."
18,"Wholesale used vehicle prices have declined considerably, but there is some uncertainty about how long it will take for that decline to show up in consumer prices."
19,"Similarly, new car prices should moderate over time as production of new vehicles continues to ramp up."
20,"Overall, a broad range of goods have seen declines in supplier delivery times and freight prices."
21,"And core import prices have fallen in each of the past four months, driven by lower commodity prices and an appreciating dollar."
22,Consumer prices continue to rise rapidly over a broad range of services as demand for services recovers.
23,Continued strong wage increases will likely put further upward pressure on service price inflation.
24,Housing services inflation will likely boost overall inflation well into next year.
25,"Although rent increases on new leases are starting to slow, that moderation also is likely to have a substantial and uncertain lag before it appears in PCE (personal consumption expenditures) and CPI (consumer price index) measures of inflation."
26,"The widespread nature of the inflation pressures suggests that the overall economy is very tight, with constrained supply continuing to fall short of demand."
27,"The Fed cannot act directly on supply, but it can moderate demand by tightening monetary policy."
28,"This has helped soften interest-sensitive components of private demand, including business investment andâ€”most notablyâ€”housing."
29,"While there is heterogeneity across countries, high inflation is a global phenomenon."
30,"Some observers have raised concerns that central banks around the world, which are tightening policy to contain domestic inflation, may not be accounting for the cross-border spillovers of their policies."
31,"My role is to focus on the Fed's dual mandate to promote maximum employment and stable prices for the American people, which is a domestic mandate."
32,"My colleagues and I on the Federal Open Market Committee (FOMC), however, are very attuned to foreign developments, including monetary policy abroad, and their effect on domestic conditions through trade and financial market channels."
33,"Sharp slowdowns in foreign economies, along with dollar appreciation, are reducing demand for U.S. exports, and financial market spillovers between the United States and abroad are a two-way street."
34,I will also address how data drive my understanding of the inflation dynamics I have outlined.
35,My research on economic growth has given me an appreciation for the dual mandate and the importance of economic and financial stability for fostering innovation and growth.
36,"Paying close attention to the data is key, which, of course, includes readings on inflation and the labor market."
37,"Examples include wholesale used car prices, rental rates on new leases, and survey responses on supplier delivery times or prices paid."
38,"There is also nontraditional, real-time information, such as Google mobility data and Open Table data on dining reservations, which were useful in estimating economic activity during various waves of the pandemic."
39,"In considering whether standard models remain appropriate, one focus for me is the well-known long and variable lag between monetary policy actions and their effect on the real economy and on inflation."
40,"Residential investment also responds quickly to changes in monetary policy, while consumer spending is slower to react."
41,Lags between monetary policy and inflation are even more unclear.
42,"Expectations of future monetary policy can have quite rapid effects on commodity and other import prices, but monetary transmission through economic slack appears to affect inflation more slowly."
43,"In the current situation, with risks to inflation forecasts skewed to the upside, I believe policy judgments must be based on whether and when we see inflation actually falling in the data, rather than just in forecasts."
44,"Although most forecasts see considerable progress on inflation in coming years, it is important to consider whether inflation dynamics may have changed in a persistent way, making our forecasts even more uncertain."
45,My Perspective on Monetary Policy How do these experiences and the principles of data dependence and risk management influence my views on current monetary policy?
46,"Notably, we heard about the burden that lower- and middle-income families are feeling from high inflation."
47,These events highlighted for me the importance of achieving both our employment and price-stability mandates.
48,"In our current economy, with a very strong labor market and inflation far above our goal, I believe a risk-management approach requires a strong focus on taming inflation."
49,Inflation poses both a near- and long-term threat.
50,"Aside from the immediate effect of higher prices on households and businesses, the longer it persists and the more people come to expect it, the greater the risks of elevated inflation becoming entrenched."
51,I think it is critical that we prevent an inflationary psychology from taking hold.
52,My time doing dissertation research in Russia in the mid-1990s taught me just how disruptive and painful an extremely high-inflation environment can be.
53,"Reports over the past few months have shown high inflation to be stubbornly persistent, while the labor market has remained strong."
54,"Being data dependent, I have revised up my assessment of the persistence of high inflation."
55,"And given my risk-management approach, with upside risks to inflation being the most salient, I fully supported the step-up in the front-loading of policy over the past three FOMC meetings."
56,It puts monetary restraint into place more quickly to reduce demand while supply is constrained.
57,"It may also act to rein in inflation expectations and, as a result, to influence wage- and price-setting behavior."
58,"Although lowering inflation will bring some pain, a failure to restore price stability would make it much harder and much more painful to restore it in the future."
59,"As we move forward in these uncertain times, policy should remain focused on restoring price stability, which will also set the foundation for a sustainably strong labor market."
60,"With inflation running well above our 2 percent longer-run goal, restoring price stability likely will require ongoing rate hikes and then keeping policy restrictive for some time until we are confident that inflation is firmly on the path toward our 2 percent goal."
