,sentence
0,My subject today is the outlook for the U.S. economy and the Federal Reserve's ongoing campaign to bring down inflation and achieve our 2 percent objective.1 There are three takeaways from my speech today.
1,"First, inflation is far too high, and it is too soon to say whether inflation is moving meaningfully and persistently downward."
2,The Federal Open Market Committee (FOMC) is committed to undertake actions to bring inflation back down to our 2 percent target.
3,The second takeaway is that the fears of a recession starting in the first half of this year have faded away and the robust U.S. labor market is giving us the flexibility to be aggressive in our fight against inflation.
4,"For that reason, I support continued increases in the FOMC's policy rate and, based on what I know today, I support a significant increase at our next meeting on September 20 and 21 to get the policy rate to a setting that is clearly restricting demand."
5,"Future decisions on the size of additional rate increases and the destination for the policy rate in this cycle should be solely determined by the incoming data and their implications for economic activity, employment, and inflation."
6,"Because of the strong labor market, right now there is no tradeoff between the Fed's employment and inflation objectives, so we will continue to aggressively fight inflation."
7,"Inflation is widespread, driven by strong demand that has only begun to moderate, by an ongoing lag in labor force participation, and by supply chain problems that may be improving in some areas but are still considerable."
8,"For these reasons, I expect it will take some time before inflation moves back to our 2 percent goal, and that the FOMC will be tightening policy into 2023."
9,"With each passing week, the absence of any indication of a recession in spending or employment data buries that recession argument a little deeper."
10,"What we can say is that after the Fed telegraphed its policy pivot to tightening in the latter months of 2021 and began raising rates in the first quarter of this year, demand and economic activity slowed in the first half of 2022 from the strong pace of 2021."
11,Data suggest an uptick in consumption growth in the third quarter.
12,"Nominal retail sales overall were flat in July, but that is mainly because falling gasoline and auto pricesâ€”which is good newsâ€”held back sales in those sectors."
13,"Meanwhile, the non- manufacturing ISM report suggests continuing growth, with its new orders index rising to a solid level last month."
14,"But there are signs of moderation in economic activity, which is what the FOMC is trying to achieve by tightening monetary policy."
15,"Not surprisingly, higher interest rates this year are slowing activity in the housing market."
16,"While the imbalance between housing supply and demand remains significant, it has meaningfully improved."
17,"All that said, the housing market is a significant channel for monetary policy, and I will be watching this sector carefully."
18,The FOMC's goal is that the tightening in monetary policy slows aggregate demand so that it is in better alignment with supply across all sectors of the economy.
19,"That will support a slowing, rather than a contraction, in demand."
20,"Turning to the very strong labor market, private payroll employment has been increasing at an average of nearly 400,000 a month over the last several months."
21,"Unemployment rose two tenths of a percent in August to 3.7 percent, in part reflecting an increase in the labor force participation rate, but still stands at a very low level."
22,"The increase in participation was welcome news, but this rate is still far below that achieved before the pandemic, when unemployment was roughly as low as today."
23,"These data confirm that the Fed is hitting its full employment mandate, so all my attention is on bringing inflation down."
24,"Inflation slowed in July, which was a very encouraging development."
25,"Headline inflation for both the consumer price index and the index derived from personal consumption expenditures (PCE)â€”the Fed's preferred measureâ€”slowed, largely due to continuing declines in prices for gasoline and other petroleum products."
26,"Excluding volatile energy and food prices, core inflation for these two indexes also stepped down from the rapid increases of earlier this year, but it is still too early to say that inflation is moving meaningfully and persistently downward."
27,Inflation is still widespread.
28,"For both headline and core inflation, at least 60 percent of the underlying categories of different goods and services increased by 3 percent or more."
29,Prices for housing services are elevated and still rising.
30,Core goods inflation continues to run well above its pre-pandemic level.
31,Inflation for services excluding housing has moved up this past year in part due to consumers shifting back to more normal activities outside the household as social distancing has eased.
32,"Looking ahead, I will be focusing on a number of factors that will influence inflation."
33,"On housing servicesâ€”rent and the so-called owners' equivalent rent â€”I expect to see sizable increases in this component of inflation for a while as the recent rise in new rentals makes its way into aggregate price measures.2 In a speech in March, I noted that, based on various measures of asking rents, some analysts were predicting that the rate of rent inflation in the consumer price index could double in 2022, and so far it is on pace to more than double.3 Owners-equivalent rent is similarly on pace to nearly double this year.4 Sometime early next year, though, I expect to see the upward pressure on inflation from these forces to ease as future increases in new or renewed leases moderate and the full effects of monetary policy tightening make their way to housing services prices."
34,"Beyond housing, I expect goods price inflation to continue to moderate as monetary policy now and going forward slows the pace of increase in aggregate demand, supply problems ease, and supply and demand come into better balance."
35,"In terms of service price inflation, we saw a step-down in airfares and other travel-related services last month, but I am uncertain about how these services, as well as food services, and nonmarket services prices will evolve going forward."
36,"Nominal wages have been growing quickly, and I'll be watching closely to see how wage growth evolves and feeds into inflation."
