,sentence
0,"The number one challenge, of course, is inflation, which continues to be much too high, and a heavy burden for households and businesses."
1,I will share my reasoning for supporting this increase and why I support continued increases until inflation is on a consistent path to significantly decline.
2,"Inflation continued to climb in June, reaching 9.1 percent as measured by the consumer price index."
3,"This is yet another concerningly high reading, and it set another 40-year record high despite the expectation of many forecasters that inflation had peaked earlier in the year."
4,"I have seen few, if any, concrete indications that support this expectation, and I will need to see unambiguous evidence of this decline before I incorporate an easing of inflation pressures into my outlook."
5,"Many of the underlying causes of excessive inflation are the same as they have been over the past year or soâ€”supply chain issues, including those related to China's COVID containment policies, constrained housing supply, the ongoing conflict in Ukraine, fiscal stimulus, and limitations on domestic energy production."
6,"Regardless of the source of the inflationary pressure, the Federal Reserve has a duty to bring inflation down to our 2 percent target."
7,This duty is mandated by Congress to carry out monetary policy that results in price stabilityâ€”meaning low and stable inflation.
8,"We all understand why this is a critically important responsibility, especially in times of extreme inflation."
9,"Rising prices for food, housing, and energy negatively impact affordability for all Americans, but especially those with low or moderate incomes."
10,"For those workers who drive long distances to get to work, high inflation is especially concerning, requiring some to make tradeoffs between feeding their families and buying fuel to fill gas tanks."
11,"Some workers have seen their wages grow significantly over the past two years, but most have seen any gains in wages far outpaced by higher prices."
12,"Therefore, in my mind, it is absolutely critical that we continue to use our monetary policy tools until we are successful in returning inflation to our 2 percent goal."
13,Businesses are also suffering from elevated inflation through rising and volatile prices for inputs and the need to price their own goods and services to cover costs without losing customers.
14,Prices for commodities have declined lately but are still at historically high levels.
15,"In contrast, prices for fertilizer and many crop inputs continue to rise."
16,"I see a significant risk of high inflation into next year for necessities including food, housing, fuel, and vehicles."
17,"Rents have grown dramatically, and while home sales have slowed, the continued increasing price of single-family homes indicates to me that rents won't decline anytime in the near future."
18,"Recently, gasoline prices have moderated but are still roughly 80 percent higher than pre-pandemic levels due to constrained domestic supply and the disruption of world markets."
19,"And I see continued inflation risk from motor vehicle prices, as auto manufacturers struggle with supply chain problems that haven't improved significantly."
20,"Demand for cars continues to exceed supply, and retail used car prices are still very high, about 50 percent more than before the pandemic."
21,The supply problems pushing up inflation seem likely to persist.
22,"An announced reduction in Russian natural gas supplies to Western Europe has driven European prices even higher, causing ripple effects on world energy markets and raising concerns about shortages this winter."
23,"China has eased some of its most stringent COVID containment measures but recently revived travel restrictions in some areas, and its approach to the pandemic remains an upside risk for inflation."
24,"On the other side of our dual mandate, maximum employment, we continue to see a tight labor market, though there are some emerging signs that would support expectations of loosening."
25,Yesterday's job report showed continued significant growth in hiring with the unemployment rate finally returning to the pre-pandemic level of 3.5 percent.
26,"As I am sure you all know, the job market in Kansas is even stronger, with an unemployment rate of 2.4 percent in June."
27,One aspect of the job market that has not recovered is labor force participation.
28,"In contrast to this labor market strength in Kansas and nationwide, output growth has slowed this year."
29,My base case is for a pickup in growth during the second half of this year and for moderate growth in 2023.
30,"From my perspective, had we known at the time about the eventual large upward revisions in last year's employment data, we likely would have significantly accelerated our monetary policy actions."
31,"Taking all of that on board, while the data on economic activity are indeed lower and the view is murky, the evidence on inflation is absolutely clear, which brings me to the implications for monetary policy."
32,"My view is that similarly-sized increases should be on the table until we see inflation declining in a consistent, meaningful, and lasting way."
33,"In my view, that, combined with data revisions that were directly relevant to our decision making, led to a delay in taking action to address rising inflation."
34,It is helpful that the FOMC provided clear direction earlier this year that it was prepared to act quickly to tighten monetary policy.
35,"Looking ahead, the FOMC will be getting two months of data on inflation and another month on employment before our next meeting in September, and while I expect that ongoing rate increases will be appropriate, given the uncertainty in how those data and conditions will evolve, I will allow that information to guide my judgment on how big the increases will need to be."
36,"I do expect that the labor market will remain strong as we continue to increase interest rates and allow the balance sheet to run off, but there is a risk that our actions will slow job gains, or even reduce employment."
37,"Growth has softened, and perhaps this is an indication that our actions to tighten monetary policy are having the desired effect, with the ultimate goal of bringing demand and supply into greater balance."
38,"When considering the risks to the labor market, these risks must be viewed in the context of its current strength and with the understanding that our primary challenge is to get inflation under control."
39,"In fact, the larger threat to the strong labor market is excessive inflation, which if allowed to continue could lead to a further economic softening, risking a prolonged period of economic weakness coupled with high inflation, like we experienced in the 1970s."
40,"In any case, we must fulfill our commitment to lowering inflation, and I will remain steadfastly focused on this task."
