,sentence
0,"It thus seems possible that monetary policy could be affected for some time by uncertainty surrounding fiscal policy and its effects on the economy.1 Macroeconomic Outcomes Are Difficult to Predict Before I turn to the possible effects of fiscal policy, it is helpful to remind ourselves of the immense uncertainty that accompanies any attempt to forecast future economic developments."
1,"Many possible surprises could materially affect the future path of the U.S. economy, such as shocks to the price of oil, the foreign economic outlook, the rate of productivity growth, the sentiment of households and businesses, financial stability, and fiscal policy, to name a few."
2,"The resulting uncertainty makes it difficult to predict the future path of activity, unemployment, and inflation."
3,"By statute, the Federal Reserve is mandated to conduct monetary policy to promote the long run goals of maximum employment and stable prices."
4,"In today's framework, the Federal Open Market Committee (FOMC) has defined stable prices to mean 2 percent inflation."
5,Uncertainty about future employment and inflation naturally translates into uncertainty about the path of future monetary policy.
6,"One useful measure of uncertainty is the magnitude of forecast errors, or the extent to which macroeconomic outcomes have differed from professional economic forecasters' expectations.2 Over the past 30 years, outside forecasts of the unemployment rate four quarters ahead have missed the actual unemployment rate by more than 3/4 percentage point in either direction one-third of the time."
7,"Since notable departures from forecast values of unemployment and inflation occur with some frequency, it should not be surprising that the associated forecasts of interest rates have a similar track record."
8,"One-third of the time over the past 30 years, outside forecasts of the level of short-term interest rates four quarters ahead have been above or below the actual level by more than 1-1/4 percentage points.3 Thus, it is important to keep in mind that all macro forecasts and projections of monetary policy are subject to considerable uncertainty, as they are based on information at a point in time, and actual developments could well evolve much differently."
9,"Fiscal Policy Considerations Among the many factors that can affect the aggregate economy and, by extension, monetary policy, a possible shift in fiscal policy has attracted the attention of both economic forecasters and financial markets of late."
10,"Among forecasters surveyed by Blue Chip Economic Indicators, for 2017, 44 percent indicated that they had raised their forecast of inflation and 47 percent had raised their forecast of gross domestic product (GDP) growth because of the recent U.S. election results, although on average forecast changes were modest."
11,"Federal fiscal deficits, adjusted for the cyclical state of the economy, increased by roughly 2-1/2 percentage points of GDP from the period before the elections to six years following the elections, federal debt held by the public increased from about 25 percent of GDP to nearly 40 percent, and the current account deficit widened.4Following the 2000 elections, similar fiscal changes resulted in an increase in the fiscal deficit of close to 3 percentage points of GDP over the first six years of the new Administration on a cyclically adjusted basis."
12,"Of course, there are important differences in today's conditions relative to these historical settings, including the economy's cyclical position, current and projected levels of indebtedness, the relative position of the global economy, and monetary policy settings."
13,It is instructive to contemplate the important dimensions along which fiscal policy and its effects might vary as well as their implications for monetary policy.
14,"In addition to the critical size and timing issues, there are four key dimensions: (1) the composition of policy changes and their relative effects on aggregate demand and aggregate supply, (2) the distance of the economy from full employment and 2 percent inflation, (3) the divergence in the cyclical position of the U.S. economy relative to foreign economies, and (4) the amount of fiscal policy space."
15,Different types of policies can generate very different economic responses and have implications regarding both the amount of aggregate economic stimulus per fiscal dollar and also whether the effect is predominantly to raise aggregate demand or also to expand the supply potential of the economy.
16,"Generally, fiscal stimulus that expands spending and investment directly or is targeted to households and businesses that have the greatest propensity to spend rather than save can be expected to generate the largest response in aggregate demand.5 Focusing first on policies that affect only aggregate demand, temporary demand-based fiscal expansions can speed recovery when the economy is some distance from full employment and target inflation, particularly if conventional monetary policy is constrained by the effective lower bound."
17,"But when the economy is either close to or at full employment and inflation is converging to or at its target, additional fiscal demand will more likely result in inflationary pressures."
18,"Thus, fiscal expansions that affect only aggregate demand and are enacted when the economy is near full employment and 2 percent inflation are relatively less likely to sustainably boost economic activity and relatively more likely to be accompanied by increases in interest rates."
19,"The current nominal neutral interest rate--or the level of the federal funds rate that is consistent with output growing close to its potential rate with full employment and stable inflation--is quite low at present.6 Adjusting for inflation, most estimates of the neutral rate are currently close to zero, compared with about 2 percent for the quarter-century prior to the financial crisis.7 A low neutral rate implies that conventional monetary policy has less room to respond when the economy is hit by adverse shocks."
20,"With conventional monetary policy constrained in the vicinity of the lower bound, it is more difficult for the economy to recover and for inflation to move back to target.8 Policies that persistently raise aggregate demand alone can lift the neutral rate, but that may come at substantial cost."
21,"Because these policies do not affect the economy's long-term growth potential but do result in persistent fiscal deficits, they can lead to substantial increases in the debt-to-GDP ratio."
22,The greater space for monetary policy to respond to adverse shocks provided by a higher neutral rate comes at the expense of reducing the space for fiscal policy to stabilize the economy in the event of future adverse shocks.
23,"In this regard, it matters importantly whether increased fiscal deficits predominantly raise aggregate demand or also expand the supply potential of the economy more broadly."
24,Changes in fiscal policy that raise the level or growth rate of productivity or that induce greater labor force participation and higher levels of skill and education in the workforce raise the nation's productive capacity and result in more sustainable increases in output and living standards.
25,"The higher productivity and workforce levels engendered by these policies would likely increase investment opportunities and raise expectations of future income growth, sustainably boosting the levels of investment and consumption and, as a result, the longer-run neutral rate."
26,"In recent years, major foreign economies have been contending with a deficiency of domestic demand."
27,"At a time when the U.S. economy has made important progress on employment and inflation, in both Europe and Japan output or inflation, or both, remain well below desired levels."
28,"Moreover, growth in many emerging market economies, including importantly China, has slowed in recent years, and financial conditions in some emerging economies appear fragile."
29,"Against the backdrop of deficient demand abroad, if more expansionary fiscal policy here at home raises expectations of a growing divergence between the United States and other economies, upward pressure on the exchange rate will likely result, as we have seen recently with the renewed increase in the dollar."
30,"The result could be cross-border spillovers from the increase in U.S. domestic demand, reducing the effect on U.S. real activity and inflation and potentially contributing to external imbalances."
31,"In the past few years, the effect on the dollar of increased expectations about divergence between U.S. and foreign interest rates has been especially strong.9 The nearly 20 percent increase in the dollar over 2014 and 2015 coincided with falling real exports and import prices in the United States."
32,"Net exports subtracted more than 1/2 percentage point from GDP growth in both 2014 and 2015, while falling non-oil import prices likely subtracted 1/4 percentage point from the annual rate of core inflation.10 Finally, the trajectory of federal government debt relative to GDP and views regarding the debt's sustainability can also influence the effects of fiscal policy."
33,"Research suggests that increases in the debt-to-GDP ratio cause long-term interest rates to rise.11 All else being equal, higher long-term interest rates reduce spending on interest-sensitive goods, possibly damping the direct effect of fiscal expansion on economic activity."
34,"The experiences of foreign economies suggest that the relationship between debt and interest rates is complex and likely non-linear, with the influence of greater debt on interest rates rising as the debt-to-GDP ratio reaches a trajectory at which investors have concerns about its sustainability."
35,"In this light, it is notable that the current ratio of debt to GDP is substantially larger than it was preceding the fiscal expansions in the early 1980s and early 2000s and has already been projected to increase further based on demographic trends.12 Guideposts for Monetary Policy With any future change in fiscal policy quite uncertain, monetary policy will be guided by the current state of the economy, the underlying momentum of economic activity and inflation, the level of the neutral rate, and the balance of macroeconomic risks."
36,"Following a year in which the unemployment rate remained stable while labor force participation increased, we have seen in the past quarter a further reduction in the unemployment rate."
37,"Overall, I am pleased to see that full employment is within reach and could prove sustainable with the right policy mix."
38,"Payroll growth has remained sufficiently strong to continue eroding slack, increasingly along margins that had previously seemed stubbornly elevated--including the long-term unemployed, those on the margins of the labor force, and most recently those who are working part time but would prefer full-time work."
39,"Moreover, wage growth appears to be picking up gradually in a further sign that slack continues to be taken up."
40,"While the employment cost index was up only 2.3 percent over the 12 months ending in September, still well below pre-crisis norms, average hourly earnings have accelerated more noticeably, increasing by 2.9 percent on a 12-month basis in December."
41,"Even so, some slack may remain: Relative to pre-crisis levels, the prime-age employment-to-population ratio remains low and the share of employees working part time for economic reasons remains elevated."
42,"Following a long period of stubbornly below-target inflation, I have been encouraged by recent signs of gradual progress toward our inflation target, as the effects of earlier dollar appreciation and oil price declines appear to be waning."
43,"Over the 12-month period ending in November, core personal consumption expenditures prices increased 1.6 percent."
44,"This rate is still noticeably below 2 percent, but it is up 1/4 percentage point from a year earlier.13 In addition, market measures of longer-run inflation compensation based on nominal and inflation-protected Treasury yields have improved about 40 basis points relative to the very depressed levels prevailing through much of the preceding year, although, even with this increase, inflation compensation remains well below historical norms."
