,sentence
0,"I can think of no better way to celebrate the signal contributions of this leading force in the world of monetary policymaking than to address an issue of great importance to central banks, and one that has drawn considerable public attention and comment of late--namely, the proper role of asset prices in the determination of monetary policy."
1,"At the outset, let me stress that I will be expressing my own opinions, which are not necessarily shared by my colleagues on the Federal Open Market Committee.1 Two Strategies for Dealing with Market BubblesMost fluctuations in stock prices, real estate values, and other asset prices pose no particular challenge to central banks, as they are just some of the usual factors influencing the outlook for real activity and inflation."
2,The first approach--which I will label the conventional strategy--calls for central banks to focus exclusively on the stability of prices and economic activity over the next several years.
3,"Under this policy, a central bank responds to stock prices, home values, and other asset prices only insofar as they have implications for future output and inflation over the medium term."
4,"Importantly, the strategy eschews any attempt to influence the speculative component of asset prices, treating any perceived mis-pricing as, rightly or wrongly, an essentially exogenous process."
5,"If policymakers suspect that a bubble is likely, say, to expand for a time before collapsing, the implications of that possibility for future output and inflation need to be folded into their deliberations."
6,"Despite its approach to perceived speculative activity, the conventional strategy does recognize that monetary policy has an important influence on asset prices--indeed, this influence is at the heart of the transmission of policy decisions to real activity and inflation."
7,"It occurs through standard arbitrage channels, such as the link between interest rates and the discount factor used to value expected future earnings."
8,"It was described at length in ""Asset Price Bubbles and Monetary Policy,"" an article published by the ECB last year."
9,It would thus possibly tolerate a certain deviation from its price stability objective in the shorter term in exchange for enhanced prospects of preserving price and economic stability in the future.
10,"""2 I am labeling this second approach extra action, as it calls for steps that would not be taken in ordinary circumstances.3 Compared with the first approach, the extra-action strategy responds to a perceived speculative boom with tighter monetary policy--and thus lower output and inflation in the near term--with the expectation of significantly mitigating the potential fallout from a possible future bursting of the bubble."
11,"As the ECB article stresses, such an attempt would be extremely dangerous given the risk that a concerted effort at stamping out a speculative boom would lead to outsized interest rate hikes and recession."
12,"Both policies aim to achieve the same general objectives of monetary policy, using the same broad analytic framework."
13,"Most central banks, I believe, share these basic features of monetary policymaking, notwithstanding important differences in their official mandates and the nature of their economies."
14,"At the risk of considerable oversimplification, policymakers can be described as seeking to set policy over time so as to minimize the present value of future deviations of output from potential and inflation from a desired level."
15,"This statement is true whether our institutions have a specific mandate to keep inflation low and stable and output close to potential, as in the United States, or whether our mandate is defined primarily in terms of stabilizing inflation, as in the euro area."
16,"Stabilizing output complements maintaining price stability in the medium to long run, and often in the short run as well."
17,We also can agree that asset prices play critical and complicated roles in determining real activity and inflation--roles that may be changing over time because an increasing share of wealth is market-determined and easily liquified.
18,Movements in stock prices and real estate values affect household wealth and thus consumer spending.
19,"Changes in bond prices, stock prices, and exchange rates imply movements in the cost of capital and relative prices that influence investment and foreign trade; exchange rate movements also directly affect the prices of goods and services."
20,"Finally, asset prices can affect the value of collateral and thus the provision of credit, thereby influencing aggregate spending."
21,"In sum, asset prices influence the economy in complex and subtle ways over potentially extended periods of time."
22,"Finally, I think it fair to say that most central banks, faced with only a limited understanding of asset prices and their interactions with the full economy, engage in a form of risk management when dealing with market booms and busts."
23,"In part, they do this because any particular policy under consideration is never associated with a single forecast for the future paths of output and inflation but, instead, with a large set of possible scenarios with differing odds of coming to pass."
24,The boom was fueled by a sustained acceleration of productivity and an accompanying rise in corporate profits--fundamental changes that justified a major rise in equity prices.
25,"How high those prices should have risen was difficult to judge in real time because no one, not investors or central bankers, could be sure how fast profits would grow in the future."
26,"In the event, share prices increased more than was justified by improved fundamentals."
27,"But overly optimistic expectations for long-run earnings growth were not being driven by easy money, and I see no reason to believe that an extra 50 or even 100 basis points on the funds rate would have had much of a damping effect on investor beliefs in the potential profitability of emerging technologies."
28,"At present, we just do not have any empirical evidence of a link between interest rates and corporate equity valuation errors, as opposed to standard arbitrage effects."
29,"In general, we have a very poor understanding of the forces driving speculative bubbles and the role played by monetary policy."
30,"When the FOMC tightened in 1999 and early 2000, the trajectory of stock prices actually steepened, and equity premiums fell--perhaps because investors became more confident that good macroeconomic performance would be sustained."
31,"These episodes illustrate that risk premiums often move in mysterious ways, and we should not count on the ability of monetary policy to nudge them in the intended direction."
32,"For example, homeowners, who may have a less sophisticated understanding of the economy than professional investors, might mistakenly view a one-time rise in home prices--resulting, say, from a decline in interest rates--as evidence of a more persistent upward trend."
33,"If so, a monetary easing directed at stabilizing output and inflation might, conceivably, drive up real estate values by more than fundamentals alone would merit."
34,"Still, you would expect any mis-pricing from these sources to be reversed over time as interest rates returned to normal."
35,"More broadly, further research into the causal connections, if any, between monetary policy and bubbles would seem to be needed before we would know enough to be able to act on such linkages with much confidence.5 However, let us suppose a situation arises in which we are convinced that tighter policy would check the future expansion of an emerging speculative bubble."
36,"To explain this statement, I note again that extra action with near-certainty weakens the economy and reduces inflation before the bubble bursts in exchange for the chance of better macroeconomic performance in the future."
37,But it does not follow that conventional monetary policy cannot adequately deal with the threat of deflation by expeditiously mopping up after the bubble collapses.
38,"Rather than demonstrating the need for preemptive extra action to restrain emerging bubbles, these examples are object lessons concerning the wisdom of central banks' easing promptly and aggressively following market slumps when inflation is already low, so as to head off the threat posed by the zero lower bound."
39,"To see this, suppose that a speculative bubble has emerged and that a central bank, operating under a conventional strategy, has raised interest rates to keep the projected output gap closed and expected inflation at its desired level before the bubble bursts."
40,"In a low-inflation environment, such a step would be a bad idea if, after averaging across all the possible outcomes weighted by their likelihoods, the predicted moderation in the bubble from tighter policy is small."
41,"In this case, the expected weakening in real activity after the bubble bursts would be only marginally less severe under extra action, but inflation would be substantially lower because the extra action policy would have generated persistent economic slack beforehand."
42,"With inflation having already started out at a low level, such a decline would be extremely dangerous because the zero bound would now be much more likely to constrain monetary policy after the bubble bursts."
43,"But it is hard to see much of a cost in terms of diminished aggregate productivity, given the robust growth of output per hour over the past few years."
44,"Furthermore, even if tighter monetary policy would have damped the enthusiasm for dot-com firms in the late 1990s, higher interest rates would have also led to less housing and less business investment outside the high-tech sector, where valuations were not obviously out of line with fundamentals."
45,"And, as I have been pointing out, extra action would have idled some capital entirely for a time as economic activity fell short of its level consistent with stable inflation."
46,"The ECB article stressed that such identification is a tricky proposition because not all the fundamental factors driving asset prices are directly observable, as the productivity acceleration and stock market boom of the 1990s illustrate."
47,"For this reason, any judgment by a central bank that stocks or homes are overpriced is inherently highly uncertain."
