,sentence
0,"Main Menu Toggle Button Sections Search Toggle Button Search Search Submit Button Submit Aboutthe Fed Structure of the Federal Reserve System The Fed Explained Board Members Advisory Councils Federal Reserve Banks Federal Reserve Act Currency Board Meetings Board Votes Diversity & Inclusion Careers Do Business with the Board Holidays Observed - K.8 Ethics & Values Contact Requesting Information (FOIA) FAQs Economic Education Fed Financial Statements Innovation News & Events Press Releases Speeches Testimony Calendar Videos Photo Gallery Conferences MonetaryPolicy Federal Open Market Committee About the FOMC Meeting calendars and information Transcripts and other historical materials FAQs Monetary Policy Principles and Practice Notes Policy Implementation Policy Normalization Policy Tools Reports Monetary Policy Report Beige Book Federal Reserve Balance Sheet Developments Review of Monetary Policy Strategy, Tools, and Communications Overview Supervision& Regulation Institution Supervision Community & Regional Financial Institutions Large Financial Institutions Foreign Banking Organizations Financial Market Utilities Consumer Compliance Reports Federal Reserve Supervision and Regulation Report Reporting Forms All Reporting Forms Recent Updates Information collections under review Financial Statements Applications/structure change Federal Financial Institutions Examination Council (FFIEC) Municipal & Government Securities Supervision & Regulation Letters By Year By Topic Banking Applications & Legal Developments Application Process Board & Reserve Bank Action Enforcement Actions & Legal Developments Regulatory Resources Regulations Manuals Basel Regulatory Framework Volcker Rule Education, Training, and Assistance Banking & Data Structure Beneficial Ownership reports Large Commercial Banks U.S. Offices of Foreign Entities Financial Holding Companies Interstate Branching Securities Underwriting & Dealing Subsidiaries Minority Depository Institutions FinancialStability Financial Stability Assessments About Financial Stability Types of Financial System Vulnerabilities & Risks Monitoring Risk Across the Financial System Proactive Monitoring of Markets & Institutions Financial Stability & Stress Testing Financial Stability Coordination & Actions Responding to Financial System Emergencies Cooperation on Financial Stability Reports Financial Stability Report PaymentSystems Regulations & Statutes Regulation CC (Availability of Funds and Collection of Checks) Regulation II (Debit Card Interchange Fees and Routing) Regulation HH (Financial Market Utilities) Other Regulations and Statutes Payment Policies Federal Reserve's Key Policies for the Provision of Financial Services Overnight Overdrafts Payment System Risk Sponsorship for Priority Telecommunication Services Reserve Bank Payment Services & Data Automated Clearinghouse Services Check Services Currency and Coin Services Daylight Overdrafts and Fees FedNowâ„ Service Fedwire Funds Services Fedwire Securities Services Fiscal Agency Services National Settlement Service Financial Market Utilities & Infrastructures Supervision & Oversight of Financial Market Infrastructures Designated Financial Market Utilities International Standards for Financial Market Infrastructures Research, Committees, and Forums Payment Research Federal Reserve Payments Study (FRPS) Payments System Policy Advisory Committee Forums EconomicResearch Meet the Economists Working Papers and Notes Finance and Economics Discussion Series (FEDS) FEDS Notes International Finance Discussion Papers (IFDP) Data, Models and Tools Economic Research Data FRB/US Model Estimated Dynamic Optimization (EDO) Model Survey of Consumer Finances (SCF) Data Data Download Program Bank Assets and Liabilities Aggregate Reserves of Depository Institutions and the Monetary Base - H.3 Assets and Liabilities of Commercial Banks in the U.S. - H.8 Assets and Liabilities of U.S."
1,Corporations Dealer Financing Terms Senior Credit Officer Opinion Survey on Dealer Financing Terms Exchange Rates and International Data Foreign Exchange Rates - H.10/G.5 International Summary Statistics Securities Holdings and Transactions Statistics Reported by Banks and Other Financial Firms in the United States Structure and Share Data for U.S. Offices of Foreign Banks Financial Accounts Financial Accounts of the United States - Z.1 Household Finance Consumer Credit - G.19 Household Debt Service and Financial Obligations Ratios Mortgage Debt Outstanding Survey of Consumer Finances (SCF) Survey of Household Economics and Decisionmaking Industrial Activity Industrial Production and Capacity Utilization - G.17 Interest Rates Selected Interest Rates - H.15 Micro Data Reference Manual (MDRM) Micro and Macro Data Collections Money Stock and Reserve Balances Factors Affecting Reserve Balances - H.4.1 Money Stock Measures - H.6 Other Yield Curve Models and Data Consumers& Communities Regulations Community Reinvestment Act (CRA) All Regulations SupervisionÂ & Enforcement CA Letters Enforcement Actions Independent Foreclosure Review Community Development Housing and Neighborhood Revitalization Small Business and Entrepreneurship Employment and Workforce Development Community Development Finance Rural Community and Economic Development Conferences ResearchÂ & Analysis Survey of Household Economics and Decisionmaking Research Publications & Data Analysis Community Advisory Council Consumer Resources Mortgage and Foreclosure Resources Federal Reserve Community Development Resources Home News & Events Speeches Speech PDF Please enable JavaScript if it is disabled in your browser or access the information through the links provided below.
2,"August 27, 2020 New Economic Challenges and the Fed's Monetary Policy Review Chair Jerome H. Powell At ""Navigating the Decade Ahead: Implications for Monetary Policy,"" an economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming (via webcast) Share Watch Live Thank you, Esther, for that introduction, and good morning."
3,"For the past year and a half, my colleagues and I on the Federal Open Market Committee (FOMC) have been conducting the first-ever public review of our monetary policy framework.1 Earlier today we released a revised Statement on Longer-Run Goals and Monetary Policy Strategy, a document that lays out our goals, articulates our framework for monetary policy, and serves as the foundation for our policy actions.2 Today I will discuss our review, the changes in the economy that motivated us to undertake it, and our revised statement, which encapsulates the main conclusions of the review."
4,"Evolution of the Fed's Monetary Policy Framework We began this public review in early 2019 to assess the monetary policy strategy, tools, and communications that would best foster achievement of our congressionally assigned goals of maximum employment and price stability over the years ahead in service to the American people."
5,"Forty years ago, the biggest problem our economy faced was high and rising inflation.3 The Great Inflation demanded a clear focus on restoring the credibility of the FOMC's commitment to price stability."
6,"Chair Paul Volcker brought that focus to bear, and the ""Volcker disinflation,"" with the continuing stewardship of Alan Greenspan, led to the stabilization of inflation and inflation expectations in the 1990s at around 2 percent."
7,This new era brought new challenges to the conduct of monetary policy.
8,"Before the Great Moderation, expansions typically ended in overheating and rising inflation."
9,"Since then, prior to the current pandemic-induced downturn, a series of historically long expansions had been more likely to end with episodes of financial instability, prompting essential efforts to substantially increase the strength and resilience of the financial system.4 By the early 2000s, many central banks around the world had adopted a monetary policy framework known as inflation targeting.5 Although the precise features of inflation targeting differed from country to country, the core framework always articulated an inflation goal as a primary objective of monetary policy."
10,Inflation targeting was also associated with increased communication and transparency designed to clarify the central bank's policy intentions.
11,"Inflation-targeting central banks generally do not focus solely on inflation: Those with ""flexible"" inflation targets take into account economic stabilization in addition to their inflation objective."
12,"Under Ben Bernanke's leadership, the Federal Reserve adopted many of the features associated with flexible inflation targeting.6 We made great advances in transparency and communications, with the initiation of quarterly press conferences and the Summary of Economic Projections (SEP), which comprises the individual economic forecasts of FOMC participants."
13,"During that time, thenâ€“Board Vice Chair Janet Yellen led an effort on behalf of the FOMC to codify the Committee's approach to monetary policy."
14,"In January 2012, the Committee issued its first Statement on Longer-Run Goals and Monetary Policy Strategy, which we often refer to as the consensus statement."
15,"A central part of this statement was the articulation of a longer-run inflation goal of 2 percent.7 Because the structure of the labor market is strongly influenced by nonmonetary factors that can change over time, the Committee did not set a numerical objective for maximum employment."
16,"The 2012 statement was a significant milestone, reflecting lessons learned from fighting high inflation as well as from experience around the world with flexible inflation targeting."
17,"Since then, our understanding of the economy has evolved in ways that are central to monetary policy."
18,"Of course, the conduct of monetary policy has also evolved."
19,A key purpose of our review has been to take stock of the lessons learned over this period and identify any further changes in our monetary policy framework that could enhance our ability to achieve our maximum-employment and price-stability objectives in the years ahead.9 Our evolving understanding of four key economic developments motivated our review.
20,"First, assessments of the potential, or longer-run, growth rate of the economy have declined."
21,"For example, since January 2012, the median estimate of potential growth from FOMC participants has fallen from 2.5 percent to 1.8 percent (see figure 1)."
22,"Some slowing in growth relative to earlier decades was to be expected, reflecting slowing population growth and the aging of the population."
23,"More troubling has been the decline in productivity growth, which is the primary driver of improving living standards over time.10 Second, the general level of interest rates has fallen both here in the United States and around the world."
24,"Estimates of the neutral federal funds rate, which is the rate consistent with the economy operating at full strength and with stable inflation, have fallen substantially, in large part reflecting a fall in the equilibrium real interest rate, or ""r-star."""
25,"This rate is not affected by monetary policy but instead is driven by fundamental factors in the economy, including demographics and productivity growthâ€”the same factors that drive potential economic growth.11 The median estimate from FOMC participants of the neutral federal funds rate has fallen by nearly half since early 2012, from 4.25 percent to 2.5 percent (see figure 2)."
26,This decline in assessments of the neutral federal funds rate has profound implications for monetary policy.
27,"With interest rates generally running closer to their effective lower bound even in good times, the Fed has less scope to support the economy during an economic downturn by simply cutting the federal funds rate.12 The result can be worse economic outcomes in terms of both employment and price stability, with the costs of such outcomes likely falling hardest on those least able to bear them."
