,sentence
0,"In my contribution to the discussion today, I want to examine a particular example of the lasting effect that Hayek has had on economic thinkingâ€”one pertaining to the importance of freely determined prices for producing efficient economic outcomesâ€”and consider how Hayek's insights in this area can, in fact, tie together the various strands of his larger philosophy."
1,"His work in this area included the theory of the business cycle that was part of the thinking of the Austrian school of economics.4 It also included Hayek's studies of the feasibility and implications of private-sector currency issuanceâ€”contributions that have informed modern-day analyses of the repercussions of electronic money.5 Today, however, I will be concerned instead with still another key contribution that Hayek made to economic analysis: understanding the operation of the price system."
2,His conclusion is that only by far-reaching decentralization in a market system with competition and free price-fixing is it possible to make full use of knowledge and information.
3,"Williamson cited Hayek's 1945 paper, along with Adam Smith's The Wealth of Nations from the eighteenth century, as forming the core of a ""venerated tradition in economics"" of studying the notion of ""spontaneous order"" arising from a freely operating market system.9 How does Hayek's case for the price system fit in alongside the other work that Williamson mentioned?"
4,"As Paul Samuelsonâ€”yet another Nobel Prize winnerâ€”had occasion to note, the argument for the price system that Hayek articulated in 1945 was complementary with, but distinct from, the argument that Adam Smith espoused in The Wealth of Nations.10 Smith focused on how market mechanisms guide producers toward satisfying consumers' wants."
5,"Hayek instead stressed how the market mechanism makes, as he put it, ""fuller use...of the existing knowledge"" than a directed economy is able to do.11 Hayek emphasized that the signals transmitted by the various individual prices in the economy could, together, serve as a useful means of guiding overall resource allocation."
6,"The reason is that prices convey messages to consumers and producers even when the information that drives prices is not aggregated or directly observed.12 For example, a large increase or decrease in the price of gasoline conveys information that influences consumer behavior and that also affects the behavior of energy producers, even when neither of these sets of market participants are aware of the precise factor initiating the price change."
7,"As a related matter, Hayek recognized that prices transmit information even in a situation in which much of that information is not explicitly disclosed by one market participant to another, or even consciously articulable by any market participant at all."
8,"Hayek believed that all of us ""know"" many things that we cannot articulate but that we nevertheless act on in practical situations, and the price system can therefore aggregate and transmit that knowledge which we could not otherwise convey."
9,"To Hayek, it was totally unrealistic to expect an economy to operate efficiently if it was based on the ""direction of the whole economic system according to one unified plan,"" as such a plan lacked the valuable information embedded in market-determined prices.13 The economist Gregory Mankiw has elegantly summed up Hayek's insight here: ""Information is very, very dispersed among the population."
10,"The flip side of Hayek's analysis was that, while there are insurmountable obstacles to economic efficiency via a central plan, an efficient economy may still be obtainable by letting the price system work."
11,"It is, instead, sufficient for the proper operation of the price mechanism that the relevant information be embodied implicitly in the economy's multiplicity of prices of individual goods and factors of production."
12,"This information is recorded in such prices because they respond to the behavior of individual buyers and sellers in the economy.16 Consequently, as longtime Hayek scholar Gerald O'Driscoll has observed: ""What particularly recommends the price system to Hayek is the 'economy of knowledge' with which it operates."
13,"For example, Hayek's analysis has proved valuable in the development of standard microeconomics, since his contribution deepened economists' understanding of the working of the price system and promoted further investigation of the question of how decentralized information is transmitted by markets.18 Hayek's emphasis on prices as processors of information has also had applications to international trade theory.19 And in macroeconomics and monetary theory, Milton Friedman's Nobel lecture, published in 1977, cited Hayek's 1945 paper when arguing that, because it disrupted the signals arising from relative-price movements, inflation both lowered the efficiency of the economy and led output to deviate from its natural (or full-employment) level.20 Hayek likened the price mechanism to a ""system of telecommunications,"" and Friedman's description of inflation as a form of ""static"" interrupting price signals was in keeping with this analogy.21 Hayek's ideas on prices influenced Joseph Stiglitz in his analysis of markets with asymmetric information and Roger Myerson's insights on mechanism design theory."
14,"On the contrary, one of the reasons why the paper has been so influential is that it remains a benchmark reference for understanding the case for relying primarily on a market system, based on freely determined prices, for determining the production and allocation of resources."
15,"The paper has therefore set a high bar for preempting the price system or for other interventions in the market: When economists point to cases in which market mechanisms can be improved on by regulation or other public-sector intervention, or to instances in which price signals do not appear to be operating effectively, they need to identify a specific market failure as the source of the inefficiency."
16,"Essentially, they need to establish instances in which the price system can be improved on as a means of processing information.23 Even Hayek acknowledged that the price mechanism works within an ecosystem of laws and social institutions, and those may evolve in ways that interfere with the signaling of prices."
17,"Spreads on risky private-sector debt reached very low levels, and damaging spillovers to the nonfinancial sector occurred in the form of unduly high real estate prices and excessive leverage by borrowers in the housing market."
18,"By creating appropriate incentives and rules, they should also encourage financial markets to price risk more appropriately than they did in the years leading up to the crisisâ€”for example, by reducing the danger of investor complacency regarding the riskiness of their investments and the possibility of adverse scenarios."
19,"If we follow Hayek and regard the price system as like a telecommunications network, and then apply that metaphor to the financial sector, we can think of the institutional and regulatory changes to the financial system over the past decade as designed to improve the reliability and signal quality of the transmissions.25 How does all of this relate to the larger questions of philosophy and social order to which Hayek devoted much of his thought?"
20,Hayek's insights about the price system depend importantly on his theory of knowledge: The information that is available to us as a society is the aggregate of the highly dispersed and sometimes inarticulate knowledge possessed by each of us individually.
21,"Thus, even if some technological way to aggregate information other than through prices could be invented, it would lead to less efficient, less humane outcomes because it would be based on less total human information."
22,"The price mechanism, then, is not just a matter of economicsâ€”it is a matter of social and, indeed, civilizational progress."
23,Economic Outlook and Monetary Policy Now I would like to turn to the current economic scene and this week's FOMC decision.
24,"Economic conditions are currently very close to meeting ourâ€”that is, the FOMC'sâ€”dual-mandate objectives of maximum sustainable employment and price stability."
25,"The unemployment rate has been running near a 50-year low, and the proportion of the population currently employed is close to its highest level in a decade."
26,"Although the pace of job gains has slowed this year, we expected some deceleration because of how low the unemployment rate has fallen."
27,A strong job market and high employment have in turn supported economic growth.
28,"Personal consumption expenditures (PCE) grew 2-1/2 percent over the past four quarters, a healthy pace by historical standards and a major contributor to overall growth since consumption represents over two-thirds of economic activity."
29,"Because the labor market remains tight, I expect wage growth to pick up, which would then in turn underpin further strength in consumption and overall growth."
30,"For the other half of our mandate, inflation as measured by the PCE index was 1.3 percent over the 12 months ending in September, while core PCE inflation, which excludes increases in the prices of food and energy, was 1.7 percent."
31,"While these readings are below our 2 percent inflation objective, they are fairly close, and my assessment is that inflation will inch toward our objective in the coming months."
32,I am heartened by a recent pickup in labor productivity growth.
