Unnamed: 0,sentence,label,score
0,Economic growth has been proceeding at a rate that is close to double what was generally viewed as the long-term trend when this expansion began.,LABEL_1,0.9962788224220276
1,"Inflation remains modest, despite a decline in the unemployment rate to levels that many would have expected to trigger a significant acceleration in prices.",LABEL_0,0.7492113709449768
2,"The fundamental question today, it seems to me, is whether the current set of macroeconomic conditions--specifically, the growth of output and the unemployment rate--is sustainable--that is, consistent with stable, low inflation.",LABEL_1,0.981012225151062
3,"Otherwise, the challenge for monetary policy is to guide the economy to a sustainable path while preserving low inflation.",LABEL_2,0.971387505531311
4,"This challenge is heightened by the unusual degree of uncertainty about the limits of capacity and potential growth, related in part to ongoing structural changes in the economy.",LABEL_1,0.510836124420166
5,"Concerns have also been raised about potential imbalances in some sectors, for example, about the sustainability of equity prices, the personal saving rate, the current account deficit, and debt burdens.",LABEL_2,0.9920797944068909
6,These concerns about sustainability and the challenges they pose for monetary policy are the focus of my remarks this afternoon.,LABEL_1,0.9891582727432251
7,"Varieties of Landings In figure 1, I present four plausible scenarios for future growth.",LABEL_2,0.9932740926742554
8,"During the expansion phase, at least for a period, growth in production typically exceeds the growth in capacity, so that the gap between actual and potential output is closed gradually.",LABEL_2,0.9997764229774475
9,"For the moment, I shall focus exclusively on the concerns about sustainability related to the balance between aggregate supply and demand.",LABEL_1,0.5660126209259033
10,"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.",LABEL_2,0.9997218251228333
11,"A Soft Landing Figure 1.A depicts a soft landing scenario, the graceful transition from the initial output gap to a sustainable growth path at full employment.",LABEL_2,0.9998229146003723
12,"A soft landing occurs if, as the level of output approaches potential, the growth of actual output slows to the growth of potential output just as actual output reaches potential.",LABEL_1,0.5723591446876526
13,Steady inflation is generally one of the signs of sustainability.,LABEL_2,0.9983879327774048
14,"A simple model of inflation dynamics is that changes in inflation are induced by excess aggregate demand or supply, as reflected in the output gap.",LABEL_2,0.8177343010902405
15,"When actual output rises above potential, according to this model, the resulting excess aggregate demand leads to rising inflation.",LABEL_1,0.9961487054824829
16,"In the short run, supply shocks--including both relative price shocks and changes in trend productivity--can also affect inflation dynamics.",LABEL_1,0.9994158744812012
17,"Ultimately, inflation dynamics will be driven by the output gap.",LABEL_2,0.9997833371162415
18,"Such a slowdown in growth is desirable because the alternative is higher inflation--indeed, continually rising inflation.",LABEL_2,0.9985384941101074
19,"Looking back, most recessions have resulted from attempts by the policy authorities--yes, the Fed--to reverse increases in inflation generated by overheating.",LABEL_1,0.9994269609451294
20,A Reverse Soft Landing Figure 1.B depicts an alternative scenario in which the above-trend growth in the expansion phase has moved the economy beyond the point of its sustainable capacity to produce.,LABEL_1,0.9965839385986328
