Unnamed: 0,sentence,label,score
0,"But first, I would like to share with you some thoughts about the outlook for the U.S. economy and monetary policy.1 In its 11th year of a record expansion, the U.S. economy is in a good place.",LABEL_2,0.8115329146385193
1,"The labor market remains strong, economic activity is increasing at a moderate pace, and the Federal Open Market Committee's (FOMC) baseline outlook is for a continuation of this performance in 2020.2 At present, personal consumption expenditures, or PCE, price inflation is running somewhat below the Committee's 2 percent objective, but we project that, under appropriate monetary policy, inflation will rise gradually to our symmetric 2 percent objective.",LABEL_1,0.8702403903007507
2,"Although the unemployment rate is around a 50-year low, wages are rising broadly in line with productivity growth and underlying inflation.",LABEL_1,0.7860584259033203
3,We are not seeing any evidence to date that a strong labor market is putting excessive cost-push pressure on price inflation.,LABEL_0,0.9977929592132568
4,"Although the fundamentals supporting household consumption remain solid, over 2019, sluggish growth abroad and global developments weighed on investment, exports, and manufacturing in the United States.",LABEL_2,0.9993699193000793
5,"Coming into this year, indications suggested that headwinds to global growth had begun to abate, and uncertainties around trade policy had diminished.",LABEL_0,0.9970024228096008
6,"In particular, we are closely monitoring the emergence of the coronavirus, which is likely to have a noticeable impact on Chinese growth, at least in the first quarter of this year.",LABEL_2,0.9993634819984436
7,"In addition, U.S. inflation remains muted.",LABEL_0,0.9937165379524231
8,"And inflation expectationsâ€”those measured by surveys, market prices, and econometric modelsâ€”reside at the low end of a range I consider consistent with our price-stability mandate.",LABEL_0,0.9767010807991028
9,"Over the course of 2019, the FOMC undertook a shift in the stance of monetary policy to offset some significant global growth headwinds and global disinflationary pressures.",LABEL_2,0.9847432374954224
10,"Monetary policy is in a good place and should continue to support sustained growth, a strong labor market, and inflation returning to our symmetric 2 percent objective.",LABEL_0,0.9881002902984619
11,"As long as incoming information about the economy remains broadly consistent with this outlook, the current stance of monetary policy likely will remain appropriate.",LABEL_1,0.9350062608718872
12,"That said, monetary policy is not on a preset course.",LABEL_2,0.9984930753707886
13,"And as reserves reach durably ample levels, we intend to slow the pace of purchases such that our balance sheet grows in line with trend demand for our liabilities.",LABEL_2,0.9997950196266174
14,"Let me emphasize that we stand ready to adjust the details of this program as appropriate and in line with our goal, which is to keep the federal funds rate in the target range desired by the FOMC, and that these operations are technical measures not intended to change the stance of monetary policy.",LABEL_1,0.793792188167572
15,"Finally, allow me to offer a few words about the FOMC's review of the monetary policy strategy, tools, and communication practices that we commenced in 2019.",LABEL_2,0.9541313052177429
16,We are drawing on these insights as we assess how best to achieve and maintain maximum employment and price stability.,LABEL_2,0.9998410940170288
