Unnamed: 0,sentence,label,score
0,"In a democratic society like our own, the ultimate purpose of the central bank is to promote the public good by pursuing a course of monetary policy that fosters economic prosperity and social welfare.",LABEL_1,0.5715770125389099
1,"According to this legislation, the Federal Reserve's mandate is ""to promote effectively the goals of maximum employment, stable prices, and moderate long-term interest rates.""",LABEL_2,0.8711286187171936
2,"Because long-term interest rates can remain low only in a stable macroeconomic environment, these goals are often referred to as the dual mandate; that is, the Federal Reserve seeks to promote the two coequal objectives of maximum employment and price stability.",LABEL_2,0.9424861073493958
3,"Now with respect to the first objective, the rationale for maximizing employment is fairly obvious.",LABEL_2,0.9778327345848083
4,"The alternative situation--high unemployment--is associated with human misery, including lower living standards and increases in poverty as well as social pathologies such as loss of self-esteem, a higher incidence of divorce, increased rates of violent crime, and even suicide.",LABEL_0,0.9954968690872192
5,"Furthermore, when unemployment is high, the economy has idle workers along with a reduced level of production and household income.",LABEL_0,0.9479888081550598
6,"And when factories are idle, firms generally choose not to invest in additional plant and equipment, which in turn has adverse consequences for subsequent labor productivity and economic growth.",LABEL_0,0.9979420304298401
7,"All these symptoms of high unemployment were observed during the economic devastation of the Great Depression during the 1930s, which is now just a fading memory.",LABEL_0,0.7654884457588196
8,"With respect to the second objective--that of price stability--there is now a broad consensus among policymakers, academic economists, and the general public in support of the principle that maintaining a low and stable inflation rate provides lasting benefits to the economy.",LABEL_0,0.9678410291671753
9,"In particular, low and predictable inflation promotes social welfare by simplifying the savings and retirement planning of individual households and by facilitating firms' production and investment decisions.",LABEL_1,0.9984086155891418
10,"Furthermore, an environment of overall price stability contributes to economic efficiency by reducing the variability of relative prices and by minimizing the distortions that arise because the tax system is not completely indexed to inflation.",LABEL_2,0.6698102355003357
11,Price stability also has important benefits in terms of equity.,LABEL_2,0.9980782270431519
12,"For example, an elevated inflation rate typically increases poverty because the poorest members of society do not have access to the sorts of financial instruments that would help protect them against inflation.",LABEL_2,0.9840162992477417
13,"By the way, these are not just theoretical arguments: The experience of the United States in the 1970s, and that of many other economies across a wide range of times and circumstances, demonstrates that high and unstable inflation generally detracts from the standard of living, hinders the process of capital formation and economic growth, and in some countries has even led to political and social instability.",LABEL_1,0.9969960451126099
14,Such episodes also show that a full recovery from the adverse effects of severe inflation can take many years.,LABEL_1,0.9983008503913879
15,"Of course, the Federal Reserve doesn't take a literal approach to the goal of maximum employment.",LABEL_1,0.9472130537033081
16,"Furthermore, every modern economy has a certain level of ""frictional"" unemployment, which reflects the transitory periods over which individuals remain voluntarily unemployed while searching for a new job.",LABEL_2,0.9549285173416138
17,"Partly for these reasons, Federal Reserve officials and other policymakers often refer to this aspect of the dual mandate as the goal of maximum sustainable employment, and they place particular emphasis on the word sustainable.",LABEL_2,0.9545450806617737
18,"Similarly, in promoting the goal of price stability, policymakers have generally not taken this goal literally--by aiming at complete constancy of the price level--but instead have pursued policies aimed at maintaining a low and predictable inflation rate.",LABEL_2,0.7043370008468628
19,"In particular, at a congressional hearing in mid-1988, then-Chairman Greenspan defined price stability as an environment in which households and businesses ""can safely ignore the possibility of sustained, generalized price increases or decreases"" in making their saving and investment decisions.2 Now let's turn to the practical challenges in conducting monetary policy to achieve the dual mandate.",LABEL_2,0.9911184906959534
20,"A central element in successful monetary policy is a strong commitment to a nominal anchor, that is, the use of monetary policy actions and statements to maintain low and stable inflation.",LABEL_2,0.9913968443870544
21,"During the 1980s and 1990s, the Federal Reserve succeeded in bringing inflation down from double-digit levels to the average rate of about 2 percent that has prevailed over the past decade.",LABEL_1,0.9865135550498962
22,"Moreover, when some measures of inflation were close to 1 percent in 2003, the Federal Open Market Committee's official statements specifically noted that any further substantial decline in inflation would be unwelcome, mainly because of the risk that a falling price level (which has not occurred since the Great Depression) could cause a significant disruption to economic activity and employment.",LABEL_2,0.9989272952079773
23,"Not only has the inflation rate remained within a reasonably narrow range, but inflation expectations, as measured by spreads between inflation-indexed and non-inflation-indexed Treasury securities and by surveys of professional forecasters and the general public, have also been well anchored.",LABEL_0,0.9960635304450989
24,"Maintaining price stability is also essential for achieving the other element of the dual mandate, namely, maximum sustainable employment.",LABEL_1,0.6167410612106323
25,"First, as I have already emphasized, a low and predictable inflation rate plays a crucial role in facilitating long-term growth in employment and labor productivity.",LABEL_2,0.8962090611457825
26,"Second, although the economy will inevitably be buffeted by various shocks, in the majority of circumstances the appropriate monetary policy response to stabilize inflation also helps to stabilize employment and output fluctuations around their maximum sustainable levels.",LABEL_1,0.9986721277236938
