Unnamed: 0,sentence,label,score
0,"My plan is to start with my outlook for the U.S. economy in 2022, and then describe what I consider the appropriate path of monetary policy to keep the economy on a healthy and sustainable course.1 But, before I get into that discussion, let me comment on what I think is on everyone's minds today, Russia's attack on Ukraine.",LABEL_2,0.9983731508255005
1,"Turning to my outlook for the economy, my greatest concern is continued elevated inflation.",LABEL_1,0.9994218349456787
2,"Inflation is too high, and I think concerted action is needed to rein it in.",LABEL_1,0.9994753003120422
3,"The Federal Open Market Committee (FOMC) has multiple tools to tighten monetary policy, and I will go into some detail about how I believe the Fed should approach increasing the target range for the federal funds rate and reducing the size of the balance sheet.",LABEL_1,0.9984186887741089
4,But let me start with the outlook for economic activity.,LABEL_2,0.9998278617858887
5,"I expect the economy to continue expanding at a healthy rate this year, slower than in 2021 but still at a solid pace that will keep employment growing strongly.",LABEL_1,0.9829455614089966
6,"While there are some signs that the effects of the Omicron variant have dampened economic growth in the last month or two, it does not appear to have affected hiring, given the healthy jobs report for January.",LABEL_0,0.8182582259178162
7,The combination of strong consumer demand and supply constraints has produced very high inflation.,LABEL_1,0.999117910861969
8,"The consumer price index (CPI) was up 7.5 percent for the 12 months through January, the highest yearly rate in 40 years.",LABEL_1,0.9993242025375366
9,"With appropriate monetary policy, and the expected easing in supply constraints, I am hopeful inflation will move down over the course of this year, even with the recent geopolitical developments.",LABEL_1,0.998862624168396
10,"Nevertheless, the path of inflation is the biggest risk to my outlook.",LABEL_1,0.9994908571243286
11,"As we move through this year, I can't emphasize enough how much this outlook, and the appropriate stance of monetary policy, will be influenced by the data that we see about the performance of the economy.",LABEL_2,0.9997720122337341
12,"With that in hand, I will evaluate the outlook with respect to the Fed's dual mandate in determining the appropriate setting for monetary policy.",LABEL_2,0.9998199343681335
13,The Labor Market Let's start with where the economy stands with respect to maximum employment.,LABEL_2,0.9996067881584167
14,I now believe we have achieved the FOMC's objective of maximum employment.,LABEL_1,0.9190214276313782
15,"These revisions helped explain why we saw such large and steady declines over the year in the unemployment rate, which fell from 6.4 percent in January 2021 to 4 percent in January 2022, which happens to be the median of FOMC participants' December estimates of the longer-run unemployment rate.",LABEL_2,0.9846056699752808
16,"Accounting for retirees leaving the workforce, I estimate that employment is close to the levels of February 2020, right before the pandemic shock hit the economy and when the target range for the federal funds rate was much higher than the current target range.",LABEL_1,0.5547519326210022
17,"The January job numbers were just one monthly report, but one reason I have the confidence to declare that maximum employment has been reached is the message January sent about the durability of the continuing recovery.",LABEL_1,0.9973128437995911
18,"It has been hazardous to predict much about the economic effects of the pandemic more than a month or two out, but I'm comfortable saying we are at maximum employment in part because of the evidence that the labor market is continuing to strengthen.",LABEL_1,0.996800422668457
19,"Labor force participation isn't growing as much as one would expect with the hot job market, but apparently it's growing enough to keep the job creation machine humming.",LABEL_2,0.9943495392799377
20,Another factor that signals we are at maximum employment is the continued rise in measures of labor compensation.,LABEL_0,0.8542969226837158
