Year,Date,ItemNameCommon,ItemName,Url
1996,December 17 Meeting - 1996,Beige Book: ,HTML,/fomc/beigebook/1996/19961204/default.htm
1996,November 13 Meeting - 1996,Beige Book: ,HTML,/fomc/beigebook/1996/19961030/default.htm
1996,September 24 Meeting - 1996,Beige Book: ,HTML,
1996,August 20 Meeting - 1996,Beige Book: ,HTML,
1996,July 2-3 Meeting - 1996,Beige Book: ,HTML,
1996,May 21 Meeting - 1996,Beige Book: ,HTML,
1996,March 26 Meeting - 1996,Beige Book: ,HTML,
1996,January 30-31 Meeting - 1996,Beige Book: ,HTML,
1997,December 16 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19971203/default.htm
1997,November 12 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19971029/default.htm
1997,September 30 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19970917/default.htm
1997,August 19 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19970806/default.htm
1997,July 1-2 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19970618/default.htm
1997,May 20 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19970507/default.htm
1997,March 25 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19970312/default.htm
1997,February 4-5 Meeting - 1997,Beige Book: ,HTML,/fomc/beigebook/1997/19970122/default.htm
1998,December 22 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19981209/default.htm
1998,November 17 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19981104/default.htm
1998,September 29 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19980916/default.htm
1998,August 18 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19980805/default.htm
1998,June 30-July 1 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19980617/default.htm
1998,May 19 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19980506/default.htm
1998,March 31 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19980318/default.htm
1998,February 3-4 Meeting - 1998,Beige Book: ,HTML,/fomc/beigebook/1998/19980121/default.htm
1999,December 21 Meeting - 1999,Beige Book: ,HTML,/fomc/beigebook/1999/19991208/default.htm
1999,November 16 Meeting - 1999,Beige Book: ,HTML,/fomc/beigebook/1999/19991103/default.htm
1999,October 5 Meeting - 1999,Beige Book: ,HTML,/fomc/beigebook/1999/19990922/default.htm
1999,August 24 Meeting - 1999,Beige Book: ,HTML,/fomc/beigebook/1999/19990811/default.htm
