,speaker,sentence
0,CHAIRMAN BERNANKE,Good afternoon.
1,CHAIRMAN BERNANKE,It’s been about three and a half years since the economic recovery began.
2,CHAIRMAN BERNANKE,The economy continues to expand at a moderate pace.
3,CHAIRMAN BERNANKE,"Unfortunately, however, unemployment remains high."
4,CHAIRMAN BERNANKE,"About 5 million people—more than 40 percent of the unemployed—have been without a job for six months or more, and millions more who say they would like full-time work have been able to find only part-time employment or have stopped looking entirely."
5,CHAIRMAN BERNANKE,The conditions now prevailing in the job market represent an enormous waste of human and economic potential.
6,CHAIRMAN BERNANKE,"A return to broad-based prosperity will require sustained improvement in the job market, which in turn requires stronger economic growth."
7,CHAIRMAN BERNANKE,"Meanwhile, apart from some temporary fluctuations that largely reflected swings in energy prices, inflation has remained tame and appears likely to run at or below the Federal Open Market Committee’s (FOMC’s) 2 percent objective in coming quarters and over the longer term."
8,CHAIRMAN BERNANKE,"Against a macroeconomic backdrop that includes both high unemployment and subdued inflation, the FOMC will maintain its highly accommodative policy."
9,CHAIRMAN BERNANKE,Today the Committee took several steps.
10,CHAIRMAN BERNANKE,"First, it decided to continue its purchases of agency mortgage-backed securities (MBS), initiated at the September meeting, at a pace of $40 billion per month."
11,CHAIRMAN BERNANKE,"Second, the Committee decided to purchase longer-term Treasury securities, initially at a pace of $45 billion per month, after its current program to extend the average maturity of its holdings is completed at the end of the year."
12,CHAIRMAN BERNANKE,"In continuing its asset purchases, the Committee seeks to maintain downward pressure on longer-term interest rates and to keep financial conditions accommodative, thereby promoting hiring and economic growth while ensuring that inflation over time is close to our 2 percent objective."
13,CHAIRMAN BERNANKE,"Finally, the Committee today also modified its guidance about future rate policy to provide more information to the public about how it anticipates it will react to evolving economic conditions."
14,CHAIRMAN BERNANKE,I will return to this change in our communication after discussing our decision to continue asset purchases.
15,CHAIRMAN BERNANKE,"Although the Committee’s announcement today specified the initial monthly pace and composition of asset purchases, it did not give specific dates at which the program may be modified or ended."
16,CHAIRMAN BERNANKE,"Instead, the pattern of future asset purchases will depend on the Committee’s evaluation of incoming information, in two respects."
17,CHAIRMAN BERNANKE,"First, we expect to continue asset purchases until we see a substantial improvement in the outlook for the labor market, in a context of price stability."
18,CHAIRMAN BERNANKE,"In assessing the extent of progress, the Committee will be evaluating a range of labor market indicators, including the unemployment rate, payroll employment, hours worked, and labor force participation, among others."
19,CHAIRMAN BERNANKE,"Because increases in demand and production are normally precursors to improvements in labor market conditions, we will also be looking carefully at the pace of economic activity more broadly."
20,CHAIRMAN BERNANKE,"Second, the Committee will be monitoring economic and financial developments to assess both the efficacy and possible drawbacks of its asset purchase program."
21,CHAIRMAN BERNANKE,"The Federal Reserve’s asset purchases over the past few years have provided important support to the economy, for example, by helping to keep mortgage rates historically low."
22,CHAIRMAN BERNANKE,"The Committee expects this policy tool to continue to be effective and the costs and risks to remain manageable, but as the program continues, we will be regularly updating those assessments."
23,CHAIRMAN BERNANKE,"If future evidence suggests that the program’s effectiveness has declined, or if potential unintended side effects or risks become apparent as the balance sheet grows, we will modify the program as December 12, 2012 Chairman Bernanke’s Press Conference appropriate."
24,CHAIRMAN BERNANKE,"More generally, the Committee intends to be flexible in varying the pace of FINAL securities purchases in response to information bearing on the outlook or on the perceived benefits and costs of the program."
25,CHAIRMAN BERNANKE,"Unlike the explicitly quantitative criteria associated with the Committee’s forward guidance about the federal funds rate, which I will discuss in a moment, the criteria the Committee will use to make decisions about the pace and extent of its asset purchase program are qualitative; in particular, continuation of asset purchases is tied to our seeing substantial improvement in the outlook for the labor market."
26,CHAIRMAN BERNANKE,"Because we expect to learn more over time about the efficacy and potential costs of asset purchases in the current economic context, we believe that qualitative guidance is more appropriate at this time."
27,CHAIRMAN BERNANKE,"In today’s statement, the Committee also recast its forward guidance to clarify how it expects its target for the federal funds rate to depend on future economic developments."
28,CHAIRMAN BERNANKE,"Specifically, the Committee anticipates that exceptionally low levels for the federal funds rate are likely to be warranted “at least as long as the unemployment rate remains above 6½ percent, inflation over the period between one and two years ahead is projected to be no more than half a percentage point above the Committee’s December 12, 2012 Chairman Bernanke’s Press Conference household and business confidence and spending."
29,CHAIRMAN BERNANKE,"By tying future monetary policy more FINAL explicitly to economic conditions, this formulation of our policy guidance should also make monetary policy more transparent and predictable to the public."
