,speaker,sentence
0,CHAIRMAN BERNANKE,Good afternoon.
1,CHAIRMAN BERNANKE,The Federal Open Market Committee concluded a two-day meeting earlier today.
2,CHAIRMAN BERNANKE,"As always, my colleagues and I reviewed recent economic and financial developments and discussed the economic outlook."
3,CHAIRMAN BERNANKE,The data since our January meeting have been generally consistent with our expectation that the fourth-quarter pause in the recovery would prove temporary and that moderate economic growth would resume.
4,CHAIRMAN BERNANKE,"Spending by households and businesses has continued to expand, and the housing sector has seen further gains."
5,CHAIRMAN BERNANKE,"The jobs market has also shown signs of improvement over the past six months or so: Private payrolls are growing more quickly, total hours of work have increased, the rate of filings of new claims for unemployment insurance has fallen, and the unemployment rate has continued to tick down."
6,CHAIRMAN BERNANKE,"However, at 7.7 percent, the unemployment rate remains elevated."
7,CHAIRMAN BERNANKE,The Committee also remains concerned that restrictive fiscal policies may slow economic growth and job creation in coming months.
8,CHAIRMAN BERNANKE,"We continue to monitor the recent increases in gasoline prices, which appear to be due mostly to passing factors such as refinery shutdowns for maintenance."
9,CHAIRMAN BERNANKE,"Apart from temporary variations in energy prices, inflation is running somewhat below the Committee’s longer-run objective of 2 percent."
10,CHAIRMAN BERNANKE,"Importantly, longer-term inflation expectations remain stable."
11,CHAIRMAN BERNANKE,"Overall, still-high unemployment, in combination with relatively low inflation, underscores the need for policies that will support progress towards maximum employment in a context of price stability."
12,CHAIRMAN BERNANKE,"In conjunction with this meeting, the 19 participants in our policy discussion—the 7 Board members and 12 Reserve Bank presidents—submitted individual economic projections."
13,CHAIRMAN BERNANKE,"March 20, 2013 As always, each participant’s projections are conditioned on his or her own view of appropriate Chairman Bernanke’s Press Conference FINAL monetary policy."
14,CHAIRMAN BERNANKE,"To summarize, the participants’ projections for economic growth have a central tendency of 2.3 to 2.8 percent for 2013, rising to 2.9 to 3.7 percent in 2015."
15,CHAIRMAN BERNANKE,"The central tendency of their projections of the unemployment rate for the fourth quarter of this year is 7.3 to 7.5 percent, declining to 6.0 to 6.5 percent in the final quarter of 2015."
16,CHAIRMAN BERNANKE,Most participants see inflation gradually increasing toward the Committee’s longer-run target; the central tendency of their projections for inflation is 1.3 to 1.7 percent this year and 1.7 to 2.0 percent in 2015.
17,CHAIRMAN BERNANKE,"As you already know from the policy statement, we are continuing the asset purchase program first announced in September."
18,CHAIRMAN BERNANKE,"This decision was supported by our review at the meeting of the likely efficacy, costs, and risks of additional purchases."
19,CHAIRMAN BERNANKE,Let me briefly summarize the cost–benefit analysis supporting our decision.
20,CHAIRMAN BERNANKE,"Although estimates of the efficacy of the Federal Reserve’s asset purchases are necessarily uncertain, most participants agreed that these purchases—by putting downward pressure on longer-term interest rates, including mortgage rates—continue to provide meaningful support to economic growth and job creation."
21,CHAIRMAN BERNANKE,"However, most also agreed that this monetary tool would likely not be able on its own to fully offset major economic headwinds, such as those that might arise from significant near-term fiscal restraint or from a sharp increase in global financial stresses."
